time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01403,1663763621430,5.014034456,1,1.2,21.5,0.0,77.3,0.0,0.0,0.0,117,1,68,0,2,532184,110424,305464,719752,6372,102663,84,84,0,0,0,9,12,9,3,64,2,0,0,0,0,15,548701,0,28,2,14,2717,213597,5798,2,1,24411,19171,11655,12110,2729,631,2738,378,11,119,119,118,5218,1856,2008603,233,48,130,44,384394,384305,138,16,48,50,66,546991,361734,17,55,265,36,24,7,50,1,102,617274,396,0,121,3,1,0,29,1,7,36,1,2,2,3
10.0274,1663763628074,5.013364310,1,2.2,29.5,0.0,68.3,0.0,0.0,0.0,118,1,68,0,2,531600,110996,305476,719180,6394,100325,84,84,0,0,0,6,15,6,9,44,3,0,0,0,0,7,606443,0,18,1,31,2940,253041,5335,2,1,23692,18544,7179,7472,1778,148,1789,0,23,112,112,114,3278,1252,2236814,219,30,131,44,395970,395900,135,15,30,25,42,604440,377309,12,36,242,28,20,5,32,1,101,752277,370,0,125,3,3,7,23,1,4,27,1,3,2,3
15.0398,1663763634733,5.012393866,1,3.9,27.0,0.0,69.1,0.0,0.0,0.0,118,1,68,0,2,531364,111232,305476,718952,5787,100838,56,56,0,0,0,5,10,5,5,0,2,0,0,0,0,9,581970,0,8,1,22,2912,227248,5160,2,1,23351,18329,4025,4179,646,97,668,189,15,110,110,109,1335,373,2079830,217,7,131,6,395399,395349,136,17,7,8,17,580160,379799,12,14,231,28,13,5,8,1,103,724679,346,0,98,3,3,4,11,1,3,14,1,3,2,3
20.0521,1663763641370,5.012260078,1,2.9,26.7,0.0,69.8,0.0,0.0,0.6,118,1,68,0,2,532104,110444,305524,719712,8067,103499,84,84,0,0,0,6,11,6,5,2,2,0,0,0,0,34,534135,0,23,1,19,3842,196495,5767,2,1,24969,19416,16955,17417,3681,885,3686,630,15,128,128,122,7867,2786,1907292,251,34,131,46,389706,389620,149,17,33,40,64,532101,363712,27,45,277,42,42,12,40,2,109,619768,394,0,96,3,3,3,64,1,4,68,1,3,2,3
25.0852,1663763647990,5.033149239,1,1.9,22.3,0.0,75.4,0.0,0.0,0.3,118,1,68,0,2,531540,110988,305544,719164,5866,102135,84,84,0,0,0,5,10,5,5,0,2,0,0,0,0,5,621105,0,8,1,18,2904,265629,5181,1,1,23118,18071,3310,3235,789,158,525,63,14,113,113,111,1426,601,2321724,221,7,132,16,395589,395541,132,15,7,6,17,619149,380439,10,11,240,27,20,8,7,2,103,788016,342,0,88,3,3,4,6,1,3,9,1,3,2,3
30.0978,1663763654661,5.012635157,1,3.9,22.8,0.0,73.3,0.0,0.0,0.0,118,1,68,0,2,531144,111336,305592,718796,5689,100788,56,56,0,0,0,5,9,5,4,0,2,0,0,0,0,4,583221,0,7,1,18,2904,233456,4955,1,1,23290,18274,4016,4486,631,159,669,0,13,109,109,108,1335,389,2094006,215,7,131,6,390231,390180,131,17,7,8,17,581365,374676,12,14,228,28,13,5,8,1,103,724990,338,0,95,3,3,3,8,1,3,11,1,3,2,3
35.1101,1663763661295,5.012250951,1,2.6,26.7,0.0,70.7,0.0,0.0,0.0,118,1,68,0,2,530844,111620,305608,718496,6073,99839,84,84,0,0,0,6,11,6,4,2,2,0,0,0,0,8,598972,0,12,2,19,1159,252329,5146,2,1,22789,17822,5663,5825,1209,300,1231,63,13,110,110,110,2425,909,2223706,215,12,128,44,387610,387557,135,18,12,13,24,597200,370997,13,18,237,37,24,7,13,1,101,750367,350,0,95,3,3,3,26,1,4,30,1,3,2,3
40.1227,1663763667929,5.012615397,1,1.2,32.1,0.0,65.7,0.0,0.0,0.9,118,1,68,0,2,531036,111444,305592,718692,5502,95616,84,84,0,0,0,5,10,5,5,4,2,0,0,0,0,13,624266,0,8,2,18,2636,267438,5391,2,1,22118,17226,3932,3861,923,46,663,63,106,106,106,105,1655,664,2335545,207,11,127,16,395603,395555,181,16,11,10,21,622347,380317,10,15,333,28,97,8,11,2,98,778152,467,0,134,3,3,4,4,1,3,7,1,3,2,3
45.1356,1663763674600,5.012879823,1,3.1,24.3,0.0,72.6,0.0,0.0,0.0,118,1,68,0,2,531916,110552,305604,719584,5839,101881,56,56,0,0,0,5,9,5,4,0,2,0,0,0,0,8,571090,0,8,1,15,1305,218713,5226,1,1,23284,18266,4016,4175,630,97,662,0,13,110,110,109,1334,403,2016088,217,7,131,6,392067,392019,132,18,7,8,17,569181,376442,12,14,231,28,13,5,8,1,103,696136,341,0,88,3,3,3,11,1,3,14,1,3,2,3
50.148,1663763681268,5.012444158,1,2.2,24.9,0.0,72.9,0.0,0.0,0.0,118,1,68,0,2,530836,111604,305632,718512,5873,101925,84,84,0,0,0,6,10,6,4,2,2,0,0,0,0,8,544866,0,12,1,15,2971,199437,5349,2,1,23323,18232,5666,6019,1217,617,1224,189,12,113,113,110,2426,893,1935601,221,12,131,44,387508,387454,132,16,12,12,24,543289,370563,13,18,243,35,24,7,13,1,102,652626,338,0,87,3,4,3,26,1,4,30,1,3,2,3
