time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01209,1663778666018,5.012093071,1,2.8,26.3,0.0,70.9,0.0,0.0,0.0,116,1,68,0,2,532684,110508,304880,719644,5916,101255,266,266,0,0,0,8,10,8,2,0,1,0,0,0,0,17,560438,0,8,2,10,2767,214467,5425,0,1,23620,18539,6286,6755,1218,301,1249,252,9,115,115,114,2797,916,1992607,219,12,131,44,389342,389285,131,16,12,14,26,558434,370756,13,18,238,26,24,5,14,1,108,676593,367,0,82,1,0,0,22,1,6,28,1,0,0,1
10.0266,1663778672641,5.014481404,1,1.9,23.9,0.0,74.2,0.0,0.0,0.0,116,1,68,0,2,533692,109492,304888,720656,5606,95877,84,84,0,0,0,13,20,13,7,9,2,0,0,0,0,18,608957,0,8,1,25,2770,258380,5356,2,1,22576,17687,7598,7768,1635,130,1679,189,19,106,106,104,3313,1168,2273779,207,20,125,44,392351,392284,127,18,19,22,37,606873,374320,17,26,235,28,27,8,22,2,97,736956,380,0,99,3,3,6,29,1,9,38,1,12,11,3
15.0402,1663778679278,5.013625154,1,3.0,25.2,0.0,71.8,0.0,0.0,0.0,116,1,68,0,2,532808,110380,304884,719768,6036,102133,84,84,0,0,0,7,17,5,10,0,2,0,0,0,0,10,564820,0,8,1,31,2901,214554,5321,2,1,23478,18443,4323,4642,664,97,687,0,25,113,113,112,1341,394,1992349,221,7,132,7,390396,390340,134,18,7,8,17,562723,374459,12,14,242,39,21,5,8,1,106,700278,354,0,104,3,3,9,10,1,3,13,1,3,2,3
20.0535,1663778685926,5.013288415,1,2.3,26.7,0.0,70.7,0.0,0.0,0.3,116,1,68,0,2,533416,109756,304900,720392,6572,101715,266,266,0,0,0,6,10,6,4,43,2,0,0,0,0,12,608161,0,17,2,15,3001,258975,5634,2,1,24288,19083,8723,9224,1928,342,1954,63,12,120,120,121,4012,1366,2257730,229,32,131,44,395278,395204,140,16,32,35,46,606131,374108,13,38,259,26,30,5,34,1,109,720309,391,0,116,3,3,3,28,1,4,32,1,3,2,3
25.0826,1663778692579,5.029131383,1,2.2,23.7,0.0,74.1,0.0,0.0,0.0,116,1,68,0,2,532864,110320,304888,719840,6069,100331,56,56,0,0,0,5,10,5,5,14,2,0,0,0,0,24,570207,0,11,2,20,1168,233721,5548,1,1,23721,18586,8127,8303,1800,264,1827,126,15,112,112,110,3568,1253,2094015,220,23,131,44,380830,380761,139,18,23,25,41,568383,361758,17,30,244,28,22,8,25,2,103,688418,378,0,104,3,3,4,28,1,3,31,1,3,2,3
30.0952,1663778699286,5.012551696,1,2.1,27.5,0.0,70.1,0.0,0.0,0.3,116,1,68,0,2,533164,109996,304912,720148,6296,101219,84,84,0,0,0,5,9,5,4,0,2,0,0,0,0,5,605400,0,8,1,17,2868,253308,5319,1,1,23322,18320,4314,4506,659,97,686,0,13,113,113,114,1341,381,2255235,221,7,130,7,392809,392755,134,17,7,8,17,603326,376966,12,14,241,41,20,5,8,1,105,746693,343,0,91,3,3,3,12,1,3,15,1,3,2,3
35.1077,1663778705928,5.012526578,1,2.8,30.8,0.0,66.1,0.0,0.0,0.3,116,1,68,0,2,533620,109576,304876,720588,5610,95990,266,266,0,0,0,6,10,6,3,3,2,0,0,0,0,12,600099,0,7,1,15,2689,250415,5286,2,1,22625,17766,6274,6455,1213,301,1249,126,11,111,111,109,2787,922,2209073,211,12,125,44,391256,391199,129,17,12,14,26,597924,373213,13,18,229,26,24,5,14,1,104,728482,361,0,92,3,4,3,25,1,4,29,1,3,2,3
40.1208,1663778712607,5.013110508,1,2.9,31.1,0.0,66.0,0.0,0.0,0.0,117,1,68,0,2,532300,110880,304892,719280,7949,101604,56,56,0,0,0,5,9,5,4,0,2,0,0,0,0,38,578325,0,19,1,16,2692,242892,5708,2,1,24610,19126,16232,16807,3590,955,3642,567,13,125,125,119,7682,2726,2176063,247,32,130,46,385243,385159,147,17,32,39,63,576148,360065,27,44,268,34,39,13,40,3,105,692125,400,0,91,3,4,4,60,1,3,63,1,3,2,3
45.1334,1663778719273,5.012636943,1,2.1,28.1,0.0,69.8,0.0,0.0,0.0,117,1,68,0,2,532312,110848,304912,719300,6044,102262,84,84,0,0,0,5,9,5,4,0,2,0,0,0,0,15,602566,0,12,1,15,2882,255195,5366,1,1,23394,18386,5043,5186,807,41,820,0,12,115,115,113,1669,475,2252231,225,9,131,7,388367,388313,138,15,9,10,20,600628,372043,13,16,245,41,20,7,10,1,106,753164,367,0,90,3,3,3,13,1,3,16,1,3,2,3
50.1463,1663778725948,5.012936580,1,2.6,34.1,0.0,63.3,0.0,0.0,0.0,117,1,68,0,2,532604,110536,304932,719616,5864,101127,266,266,0,0,0,6,10,6,4,2,2,0,0,0,0,8,550872,0,7,2,15,2947,211723,5397,2,1,23711,18617,6289,6811,1225,364,1256,189,13,114,114,113,2795,913,1967686,217,13,131,44,382848,382813,135,17,12,14,26,549017,364184,13,18,234,26,24,5,14,1,107,649981,382,0,90,3,4,3,23,1,4,27,1,3,2,3
