time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01197,1663954242414,5.011966561,1,1.8,34.7,0.0,63.2,0.0,0.0,0.3,119,1,71,0,2,525820,116020,306232,714188,6526,99846,56,56,0,0,0,10,13,10,3,2,2,0,0,0,0,18,547647,0,5,1,14,769,209624,5145,2,1,23810,18718,7191,7330,1436,172,1471,189,11,113,113,117,2817,1074,2000085,223,11,131,44,381966,381918,133,16,11,13,24,546148,363184,12,17,243,26,27,1,13,1,112,663643,347,0,99,3,1,0,29,1,7,36,1,2,2,3
10.0454,1663954249025,5.033396508,1,2.2,24.1,0.0,73.8,0.0,0.0,0.0,120,1,71,0,2,526632,115204,306236,715004,5802,98382,189,189,0,0,0,6,15,6,9,16,3,0,0,0,0,6,560334,0,10,1,26,2208,212106,5119,2,1,23544,18456,4417,4392,945,38,805,0,23,107,107,108,1763,719,2025469,205,10,132,44,390644,390599,130,17,10,6,20,559000,373562,9,15,232,25,28,0,12,0,102,690659,360,0,102,3,2,7,22,1,4,26,1,3,2,3
15.0613,1663954255682,5.015913280,1,2.5,23.4,0.0,73.8,0.0,0.0,0.3,120,1,71,0,2,525992,115840,306240,714368,5768,99762,84,84,0,0,0,5,11,5,6,0,2,0,0,0,0,6,582721,0,4,1,20,2870,234508,5052,2,1,23187,18160,1261,1764,81,10,106,0,17,108,108,110,8,5,2114324,211,0,132,7,386807,386770,133,17,0,0,3,580974,373220,6,6,231,35,20,0,0,0,106,746595,321,0,83,3,2,4,4,1,3,7,1,3,2,3
20.0739,1663954262310,5.012628238,1,3.3,24.1,0.0,72.3,0.0,0.0,0.3,120,1,71,0,2,526160,115668,306244,714540,5234,94234,56,56,0,0,0,6,11,6,5,8,2,0,0,0,0,4,560390,0,4,1,18,2788,212368,5010,2,1,22084,17249,4247,4819,1009,228,1034,63,15,99,99,99,1835,767,2019066,195,11,125,44,387457,387408,121,17,11,12,20,558348,371929,10,17,213,23,20,0,12,0,96,687966,322,0,95,3,2,3,21,1,4,25,1,3,2,3
25.0955,1663954268963,5.021645188,1,3.2,28.4,0.0,68.4,0.0,0.0,0.0,120,1,71,0,2,525820,116012,306240,714196,5776,100672,189,189,0,0,0,5,9,5,4,14,2,0,0,0,0,2,558116,0,7,1,15,2933,213873,5036,1,1,23119,18077,3082,3354,826,223,545,63,12,107,107,108,1309,604,2028232,209,12,131,16,384577,384530,126,15,11,10,18,556300,369302,7,15,227,23,20,0,11,0,102,688816,339,0,93,3,4,4,5,1,3,8,1,3,2,3
30.1076,1663954275719,5.012082060,1,3.7,18.2,0.0,78.1,0.0,0.0,0.0,120,1,71,0,2,526144,115684,306244,714528,8514,103638,84,84,0,0,0,5,10,5,5,14,2,0,0,0,0,19,619721,0,5,1,19,844,263415,5568,2,1,23515,18419,4025,4192,840,160,858,189,15,131,131,144,1993,611,2317005,257,5,132,7,396669,396618,152,17,5,8,17,617750,380786,12,14,274,38,36,0,8,0,137,771346,396,0,152,3,2,3,15,2,3,18,1,3,2,3
35.1216,1663954282389,5.014041618,1,3.0,30.4,0.0,66.0,0.0,0.0,0.7,118,1,69,0,2,528068,113744,306260,716476,6294,98099,56,56,0,0,0,8,13,12,5,44,3,0,0,0,0,15,594209,0,14,7,20,1398,249758,5346,14,1,23512,18095,4946,6155,1084,230,1653,252,14,109,109,111,2032,838,2197863,214,11,129,44,386134,386082,135,17,11,14,24,592476,368956,14,24,317,27,138,4,12,1,100,739630,354,0,135,3,5,3,46,7,9,55,1,5,4,3
40.1342,1663954289093,5.012593176,1,3.5,26.0,0.0,69.5,0.0,0.0,1.0,118,1,69,0,2,528604,113196,306272,717024,8093,101685,294,294,0,0,0,14,29,13,15,25,3,0,0,0,0,31,544637,0,23,3,47,1752,208636,5824,2,2,25295,19734,15982,15563,3541,888,3492,630,35,126,126,122,7518,2697,1948235,243,38,131,46,387506,387426,148,21,38,36,63,542682,360846,20,47,267,30,39,5,45,1,108,647288,409,0,140,3,3,13,48,2,11,59,1,4,2,3
45.1472,1663954295781,5.013022341,1,1.8,28.9,0.0,68.7,0.0,0.0,0.6,118,1,69,0,2,528504,113300,306268,716920,5872,101066,84,84,0,0,0,5,10,5,5,0,2,0,0,0,0,2,626078,0,3,1,19,2893,275290,4984,1,1,23085,18074,1249,1431,80,10,105,63,15,107,107,108,8,5,2364374,211,0,131,7,388976,388931,129,18,0,0,3,624144,375401,6,6,229,35,19,0,0,0,105,822423,306,0,87,3,2,3,5,1,3,8,1,3,2,3
50.1594,1663954302450,5.012238953,1,1.6,31.0,0.0,66.8,0.0,0.0,0.6,118,1,69,0,2,529076,112712,306284,717508,5182,94132,56,56,0,0,0,7,12,7,5,2,3,0,0,0,0,7,549515,0,3,2,19,1191,208916,4728,2,1,21904,17104,3772,3929,857,346,882,126,15,98,98,99,1596,684,1994192,191,7,125,44,378950,378900,119,18,7,8,16,547503,363967,10,13,209,23,20,0,8,0,96,663042,305,0,90,3,2,3,20,1,4,24,1,3,2,3
