time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01209,1663096209294,5.012090605,1,2.5,20.6,0.0,76.3,0.0,0.0,0.6,116,1,67,0,2,484336,111940,351796,682300,8065,101271,294,294,0,0,0,11,14,11,3,3,2,0,0,0,0,13,543506,0,16,0,10,1583,204485,5726,2,1,25039,19492,14366,14888,3134,1113,3133,882,10,126,126,125,6930,2435,1944129,239,26,131,46,389439,389370,139,13,26,33,50,542124,364256,21,37,143,31,41,5,33,1,112,620703,388,0,80,3,1,0,52,1,7,59,1,2,2,3
10.024,1663096215923,5.011899981,1,14.8,26.5,0.0,58.7,0.0,0.0,0.0,116,1,67,0,2,484248,112048,351776,682200,5674,100753,84,84,0,0,0,6,15,0,9,4,3,0,0,0,0,2,630293,0,5,0,23,548,272340,5085,2,1,23006,18000,956,1115,64,9,92,0,21,104,104,106,4,5,2368338,205,0,132,5,396044,396002,124,13,0,0,3,628568,382767,6,6,115,28,10,0,0,0,102,822570,304,0,81,3,2,7,4,0,0,4,1,3,2,3
15.036,1663096222576,5.012013625,1,1.8,21.8,0.0,75.7,0.0,0.0,0.7,118,1,69,0,2,483560,112736,351776,681512,7685,102969,56,56,0,0,0,5,9,5,4,7,2,0,0,0,0,5,610928,0,16,0,14,2911,253762,5376,2,1,23289,18258,2532,2296,292,143,131,0,13,118,118,119,464,195,2239352,233,1,132,8,396607,396561,140,14,1,0,4,609079,382299,6,6,150,35,60,2,2,0,110,777861,339,0,76,3,3,3,6,1,3,9,1,3,2,3
20.0487,1663096229231,5.012679919,1,2.8,28.0,0.0,69.2,0.0,0.0,0.0,118,1,69,0,2,482236,114064,351772,680180,8834,102971,294,294,0,0,0,7,12,7,5,184,3,0,0,0,0,46,586657,0,5,1,17,1356,244798,5888,3,1,25232,19469,14053,17928,3487,930,3234,441,15,137,137,148,8038,2761,2189223,261,32,131,70,391536,391460,158,17,30,38,61,584879,366527,28,42,228,29,158,0,38,0,144,713362,422,0,140,4,2,3,53,2,4,57,1,4,3,4
25.062,1663096235867,5.013342359,1,13.8,29.3,0.0,56.3,0.0,0.0,0.6,118,1,69,0,2,480940,115348,351784,678896,7836,102233,84,84,0,0,0,6,15,6,9,0,3,0,0,0,0,5,562719,0,4,3,28,2915,213599,4899,1,2,23751,18726,4340,4545,587,89,604,0,23,124,124,136,1137,371,2047852,243,4,131,5,391952,391912,149,21,4,5,11,561442,375372,9,11,136,30,28,0,5,0,132,702538,357,0,128,3,3,5,12,2,4,16,1,4,2,3
30.074,1663096242486,5.012032267,1,1.5,28.8,0.0,69.7,0.0,0.0,0.0,118,1,69,0,2,482128,114160,351784,680092,7829,101791,56,56,0,0,0,5,8,5,3,0,2,0,0,0,0,4,591217,0,3,1,12,2663,239450,5288,1,1,23758,18739,4437,4924,587,89,605,0,10,122,122,135,1125,358,2184849,241,4,131,6,394299,394254,142,15,4,5,12,589569,377686,9,11,137,36,29,0,5,0,130,738678,346,0,105,3,4,3,14,1,3,17,1,3,2,3
35.087,1663096249120,5.013041631,1,2.6,24.3,0.0,71.7,0.0,0.0,1.3,117,1,67,0,2,483508,112764,351800,681492,5670,93734,294,294,0,0,0,6,11,7,4,16,2,0,0,0,0,14,567827,0,9,1,15,2651,218975,5318,7,1,23133,17944,6296,7529,1242,426,1805,504,13,109,109,113,2771,943,2068237,205,13,130,44,391802,391750,126,17,13,17,29,566047,372791,16,27,186,25,111,4,16,1,104,681697,355,0,126,3,5,3,40,7,5,45,1,4,3,3
40.0996,1663096255767,5.012550698,1,16.2,25.2,0.0,58.6,0.0,0.0,0.0,117,1,67,0,2,483972,112300,351800,681956,5494,99347,84,84,0,0,0,5,10,5,5,6,2,0,0,0,0,3,631465,0,5,0,17,2891,269844,5142,2,1,23162,18131,1460,1618,206,81,232,0,15,105,105,106,248,100,2354225,205,5,131,5,400262,400200,130,18,4,4,7,629534,386355,6,10,126,29,19,0,4,0,101,822564,321,0,87,3,4,5,3,1,3,6,1,4,2,2
45.1128,1663096262395,5.013184127,1,1.7,19.7,0.0,78.0,0.0,0.0,0.7,117,1,67,0,2,484760,111528,351784,682736,7901,102223,56,56,0,0,0,5,7,5,2,41,1,0,0,0,0,11,608606,0,14,0,10,3838,256370,5631,0,1,24556,19035,10251,10786,2140,456,2191,567,9,123,123,119,4593,1638,2269039,243,17,131,8,398332,398270,147,16,17,22,34,607160,377609,16,28,143,38,36,5,22,1,110,767534,350,0,76,1,0,0,37,0,1,38,1,0,0,1
50.1254,1663096269021,5.012571737,1,2.0,31.7,0.0,66.3,0.0,0.0,0.0,117,1,67,0,2,484296,111980,351796,682284,5706,99020,294,294,0,0,0,5,7,5,2,0,1,0,0,0,0,7,594843,0,4,1,11,1422,254266,5263,0,1,23553,18480,5188,5643,1039,354,1056,0,9,110,110,111,2338,806,2210415,207,9,130,44,383363,383315,125,15,9,12,21,592930,365450,11,15,122,23,24,0,11,0,106,745758,341,0,81,1,0,0,22,0,0,22,1,0,0,1
