time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01227,1663071101581,5.012267943,1,2.1,27.1,0.0,70.8,0.0,0.0,0.0,116,2,67,0,2,530428,112380,305264,717788,5762,98769,84,84,0,0,0,9,11,9,2,0,1,0,0,0,0,8,565909,0,5,1,10,2414,214124,5060,0,1,23337,18318,3361,3806,479,24,496,0,9,108,108,110,877,263,2038123,211,4,131,7,391730,391685,127,15,4,5,13,564083,376436,10,11,232,36,20,0,5,0,105,699645,312,0,75,1,0,0,9,1,6,15,1,0,0,1
10.025,1663071108210,5.012718923,1,3.2,24.8,0.0,71.0,0.0,0.0,1.0,116,1,68,0,2,529524,113300,305248,716872,5545,96296,56,56,0,0,0,12,14,12,2,0,1,0,0,0,0,7,559610,0,3,1,10,2852,214846,4950,0,1,22691,17729,3962,4502,882,94,917,63,9,102,102,103,1595,689,2030833,201,8,128,44,384601,384547,122,16,7,8,16,557555,369025,10,13,222,30,24,0,8,0,99,680009,311,0,77,1,0,0,21,0,5,26,1,0,0,1
15.039,1663071114874,5.013989952,1,2.2,22.0,0.0,75.8,0.0,0.0,0.0,116,1,68,0,2,528740,114100,305232,716084,5758,100138,266,266,0,0,0,8,21,6,13,10,2,0,0,0,0,12,582449,0,3,1,42,2031,231153,5616,2,1,24451,19131,8080,8244,1579,383,1609,0,152,110,110,111,3455,1139,2113156,209,17,135,44,397080,397016,202,16,17,20,33,580419,376226,16,25,371,25,131,0,20,0,108,702485,517,0,175,3,3,11,29,1,4,33,1,12,11,3
20.0517,1663071121491,5.012652326,1,3.0,24.9,0.0,71.7,0.0,0.0,0.3,116,2,68,0,2,528868,113968,305236,716220,6072,100805,84,84,0,0,0,6,11,6,5,4,3,0,0,0,0,2,638219,0,4,1,19,484,279194,4970,2,1,23492,18451,3347,3678,469,87,493,0,15,108,108,112,878,264,2408200,211,4,132,7,398915,398868,133,18,4,5,13,636232,383577,10,11,231,38,20,0,5,0,106,819200,339,0,91,3,3,4,10,1,4,14,1,3,2,3
25.0644,1663071128127,5.012669551,1,1.9,24.5,0.0,73.4,0.0,0.0,0.3,116,1,68,0,2,529372,113456,305244,716724,5494,99347,84,84,0,0,0,5,10,5,5,0,2,0,0,0,0,5,562263,0,3,1,18,2744,219616,4933,1,1,23187,18111,3962,4140,881,221,903,126,15,104,104,103,1597,679,2049741,205,7,130,44,384051,384023,126,18,7,8,16,560389,368270,10,13,224,30,23,0,8,0,100,688689,339,0,91,3,3,4,21,1,3,24,1,3,2,3
30.0768,1663071134766,5.012386492,1,1.2,25.8,0.0,72.3,0.0,0.0,0.6,116,1,68,0,2,529908,112920,305244,717268,6061,98379,266,266,0,0,0,5,8,5,3,30,2,0,0,0,0,13,610275,0,12,1,13,2473,265170,5523,1,1,24360,19176,9315,9479,1980,337,2003,126,11,115,115,115,4182,1392,2292599,219,29,130,44,391526,391455,133,18,29,32,45,608396,369839,15,36,242,24,26,0,32,0,108,727110,382,0,102,3,4,3,29,1,3,32,1,3,2,3
35.0897,1663071141381,5.012914913,1,2.4,27.7,0.0,69.9,0.0,0.0,0.0,116,1,68,0,2,529388,113432,305252,716756,6270,101467,84,84,0,0,0,6,10,6,3,48,2,0,0,0,0,8,590943,0,17,1,13,2552,238047,5368,2,1,24061,18919,6262,6406,1337,135,1352,0,11,115,115,116,2328,795,2156969,225,28,131,7,395811,395740,136,18,28,29,37,589030,377508,10,35,252,36,20,0,29,0,104,723713,365,0,113,3,4,3,8,1,4,12,1,3,2,2
40.1018,1663071148045,5.012088934,1,2.7,26.1,0.0,71.2,0.0,0.0,0.0,116,1,68,0,2,529388,113392,305292,716776,7347,95582,84,84,0,0,0,5,7,5,2,1,1,0,0,0,0,29,562462,0,14,1,9,3661,214476,5150,0,1,23310,18072,13105,13285,2980,990,2987,756,8,113,113,109,6181,2295,2062958,223,24,124,46,393800,393730,135,14,24,30,47,560720,371484,20,35,245,36,40,5,30,1,100,652562,350,0,84,1,0,0,53,0,0,53,1,0,0,1
45.1142,1663071154708,5.012387799,1,3.2,29.2,0.0,67.3,0.0,0.0,0.3,116,1,68,0,2,529104,113708,305260,716480,6464,100085,266,266,0,0,0,5,7,5,2,0,1,0,0,0,0,15,598501,0,3,2,10,2893,251041,5197,0,1,23918,18822,7404,7554,1425,431,1469,189,9,111,111,116,3208,1050,2207998,211,13,131,44,392055,391992,131,16,13,16,29,596480,372330,15,20,236,26,31,0,16,0,108,738721,350,0,82,1,0,0,25,0,1,26,1,0,0,1
50.1264,1663071161408,5.012175312,1,3.3,26.2,0.0,70.5,0.0,0.0,0.0,116,1,68,0,2,529372,113436,305264,716752,6096,100805,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,3,570501,0,4,1,11,2901,221560,4970,0,1,23387,18357,3352,3496,465,87,494,0,9,108,108,110,875,256,2084577,211,4,131,7,388945,388902,127,16,4,5,13,568569,373541,10,11,237,36,26,0,5,0,105,698778,314,0,80,1,0,0,13,0,0,13,1,0,0,1
