time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01234,1664090427638,5.012337816,1,3.0,25.4,0.0,71.0,0.0,0.0,0.6,117,1,68,0,2,531320,111944,304808,718232,6103,103374,84,84,0,0,0,8,10,8,2,0,1,0,0,0,0,17,557349,0,9,1,11,2887,209941,5162,0,1,23536,18461,7156,7298,1478,182,1492,126,9,112,112,112,2936,1051,1991863,219,14,130,45,391711,391656,135,15,14,16,31,555846,373415,16,21,246,38,28,5,16,1,104,677791,348,0,88,1,0,0,29,1,6,35,1,0,0,1
10.0246,1664090434406,5.012250918,1,3.2,25.4,0.0,70.5,0.0,0.0,0.9,117,1,68,0,2,531772,111480,304820,718688,5606,100831,56,56,0,0,0,12,14,0,2,0,1,0,0,0,0,5,561135,0,7,1,10,2886,215270,5124,0,1,22906,17905,3310,3227,767,95,507,63,8,110,110,106,1420,593,2020675,217,8,131,16,386782,386735,130,12,7,6,16,559294,371765,10,11,235,27,20,8,7,2,100,705793,340,0,79,1,0,0,6,0,0,6,1,0,0,1
15.0368,1664090441123,5.012181868,1,3.4,24.2,0.0,72.4,0.0,0.0,0.0,117,1,68,0,2,531596,111632,304844,718532,5814,102170,189,189,0,0,0,5,7,5,2,8,1,0,0,0,0,9,545075,0,8,1,10,3054,202286,5295,0,1,23759,18539,4776,4917,807,112,824,63,94,109,109,108,1593,480,1953405,213,11,134,5,384876,384827,174,14,11,12,22,543173,367917,14,20,357,33,128,5,13,1,102,657131,439,0,112,1,0,0,12,0,0,12,1,0,0,1
20.0491,1664090447768,5.012326893,1,1.5,26.0,0.0,72.4,0.0,0.0,0.0,117,1,68,0,2,531328,111876,304868,718280,5901,101238,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,19,585368,0,8,1,11,2021,235501,5209,0,1,23604,18509,7137,7297,1484,371,1494,189,9,112,112,111,2936,1052,2154135,219,14,131,45,393190,393139,131,16,14,16,31,583637,374860,16,21,245,38,28,5,16,1,105,723478,356,0,87,1,0,0,29,0,0,29,1,0,0,1
25.1337,1664090454416,5.084566390,1,3.7,23.1,0.0,73.1,0.0,0.0,0.0,117,2,67,0,2,531792,111396,304884,718748,5858,96659,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,6,615336,0,7,1,11,2775,259219,5257,0,1,22245,17402,4665,4690,1042,231,914,63,9,107,107,107,2026,797,2293893,209,10,126,44,396063,396017,130,15,10,6,21,613980,380367,12,15,227,29,20,8,12,2,99,774068,350,0,88,1,0,0,22,0,0,22,1,1,1,2
30.1463,1664090461167,5.012609049,1,3.7,26.6,0.0,69.7,0.0,0.0,0.0,117,1,70,0,2,531068,112120,304884,718032,5834,99938,84,84,0,0,0,6,9,6,3,23,2,0,0,0,0,7,589846,0,14,2,14,2937,240838,5579,2,1,23553,18506,5584,5722,1077,184,1096,189,10,112,112,110,2064,654,2187150,219,19,130,5,390450,390391,135,15,19,20,30,588321,373410,12,26,239,32,15,5,20,1,101,721328,379,0,103,1,1,0,12,0,1,13,1,1,1,2
35.1583,1664090468389,5.011957329,1,2.1,32.9,0.0,64.9,0.0,0.0,0.0,117,2,68,0,2,530956,112208,304908,717928,6286,102583,56,56,0,0,0,5,7,5,2,24,1,0,0,0,0,14,547584,0,18,2,10,884,210711,5664,0,1,24014,18847,9320,9549,2042,655,2045,315,8,119,119,116,3976,1395,1977199,235,28,131,45,382322,382240,137,13,28,30,45,545568,361927,17,35,264,40,29,7,30,1,106,646366,370,0,97,1,0,0,31,1,3,34,1,0,0,1
40.1708,1664090475076,5.012510563,1,4.5,26.2,0.0,69.0,0.0,0.0,0.3,117,1,68,0,2,532384,110828,304860,719344,7823,102285,84,84,0,0,0,5,7,5,2,1,1,0,0,0,0,25,529266,0,19,1,11,3872,192574,5491,0,1,24537,19010,13901,14112,3154,557,3201,567,9,124,124,119,6617,2436,1851797,243,27,130,46,385257,385180,143,16,27,34,51,527329,361807,22,38,263,32,37,10,33,2,106,624427,377,0,85,1,0,0,51,0,1,52,1,0,0,1
45.1839,1664090481689,5.013077440,1,1.5,26.4,0.0,72.0,0.0,0.0,0.0,117,1,68,0,2,532116,111108,304848,719072,5813,101796,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,20,576287,0,8,1,11,2883,220511,5193,0,1,23380,18355,4117,4551,649,96,677,0,9,110,110,110,1346,393,2053032,215,8,132,5,395993,395943,133,15,6,8,15,574558,380373,10,12,232,32,16,5,4,1,103,709483,331,0,82,1,0,0,9,0,0,9,1,0,0,1
50.1957,1664090488347,5.011849714,1,2.6,26.9,0.0,70.5,0.0,0.0,0.0,117,1,68,0,2,532068,111204,304800,719000,5753,98942,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,18,557641,0,11,1,11,2226,213785,5277,0,1,23521,18459,7860,7877,1594,314,1603,126,8,113,113,110,3247,1145,2014831,223,16,130,45,387415,387358,135,13,16,16,33,555716,368623,17,23,246,40,28,7,18,1,104,665088,352,0,87,1,0,0,29,0,0,29,1,1,1,2
55.2082,1664090495010,5.012473703,1,3.4,26.5,0.0,69.8,0.0,0.0,0.3,117,1,68,0,2,531732,111524,304816,718680,5710,100909,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,11,565205,0,8,2,11,2912,214178,5236,0,1,23246,18143,4969,5471,1115,233,1150,63,9,112,112,109,2199,846,1999560,219,11,131,44,392343,392295,131,15,11,12,23,563298,375888,13,17,236,27,20,8,12,2,101,676845,351,0,79,1,0,0,21,0,0,21,1,0,0,1
60.2213,1664090501663,5.013061490,1,3.6,30.3,0.0,65.5,0.0,0.0,0.6,117,1,68,0,2,531076,112176,304820,718028,5658,100675,84,84,0,0,0,6,10,6,4,3,2,0,0,0,0,11,561173,0,8,1,17,2910,215210,5120,2,1,23339,18319,4123,4268,648,96,669,63,13,109,109,108,1344,387,2048811,213,7,132,5,386399,386350,130,18,7,8,18,559234,370728,12,14,229,32,14,5,8,1,102,698064,330,0,88,1,1,0,11,0,1,12,1,1,1,2
65.2338,1664090508317,5.012532029,1,1.7,22.4,0.0,75.9,0.0,0.0,0.0,117,1,68,0,2,532300,110956,304816,719248,5791,98941,56,56,0,0,0,5,7,5,2,4,1,0,0,0,0,15,518360,0,8,1,10,2600,181009,5175,0,1,23344,18309,7640,8132,1608,253,1636,126,8,110,110,109,3165,1153,1836524,217,18,129,45,380645,380583,128,14,18,20,34,516415,361833,16,25,251,38,34,5,20,1,103,616937,343,0,89,1,0,0,27,1,3,30,1,0,0,1
70.246,1664090514953,5.012236386,1,4.2,27.9,0.0,68.0,0.0,0.0,0.0,117,1,68,0,2,532068,111160,304844,719032,5606,98745,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,16,547565,0,8,1,10,960,194416,5037,0,1,22787,17798,4956,5441,1107,296,1146,126,9,109,109,107,2193,845,1932716,213,11,129,44,392332,392285,132,16,11,12,23,545691,376211,13,17,232,27,20,8,12,2,100,657746,350,0,86,1,0,0,21,0,0,21,1,0,0,1
75.2598,1664090521565,5.013835928,1,2.9,27.2,0.0,69.7,0.0,0.0,0.3,116,1,67,0,2,531272,111936,304864,718252,5822,102890,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,12,579332,0,12,1,11,2590,225412,5101,0,1,23425,18382,4130,4726,650,161,675,126,9,111,110,109,1342,378,2057421,213,7,133,5,394331,394281,132,16,7,10,18,577271,378634,12,14,230,32,15,5,8,1,102,704699,340,0,86,1,0,0,11,0,0,11,1,0,0,1
80.274,1664090528154,5.014213725,1,3.2,27.9,0.0,68.9,0.0,0.0,0.0,117,1,68,0,2,531496,111712,304864,718468,12920,173079,112,112,0,0,0,5,7,5,2,52,1,0,0,0,0,22,547822,0,33,2,11,3537,201233,5735,0,1,25106,19970,14368,14208,3187,772,3070,630,8,137,137,134,6185,2224,1943803,269,46,131,9,397480,397399,158,14,46,58,65,546497,373156,19,53,300,46,38,13,46,3,113,654491,398,0,116,1,0,0,26,0,0,26,1,0,0,1
85.2861,1664090538227,5.012083999,1,1.2,24.3,0.0,74.5,0.0,0.0,0.0,117,1,68,0,2,531004,112156,304912,718012,5662,93171,266,266,0,0,0,6,13,5,7,8,2,0,0,0,0,16,582028,0,9,1,24,1638,230941,5317,3,1,22419,17686,9049,9226,1779,261,1798,189,19,109,109,109,3922,1267,2137533,207,20,122,44,394052,393991,131,18,20,23,38,580052,373898,17,27,230,34,29,5,23,1,103,707787,379,0,104,1,2,3,36,0,0,36,1,2,1,2
90.2987,1664090544866,5.012592544,1,3.4,23.9,0.0,72.8,0.0,0.0,0.0,117,1,68,0,2,531328,111820,304924,718348,5873,98014,84,84,0,0,0,6,8,6,2,0,1,0,0,0,0,14,597335,0,12,1,11,2475,244903,5002,0,1,22283,17409,5459,5662,1187,238,1193,63,9,110,110,108,2385,891,2205029,215,12,126,44,392299,392246,129,15,12,13,24,595474,376085,13,18,234,28,21,7,13,1,101,738906,339,0,82,1,0,0,24,1,4,28,1,0,0,1
95.3115,1664090551510,5.012788067,1,2.8,29.1,0.0,67.8,0.0,0.0,0.3,117,1,68,0,2,531508,111628,304936,718532,5978,101296,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,9,584637,0,9,1,11,770,235257,5084,0,1,23461,18425,4541,5036,721,100,756,0,9,117,117,114,1476,423,2155658,228,8,131,7,390330,390286,135,15,8,9,20,582976,374313,13,15,248,40,20,8,9,2,106,731787,334,0,81,1,0,0,12,0,0,12,1,0,0,1
100.325,1664090558144,5.013091241,1,1.6,30.8,0.0,67.3,0.0,0.0,0.3,117,1,68,0,2,531164,111940,304968,718204,5662,97033,266,266,0,0,0,5,7,5,2,0,1,0,0,0,0,18,582027,0,7,1,11,1889,237923,5263,0,1,23309,18367,8549,9069,1627,377,1641,189,9,112,112,111,3657,1161,2146254,213,16,127,44,388296,388237,127,15,16,19,34,580184,368074,17,23,233,34,28,5,19,1,105,692688,349,0,77,1,0,0,30,0,0,30,1,1,1,2
105.337,1664090564767,5.012115569,1,2.7,23.9,0.0,73.4,0.0,0.0,0.0,118,1,68,0,2,530712,112388,304972,717760,6118,100936,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,10,561506,0,7,2,10,2914,216951,5062,0,1,23131,18062,4626,4837,1057,420,1093,126,9,107,107,106,2055,828,1989141,212,10,131,44,385270,385218,131,16,10,11,21,559694,369215,12,16,227,22,18,5,11,1,101,705741,336,0,79,1,0,0,19,0,1,21,1,0,0,1
110.35,1664090571435,5.012524100,1,2.3,30.7,0.0,67.0,0.0,0.0,0.0,118,1,68,0,2,531460,111640,304972,718508,5932,101246,84,84,0,0,0,5,7,5,2,8,1,0,0,0,0,15,559370,0,8,1,12,2922,214744,5257,0,1,23622,18560,5058,5526,853,108,888,126,9,115,115,113,1723,513,2019787,225,12,132,7,387195,387145,138,16,12,13,24,557563,370563,13,19,254,40,27,8,13,2,106,686010,363,0,85,1,0,0,10,0,0,10,1,0,0,1
115.363,1664090578059,5.013182936,1,3.0,26.6,0.0,70.4,0.0,0.0,0.0,118,1,68,0,2,532556,110572,304944,719596,8034,100644,266,266,0,0,0,7,16,6,9,1,2,0,0,0,0,45,522479,0,18,1,25,3858,193920,5717,0,1,24916,19478,17750,17917,3733,769,3783,693,23,128,128,123,8219,2813,1886903,245,33,129,46,380795,380714,150,18,33,41,65,520868,353230,27,45,270,40,46,10,41,2,112,607357,418,0,100,1,1,5,57,0,0,57,1,1,0,2
120.375,1664090584689,5.012174180,1,2.6,29.8,0.0,67.6,0.0,0.0,0.0,118,1,68,0,2,530792,112336,304944,717836,6084,100675,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,11,612256,0,7,1,10,517,266421,5106,0,1,23221,18125,4740,4917,1059,105,1084,63,9,109,109,111,2061,807,2290723,215,10,131,44,386840,386784,129,16,10,11,21,610340,370611,12,16,238,26,24,5,11,1,103,771552,346,0,78,1,0,0,19,1,3,22,1,0,0,1
125.387,1664090591329,5.012203484,1,2.6,28.2,0.0,69.2,0.0,0.0,0.0,118,1,68,0,2,530588,112544,304940,717624,6185,101374,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,9,562040,0,9,1,10,2683,214606,5428,0,1,23444,18414,4552,4706,725,101,769,0,9,117,117,114,1470,416,2035368,229,8,131,7,388555,388498,136,16,8,9,19,560204,372568,13,15,250,40,21,8,9,2,107,679902,359,0,78,1,0,0,10,0,1,11,1,0,0,1
130.399,1664090597948,5.012376429,1,2.2,28.2,0.0,69.6,0.0,0.0,0.0,118,1,68,0,2,531044,112088,304940,718092,6694,102052,294,294,0,0,0,5,7,5,2,8,1,0,0,0,0,9,552371,0,21,2,10,2488,210420,5465,0,1,24246,19106,9813,10278,1914,331,1923,189,8,125,125,123,4109,1296,1989834,238,20,132,44,388177,388054,139,14,20,25,39,550445,366766,17,27,258,36,29,5,23,1,109,636478,380,0,82,1,0,0,27,0,0,27,1,0,0,1
135.412,1664090604603,5.012676088,1,2.8,27.5,0.0,69.7,0.0,0.0,0.0,118,1,68,0,2,531296,111844,304932,718340,5964,100777,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,10,598752,0,14,1,10,1196,253621,5113,0,1,23219,18138,4746,5256,1063,421,1078,189,9,110,110,114,2053,812,2233346,217,11,131,44,385940,385890,134,16,10,11,21,596783,369737,12,16,241,26,20,5,11,1,103,741876,358,0,79,1,0,0,21,0,0,21,1,0,0,1
140.425,1664090611247,5.013045742,1,2.2,26.3,0.0,71.5,0.0,0.0,0.0,118,1,68,0,2,531108,112044,304920,718148,5984,101246,84,84,0,0,0,7,12,7,5,9,2,0,0,0,0,6,585662,0,8,2,16,1720,235395,5326,3,1,23476,18444,4572,4723,727,163,754,126,15,115,115,113,1485,407,2115322,225,8,132,7,391055,391005,140,17,8,9,19,583780,374984,13,15,245,40,20,8,9,2,105,723387,355,0,86,1,1,0,13,0,2,15,1,1,1,2
145.437,1664090617893,5.012386029,1,2.6,34.1,0.0,63.4,0.0,0.0,0.0,118,1,68,0,2,531768,111384,304920,718812,6086,102638,294,294,0,0,0,5,7,5,2,0,1,0,0,0,0,15,585445,0,11,1,11,1378,238562,5543,0,1,24117,18993,9298,9752,1760,70,1767,63,8,117,117,116,3988,1276,2168201,223,18,131,44,392708,392647,131,13,18,21,38,583455,371592,18,25,245,36,28,7,21,1,110,702961,371,0,81,0,0,0,31,0,0,31,0,0,0,0
