time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01236,1663870948087,5.012357996,1,3.4,29.1,0.0,67.1,0.0,0.0,0.3,118,1,68,0,2,530484,111704,305884,718400,6738,120349,56,56,0,0,0,0,2,38,2,59,2,0,0,0,0,14,596495,0,22,7,12,2503,244104,5536,40,0,24628,19364,8430,8876,1333,193,1348,126,130,127,137,125,2729,874,2173097,251,14,134,5,397237,397182,230,15,14,16,34,594729,377448,23,25,440,39,140,17,17,4,110,730391,517,0,148,1,7,5,47,0,7,54,1,1,0,2
10.0246,1663870954766,5.012235935,1,3.0,28.5,0.0,68.5,0.0,0.0,0.0,118,1,68,0,2,530964,111220,305888,718880,6772,118803,84,84,0,0,0,9,13,42,4,56,3,0,0,0,0,24,559894,0,19,7,16,2512,220785,5522,38,1,24346,19190,9127,9582,1748,382,1768,378,13,125,134,128,3431,1267,2050488,245,17,131,45,384829,384771,157,20,17,19,38,557984,364794,21,25,295,41,28,12,19,3,113,671045,377,0,101,1,2,0,56,0,7,63,1,0,0,1
15.0375,1663870961417,5.012909476,1,3.6,22.0,0.0,74.1,0.0,0.0,0.3,118,1,68,0,2,530604,111524,305944,718556,6724,116329,84,84,0,0,0,9,14,46,5,58,4,0,0,0,0,24,566618,0,15,7,20,1484,225863,5337,40,1,23508,18515,9047,9599,1763,259,1814,189,15,117,126,119,3557,1325,2094003,231,18,128,44,384656,384590,152,22,18,20,39,564813,365253,23,27,277,30,26,13,20,4,108,671932,375,0,106,1,3,0,55,0,6,61,1,0,0,1
20.05,1663870968056,5.012503160,1,2.7,26.6,0.0,69.5,0.0,0.0,1.2,118,2,68,0,2,530980,111140,305952,718936,6503,120384,56,56,0,0,0,9,13,46,4,68,3,0,0,0,0,11,587801,0,18,8,17,2532,236357,5526,38,1,24529,19421,9159,9329,1599,326,1608,252,13,126,136,121,3188,1043,2144995,249,22,132,5,396314,396256,160,20,22,25,42,585955,376198,21,31,291,35,15,11,24,3,110,702187,388,0,113,2,2,0,45,0,6,51,1,2,2,2
25.0653,1663870974710,5.015348915,1,2.4,34.3,0.0,63.0,0.0,0.0,0.3,119,1,68,0,2,531664,110412,305996,719648,7587,115844,84,84,0,0,0,9,14,78,5,157,4,0,0,0,0,28,586271,0,33,12,16,913,242424,5657,68,1,24614,19623,17052,16942,3541,475,3552,189,14,135,145,130,6771,2460,2209723,265,57,125,45,393993,393894,171,20,57,56,86,584375,367308,29,65,322,45,29,12,61,3,108,691038,415,0,145,1,3,0,82,1,11,93,1,1,1,2
30.0827,1663870981462,5.017419279,1,2.5,31.8,0.0,64.9,0.0,0.0,0.8,119,1,68,0,2,530824,111260,305988,718808,9027,122770,84,84,0,0,0,0,3,38,3,84,3,0,0,0,0,37,544724,0,39,7,14,3918,208822,6071,42,0,25921,20279,19532,20061,4255,1038,4276,693,11,148,158,139,8777,3180,2013499,293,46,132,46,389758,389663,184,17,46,53,79,542780,361245,31,59,344,38,39,22,53,5,115,629147,451,0,115,1,3,0,93,0,7,100,1,1,1,2
35.0952,1663870988167,5.012471985,1,1.5,29.1,0.0,69.1,0.0,0.0,0.3,119,1,68,0,2,531816,110272,305984,719796,6883,136184,56,56,0,0,0,9,13,42,4,58,3,0,0,0,0,18,613998,0,16,7,15,2880,262477,5387,38,1,24174,19139,8206,8344,1320,311,1321,63,12,121,131,121,2711,854,2304618,238,14,131,5,395350,395289,153,17,14,16,34,612494,376304,21,23,281,36,17,12,16,3,110,773434,356,0,94,1,2,0,43,1,10,53,1,0,0,1
40.1085,1663870994832,5.013276997,1,3.2,29.9,0.0,66.4,0.0,0.0,0.5,119,1,68,0,2,530816,111308,305948,718780,6542,118652,84,84,0,0,0,9,14,46,5,60,4,0,0,0,0,15,542390,0,15,8,20,2786,211091,5280,40,1,24179,19062,9364,9525,1802,511,1837,315,15,123,130,123,3571,1315,2002082,241,18,130,45,376397,376341,155,20,18,20,40,540546,356374,23,27,286,40,28,12,20,4,112,656750,377,0,103,1,3,0,57,0,8,65,1,0,0,1
45.1213,1663871001490,5.012835411,1,3.5,21.7,0.0,74.5,0.0,0.0,0.3,119,1,68,0,2,530728,111396,305948,718700,6546,119593,84,84,0,0,0,7,11,44,4,58,3,0,0,0,0,11,538694,0,16,7,16,625,203361,5371,38,1,24094,18979,8821,9332,1716,445,1745,63,13,120,130,121,3412,1290,1961649,237,17,131,44,379914,379856,152,18,17,19,37,536938,360332,21,25,280,31,22,12,19,3,109,647955,376,0,97,1,2,0,53,0,6,59,1,0,0,1
50.1339,1663871008127,5.012607695,1,2.9,20.9,0.0,75.6,0.3,0.0,0.3,119,1,68,0,2,530492,111624,305956,718472,7159,139914,56,56,0,0,0,7,12,76,5,106,4,0,0,0,0,24,565786,0,19,13,19,2930,217532,5742,74,1,25233,20140,12905,13051,2088,408,2104,126,15,134,154,130,4365,1407,2080535,264,23,132,5,396270,396221,183,22,23,26,53,563903,373384,30,33,327,42,15,17,26,4,115,672906,393,0,108,2,3,0,77,2,11,88,1,1,1,2
