time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01294,1663855868443,5.012944364,1,2.0,26.2,0.0,71.1,0.0,0.0,0.6,119,1,67,0,2,525552,110480,312040,713740,7267,121545,84,84,0,0,0,14,19,87,5,100,5,0,0,0,0,15,561027,0,24,12,23,2947,214090,5584,70,1,25151,20043,11679,11334,1898,396,1922,315,16,130,137,130,3853,1278,2025435,255,20,133,5,394432,394373,168,21,20,20,48,559236,372285,28,31,159,32,12,11,23,3,113,695156,400,0,116,4,6,3,73,3,21,94,1,5,4,2
10.0263,1663855875085,5.013317489,1,2.1,26.1,0.0,69.6,1.8,0.0,0.3,119,1,67,0,2,525844,110196,312032,714024,7440,120898,56,56,0,0,0,15,19,53,4,66,3,0,0,0,0,15,573384,0,36,8,15,1328,229568,5787,40,1,24642,19427,9668,10167,1928,580,1927,378,13,134,144,134,3690,1381,2093404,265,21,132,46,389756,389690,170,17,21,23,42,571409,368905,21,29,181,46,31,17,23,4,113,689657,386,0,95,1,2,0,60,0,11,71,1,0,0,1
15.0388,1663855881729,5.012495626,1,2.0,27.1,0.0,70.9,0.0,0.0,0.0,120,1,67,0,2,525292,110740,312040,713480,7183,136270,266,266,0,0,0,9,16,60,7,89,5,0,0,0,0,26,621318,0,23,9,23,2928,267324,5630,51,1,25027,19886,10295,10768,1910,333,1722,189,19,134,154,137,4077,1303,2331625,257,23,132,16,400921,400843,173,19,20,25,40,619838,378937,20,26,179,38,28,16,23,4,118,766957,372,0,105,3,7,6,46,1,11,55,1,5,4,3
20.0511,1663855888533,5.012284333,1,5.1,28.6,0.0,66.4,0.0,0.0,0.0,120,1,67,0,2,525440,110576,312056,713640,6375,119486,84,84,0,0,0,9,14,45,5,57,4,0,0,0,0,19,565198,0,17,7,20,1141,214518,5422,40,1,24138,19083,8137,8300,1357,63,1407,0,15,120,130,119,2835,884,1995717,235,15,131,5,394074,394030,155,21,15,17,36,563417,375093,23,25,146,28,12,12,17,4,109,681083,374,0,109,1,3,0,46,1,7,53,1,0,0,1
25.0635,1663855895160,5.012376375,1,1.5,25.9,0.0,72.2,0.0,0.0,0.3,120,1,67,0,2,524792,111220,312060,713000,6619,119747,56,56,0,0,0,10,14,47,4,54,3,0,0,0,0,8,574540,0,15,7,15,2922,227886,5542,38,1,24408,19249,9087,9228,1766,509,1769,63,13,122,132,124,3433,1274,2096687,241,17,131,46,392064,392006,154,17,17,19,38,572863,371917,21,25,161,44,30,12,19,3,114,674704,370,0,91,1,2,0,56,0,6,62,1,0,0,1
30.3971,1663855901783,5.333556463,1,3.3,25.5,0.0,70.9,0.0,0.0,0.3,120,1,67,0,2,525524,110432,312116,713768,9232,143527,294,294,0,0,0,10,15,83,5,98,4,0,0,0,0,38,623896,0,30,12,20,1613,259165,6360,68,1,28537,22651,24294,23792,4574,1300,4496,882,15,158,168,148,9792,3384,2343871,303,40,138,47,425750,426203,193,21,43,49,87,622285,391407,40,55,195,51,48,19,53,4,130,720350,455,0,109,2,3,0,119,0,11,130,1,0,0,1
35.4097,1663855908774,5.012590513,1,3.4,25.6,0.0,70.6,0.0,0.0,0.3,120,1,67,0,2,524836,111120,312116,713076,7359,119222,84,84,0,0,0,8,12,45,4,58,3,0,0,0,0,16,575086,0,15,7,15,2885,227012,5237,38,1,24093,19055,7901,8051,1311,248,1313,189,13,123,132,124,2704,860,2096432,241,14,130,5,392488,392432,153,18,14,16,34,573260,373601,21,23,153,28,18,11,16,3,112,704077,360,0,91,1,2,0,44,0,6,50,1,0,0,1
40.422,1663855915433,5.012339960,1,2.7,24.7,0.0,72.0,0.0,0.0,0.6,120,1,67,0,2,525716,110236,312120,713964,6561,120057,56,56,0,0,0,0,4,37,4,60,3,0,0,0,0,17,561354,0,16,6,15,2425,220126,5686,38,0,24589,19297,9715,10228,1926,523,1931,189,119,125,134,122,3673,1362,2072201,247,21,133,46,387103,387039,209,15,21,23,41,559601,366180,22,30,278,45,115,12,23,3,111,665096,523,0,139,1,6,6,59,0,6,65,1,2,1,2
45.4347,1663855922148,5.012676956,1,0.8,33.7,0.0,65.2,0.0,0.0,0.3,120,1,67,0,2,525976,109968,312128,714232,6395,115935,294,294,0,0,0,10,14,47,4,56,3,0,0,0,0,17,597598,0,16,7,15,2347,250811,5542,38,1,23863,18908,10435,10607,1896,452,1924,378,13,126,135,125,4171,1419,2235651,239,19,127,44,392536,392475,152,17,19,22,41,595675,370643,22,27,157,37,28,12,22,3,113,721910,375,0,91,1,2,0,61,2,8,69,1,0,0,1
50.447,1663855928825,5.012317346,1,1.6,23.7,0.0,74.1,0.0,0.0,0.6,119,1,67,0,2,525496,110440,312136,713760,7112,118806,84,84,0,0,0,10,14,48,4,56,3,0,0,0,0,18,573376,0,23,8,15,787,226931,5558,40,1,24229,19168,7986,8486,1312,249,1334,0,12,124,134,129,2723,879,2083451,243,14,132,5,390265,390214,159,17,14,17,34,571504,371256,21,23,157,31,17,16,16,4,112,693393,367,0,93,1,2,0,44,0,7,51,1,0,0,1
