time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01306,1663913672737,5.013064842,1,1.9,23.7,0.0,74.4,0.0,0.0,0.0,118,1,68,0,2,531116,112352,304604,717864,7529,140058,266,266,0,0,0,0,3,73,3,109,3,0,0,0,0,35,603692,0,19,11,15,759,248314,5800,72,0,25735,20632,14609,14990,2315,226,2354,63,11,148,168,141,5096,1534,2236929,285,25,131,7,405508,405422,185,17,25,29,57,601749,379981,31,35,350,47,26,17,30,4,128,727570,410,0,103,2,3,0,81,0,11,92,1,0,0,1
10.0256,1663913679347,5.012588644,1,2.9,30.4,0.0,66.4,0.0,0.0,0.3,118,1,68,0,2,530928,112516,304628,717688,6628,117894,84,84,0,0,0,8,17,46,9,57,4,0,0,0,0,20,569584,0,24,8,28,3028,226006,5319,40,1,24298,19013,9093,9216,1777,326,1784,252,143,123,133,124,3446,1290,2060532,241,17,132,44,389089,389022,231,21,17,19,37,567735,368826,23,27,450,32,159,16,20,4,109,689610,529,0,153,1,5,10,55,2,11,66,1,1,0,2
15.038,1663913686021,5.012441717,1,1.2,23.4,0.0,74.7,0.0,0.0,0.6,118,1,68,0,2,530620,112812,304640,717396,6351,119572,84,84,0,0,0,9,13,42,4,56,3,0,0,0,0,11,570384,0,14,7,16,2910,225051,5314,38,1,24170,19046,8802,9270,1745,698,1759,252,13,117,127,117,3420,1282,2070059,231,17,131,44,390027,389964,155,19,17,19,37,568358,370307,21,25,274,29,21,11,19,3,108,678008,364,0,90,2,2,0,60,0,6,66,1,0,0,1
20.0494,1663913692660,5.011403905,1,3.4,27.0,0.0,69.0,0.0,0.0,0.6,118,1,68,0,2,531708,111680,304684,718508,6883,121213,266,266,0,0,0,10,15,46,5,62,4,0,0,0,0,30,567408,0,15,8,19,1607,216513,5296,42,1,25004,19897,10178,10352,1569,69,1609,63,15,136,146,130,3588,1030,2016048,261,17,132,7,397559,397501,172,22,17,20,40,565900,375651,24,27,304,43,26,13,20,4,121,687069,389,0,105,1,3,0,48,0,8,56,1,0,0,1
25.0616,1663913699293,5.012155415,1,1.5,28.2,0.0,70.1,0.0,0.0,0.3,118,1,68,0,2,531072,112264,304736,717900,7020,120648,84,84,0,0,0,10,17,48,7,94,5,0,0,0,0,17,573999,0,33,9,22,3013,223153,5905,42,1,24722,19488,11346,11462,2454,675,2471,315,18,131,141,130,4664,1744,2085526,257,37,131,44,398011,397935,162,18,37,40,57,572034,375842,21,45,311,31,25,16,39,4,111,640387,425,0,131,3,9,7,58,1,7,65,1,5,4,4
30.0748,1663913705951,5.013171728,1,1.8,27.9,0.0,70.0,0.3,0.0,0.0,118,1,68,0,2,530800,112500,304772,717652,7402,136079,84,84,0,0,0,11,23,80,12,153,4,0,0,0,0,42,597424,0,33,13,38,2753,241073,5837,73,1,25500,20280,16406,16354,3405,715,3417,315,29,140,158,133,6533,2370,2203226,275,50,131,44,406945,406853,183,22,50,46,80,595558,380629,30,59,344,34,22,17,53,4,112,698371,439,0,155,3,5,6,89,4,17,106,1,5,4,3
35.0872,1663913712603,5.012418176,1,3.3,28.7,0.0,68.1,0.0,0.0,0.0,118,1,68,0,2,530076,113216,304780,716940,7172,120930,266,266,0,0,0,0,4,37,4,60,3,0,0,0,0,18,570581,0,15,6,17,2945,216419,5517,40,0,24998,19884,9898,10048,1528,256,1533,0,13,130,140,130,3430,979,2063256,248,16,132,7,400916,400862,158,18,16,19,38,568908,379100,22,25,293,43,25,12,19,3,120,669020,378,0,93,3,8,5,50,1,6,56,1,5,4,3
40.0995,1663913719289,5.012271368,1,3.6,33.9,0.0,62.2,0.0,0.0,0.3,118,2,68,0,2,530532,112796,304744,717376,8774,122023,84,84,0,0,0,10,16,43,6,60,3,0,0,0,0,32,570190,0,27,8,23,3053,227974,5787,42,1,25569,19982,18025,18320,3885,965,3914,693,17,134,144,132,8035,2909,2111366,263,34,132,46,394152,394040,171,20,34,41,67,568250,367236,31,47,314,38,42,17,41,4,113,676367,414,0,110,3,8,6,93,3,11,104,1,5,4,3
45.119,1663913725940,5.019457548,1,3.2,28.6,0.0,67.6,0.0,0.0,0.6,119,1,68,0,2,530772,112528,304772,717640,6391,120578,84,84,0,0,0,10,18,47,8,63,5,0,0,0,0,16,606363,0,17,8,29,1654,261498,5588,42,1,24155,19038,7752,7690,1514,250,1473,63,21,126,136,118,2755,1081,2255110,247,13,131,44,388599,388542,163,19,13,14,31,604479,369836,19,20,292,30,21,12,18,3,106,758097,382,0,117,3,7,5,52,2,13,65,1,5,4,3
50.1309,1663913732591,5.011934805,1,2.1,33.7,0.0,63.9,0.0,0.0,0.3,119,1,68,0,2,530980,112340,304752,717844,7322,120895,266,266,0,0,0,9,17,47,8,57,4,0,0,0,0,13,598073,0,23,9,27,2194,245480,5445,42,1,24867,19794,10056,10181,1525,383,1547,252,20,142,152,137,3456,989,2191985,272,16,131,7,399568,399515,170,17,16,19,38,596354,377766,22,25,320,45,26,17,19,4,122,722674,405,0,117,3,4,7,46,3,13,59,1,5,4,2
55.1443,1663913739232,5.013447126,1,2.9,29.4,0.0,67.7,0.0,0.0,0.0,119,1,68,0,2,531320,112004,304748,718180,6808,136910,84,84,0,0,0,9,14,78,5,106,4,0,0,0,0,25,579829,0,20,12,19,1157,231061,5588,72,1,25024,19868,13514,14003,2554,666,2570,567,15,129,148,129,5073,1822,2130918,253,26,131,44,397222,397149,173,22,26,29,56,578069,373806,30,35,322,34,25,17,29,4,116,697444,399,0,108,1,3,0,90,3,15,105,1,0,0,1
60.1567,1663913745862,5.012386342,1,3.1,26.0,0.0,70.6,0.0,0.0,0.3,119,1,68,0,2,530712,112608,304752,717576,6344,116548,84,84,0,0,0,9,15,37,6,66,5,0,0,0,0,29,580389,0,16,7,17,1782,228671,5467,42,1,23735,18599,7968,8274,1604,261,1361,0,107,118,128,118,2977,1147,2103308,231,18,130,16,395343,395282,206,17,18,17,36,578611,376202,22,27,411,31,138,13,20,4,107,701748,478,0,147,3,8,6,41,1,6,47,1,5,4,3
65.169,1663913752526,5.012324694,1,2.1,28.6,0.0,69.3,0.0,0.0,0.0,119,1,68,0,2,531304,111996,304772,718184,7239,120581,266,266,0,0,0,9,13,42,4,57,3,0,0,0,0,26,561596,0,14,7,19,1739,212726,5475,38,1,25021,19905,9943,10417,1519,67,1543,0,13,131,140,135,3426,988,1990645,251,16,132,7,395603,395537,163,20,16,19,38,559725,373770,22,25,292,44,25,11,19,3,123,681070,397,0,106,1,2,0,46,0,6,52,1,0,0,1
70.1806,1663913759161,5.011628345,1,3.5,27.0,0.0,69.5,0.0,0.0,0.0,119,1,68,0,2,530792,112488,304792,717684,6247,116262,84,84,0,0,0,10,15,47,5,60,4,0,0,0,0,7,563119,0,15,7,19,2920,219508,5264,40,1,24078,18968,9061,9236,1823,259,1863,252,15,118,128,119,3564,1317,2060336,231,18,131,44,388193,388136,157,22,18,21,38,560975,368296,21,25,278,29,24,11,19,3,109,675575,377,0,100,2,2,0,54,0,8,62,1,0,0,1
75.1925,1663913765795,5.011854549,1,2.3,25.2,0.0,72.5,0.0,0.0,0.0,119,1,68,0,2,530428,112860,304784,717320,7298,120806,84,84,0,0,0,9,13,47,4,98,3,0,0,0,0,22,577991,0,35,8,14,2551,229261,5499,40,1,24590,19414,10149,10025,2253,354,1985,63,12,133,143,135,4099,1545,2110838,261,37,132,16,395156,395084,162,16,37,37,54,576286,373762,18,43,311,32,22,17,38,4,113,692228,392,0,122,1,2,0,43,0,7,50,1,0,0,1
80.2051,1663913772482,5.012607464,1,3.1,29.5,0.0,66.3,0.0,0.0,1.1,119,2,68,0,2,531280,112060,304732,718148,10108,140443,266,266,0,0,0,10,15,75,5,159,4,0,0,0,0,42,557206,0,46,11,19,3832,218309,6506,71,1,27978,22262,27168,27710,5402,1115,5402,630,15,162,180,159,11364,3767,2053043,313,71,132,9,401719,401597,202,22,70,79,115,555439,365413,41,85,386,52,42,22,79,5,131,618869,475,0,145,1,3,0,104,0,10,114,1,0,0,1
85.2184,1663913779126,5.013261394,1,3.9,30.1,0.0,64.3,0.9,0.0,0.9,120,1,68,0,2,530960,112364,304748,717840,6461,119657,84,84,0,0,0,0,2,37,2,64,2,0,0,0,0,14,603408,0,18,6,11,2945,252936,5595,38,0,24247,19099,9298,9754,1879,200,1898,189,9,122,131,122,3668,1367,2231274,239,21,131,44,395590,395525,150,15,21,23,42,601554,375384,21,29,288,29,25,11,23,3,110,749981,366,0,94,1,2,0,58,1,6,64,1,1,1,2
90.2807,1663913785805,5.062324908,1,2.1,26.2,0.0,71.6,0.0,0.0,0.0,120,1,68,0,2,530768,112544,304760,717660,6863,119475,84,84,0,0,0,12,16,45,4,56,3,0,0,0,0,16,598935,0,15,7,17,2894,251911,5405,38,1,24120,19022,7185,7082,1408,117,1137,63,13,123,129,127,2642,1013,2237694,241,13,133,16,391346,391290,156,20,13,13,30,596987,372866,18,19,281,31,22,11,14,3,115,741976,370,0,102,1,2,0,40,1,13,53,1,0,0,1
95.2932,1663913792539,5.012543200,1,2.2,23.5,0.0,74.3,0.0,0.0,0.0,120,1,68,0,2,530524,112784,304764,717420,7038,120573,266,266,0,0,0,10,14,47,4,56,3,0,0,0,0,20,565442,0,15,7,16,1863,215698,5692,38,1,25069,19940,9959,10466,1518,255,1534,126,13,131,141,133,3431,976,2004647,251,16,132,7,395855,395793,164,19,16,20,38,563633,373948,22,25,293,43,26,12,19,3,122,681976,401,0,99,1,2,0,46,0,8,54,1,0,0,1
100.306,1663913799170,5.012783081,1,2.3,26.5,0.0,71.2,0.0,0.0,0.0,120,1,68,0,2,531280,112020,304772,718180,6686,118058,84,84,0,0,0,9,13,47,4,57,3,0,0,0,0,28,567953,0,23,8,13,973,220677,5349,40,1,24041,18937,8930,9328,1748,382,1758,315,12,124,134,126,3454,1292,2049372,243,17,130,44,390666,390602,153,15,17,19,38,566013,370977,21,25,292,32,25,17,19,4,111,698825,370,0,93,1,2,0,59,0,7,66,1,0,0,1
105.329,1663913805804,5.022523092,1,2.4,31.5,0.0,66.1,0.0,0.0,0.0,120,2,68,0,2,530936,112376,304760,717836,7063,139132,84,84,0,0,0,9,14,78,5,103,4,0,0,0,0,20,558663,0,21,12,19,2178,216432,5820,72,1,25111,19840,12021,12283,2214,406,1936,252,135,132,148,135,4294,1567,2061178,259,22,135,16,389984,389918,235,21,22,23,49,556752,367273,28,30,445,35,117,17,24,4,121,650771,539,0,146,1,3,0,72,0,11,83,1,0,0,1
110.341,1663913812486,5.012375211,1,4.0,29.2,0.0,66.8,0.0,0.0,0.0,120,1,68,0,2,531148,112160,304764,718052,6785,119618,266,266,0,0,0,9,14,46,5,60,4,0,0,0,0,21,577194,0,14,7,19,2868,231443,5585,40,1,24939,19832,10195,10522,1564,131,1603,63,15,130,140,129,3574,1015,2097316,249,17,131,7,393637,393581,160,19,17,20,40,575392,371694,24,27,291,42,25,12,20,4,119,701442,386,0,108,1,3,0,47,1,6,53,1,2,2,2
115.353,1663913819126,5.012084633,1,3.2,25.6,0.0,70.8,0.0,0.0,0.3,121,1,68,0,2,530952,112368,304752,717848,8504,121060,84,84,0,0,0,11,18,44,7,79,4,0,0,0,0,25,558324,0,28,7,26,1954,217517,5863,41,1,25711,20094,19844,20025,4226,856,4233,504,19,135,144,133,8797,3154,2053611,263,42,132,46,393936,393838,170,19,42,50,79,556456,365799,33,56,316,38,44,17,51,4,114,628756,422,0,121,3,8,9,91,3,12,103,1,5,4,4
120.383,1663913825788,5.030284618,1,2.6,28.9,0.0,68.2,0.0,0.0,0.3,121,1,68,0,2,531472,111856,304744,718364,6391,120834,84,84,0,0,0,9,16,46,7,57,4,0,0,0,0,10,612180,0,16,7,28,2290,258635,5429,41,1,24057,18978,7761,7886,1524,189,1268,0,19,121,131,119,2957,1091,2293576,237,15,133,16,397193,397129,158,19,15,13,36,610257,378487,21,22,281,30,21,12,17,3,108,761130,380,0,116,3,6,6,45,3,12,57,1,5,4,3
125.396,1663913832529,5.012548193,1,2.5,25.4,0.0,71.8,0.0,0.0,0.3,121,1,68,0,2,531060,112220,304792,717988,7610,121437,266,266,0,0,0,12,17,50,5,100,4,0,0,0,0,23,563517,0,31,8,20,2237,222629,5829,42,1,25572,20361,12504,13024,2240,234,2255,126,15,145,155,141,4657,1426,2054348,279,36,132,7,391488,391415,175,19,36,42,58,561853,367042,22,45,330,44,26,16,39,4,123,656737,441,0,136,3,9,6,50,3,16,66,1,5,4,3
