time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01223,1663049726913,5.012232468,1,2.8,24.5,0.0,72.4,0.0,0.0,0.3,120,1,68,0,2,469704,116088,362280,675164,6072,100293,294,294,0,0,0,8,10,8,2,0,1,0,0,0,0,16,584377,0,4,1,11,579,231535,5200,0,1,24172,18924,4920,5351,641,38,652,0,133,115,115,116,1625,368,2141917,217,6,134,7,395103,395051,198,16,6,8,16,582599,376816,13,15,377,30,136,0,9,0,111,712119,493,0,126,1,0,0,12,1,6,18,1,0,0,1
10.0962,1663049733513,5.083938436,1,1.9,21.4,0.0,76.7,0.0,0.0,0.0,120,1,68,0,2,469592,116184,362296,675056,5494,100390,84,84,0,0,0,5,7,5,2,6,1,0,0,0,0,16,567871,0,3,1,11,2903,217835,5126,0,1,23610,18447,3305,4526,690,283,945,126,9,105,105,104,1200,501,2069847,207,9,132,33,390652,390603,125,16,9,11,14,566177,375258,9,16,221,28,13,0,8,0,101,702724,319,0,78,1,0,0,20,0,0,20,1,0,0,1
15.1081,1663049740242,5.011924657,1,1.7,30.8,0.0,67.5,0.0,0.0,0.0,120,1,68,0,2,468788,116992,362292,674256,5494,100390,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,9,561803,0,3,2,11,2934,217964,5020,0,1,23471,18387,5880,6378,1270,360,1283,126,9,103,103,105,2477,937,2017821,203,11,131,44,386633,386579,126,16,11,13,25,559815,369218,14,18,220,24,21,0,13,0,101,700548,331,0,81,1,0,0,27,0,0,27,1,0,0,1
20.1206,1663049746925,5.012461369,1,3.0,27.0,0.0,70.0,0.0,0.0,0.0,120,1,68,0,2,469396,116372,362304,674876,6382,101386,294,294,0,0,0,5,7,5,2,0,1,0,0,0,0,4,569379,0,5,1,12,2894,217177,5125,0,1,24002,18938,4728,5202,623,221,637,0,9,116,116,119,1629,364,2025214,219,6,132,7,395076,395028,135,16,6,9,16,567472,377281,11,13,238,31,22,0,8,0,112,699650,335,0,73,1,0,0,12,0,0,12,1,0,0,1
25.1335,1663049753546,5.012882355,1,2.0,19.7,0.0,78.4,0.0,0.0,0.0,119,1,68,0,2,470152,115616,362304,675628,5695,99425,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,3,555696,0,4,1,11,2888,212805,4929,0,1,23165,18103,2722,3475,496,149,731,126,9,106,106,107,878,350,2016053,209,4,130,33,383503,383466,126,15,4,6,11,553943,368947,9,12,224,28,14,0,5,0,103,691226,305,0,72,1,0,0,17,0,0,17,1,1,1,2
30.1458,1663049760196,5.012308713,1,2.3,28.3,0.0,69.1,0.0,0.0,0.3,120,1,68,0,2,469428,116336,362308,674912,7555,100708,56,56,0,0,0,6,9,6,3,3,2,0,0,0,0,14,548473,0,14,1,15,1551,213757,5494,2,1,24718,19207,15065,15537,3356,996,3377,756,11,117,117,113,7064,2555,2023665,231,28,130,46,384378,384320,139,17,28,35,55,546792,359843,24,40,251,30,38,5,36,1,104,653221,369,0,89,1,1,0,55,0,1,56,1,1,1,2
35.1574,1663049766822,5.011606325,1,1.8,29.0,0.0,68.6,0.0,0.0,0.6,120,1,68,0,2,469576,116180,362316,675072,6418,99708,294,294,0,0,0,5,7,5,2,0,1,0,0,0,0,15,606915,0,11,1,12,2909,253079,5349,0,1,23912,18858,4745,4901,622,158,642,0,9,118,118,123,1626,378,2226675,223,6,131,7,396385,396331,133,15,6,8,16,605105,378807,11,13,246,29,22,0,8,0,113,765181,357,0,80,1,0,0,12,1,3,15,1,0,0,1
40.1739,1663049773465,5.016531584,1,3.1,23.3,0.0,73.3,0.0,0.0,0.3,117,1,68,0,2,469592,116148,362332,675088,5545,97339,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,5,560607,0,3,2,11,2883,211476,4889,0,1,22916,17911,2712,3229,567,85,743,63,9,102,102,103,936,413,2025425,201,5,129,33,388693,388670,126,15,4,10,11,559744,374387,9,12,215,28,14,0,5,0,100,680963,321,0,77,1,0,0,16,0,1,17,1,0,0,1
45.1863,1663049780155,5.012431522,1,2.5,22.1,0.0,75.5,0.0,0.0,0.0,117,1,68,0,2,469648,116088,362336,675156,5792,99397,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,7,551776,0,4,1,10,2592,215356,5144,0,1,23506,18413,5869,6028,1263,235,1290,63,8,105,105,107,2459,940,2001827,207,11,131,44,378942,378895,126,13,11,13,25,549904,361566,14,18,225,26,21,0,13,0,101,672989,338,0,80,1,0,0,25,0,0,25,1,0,0,1
50.1987,1663049786787,5.012373606,1,2.9,28.3,0.0,68.7,0.0,0.0,0.0,117,1,68,0,2,469868,115856,362348,675388,6130,101597,294,294,0,0,0,5,7,5,2,0,1,0,0,0,0,5,611451,0,5,1,11,2564,252150,5257,0,1,23874,18826,4680,4829,627,32,642,63,9,116,116,118,1623,361,2252031,219,6,131,7,401506,401452,131,15,6,8,16,609555,383974,11,13,235,29,21,0,8,0,112,758683,347,0,75,1,0,0,11,0,0,11,1,1,1,2
