time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01562,1662962504531,5.015623629,1,9.7,27.8,0.0,62.5,0.0,0.0,0.0,119,3,64,0,1,531388,108436,308248,721268,7175,104348,4154,4154,35,0,0,0,0,0,0,0,0,0,0,0,0,2,511378,0,15,0,4,2937,202530,5483,0,0,23525,18502,2813,3332,296,21,443,0,4,139,140,142,900,172,1749228,235,3,131,6,350128,350082,138,10,3,4,10,509389,334275,8,9,262,26,34,7,4,2,129,586177,357,0,67,1,0,0,7,0,0,7,1,0,0,1
10.0294,1662962511429,5.013758717,1,1.0,29.8,0.0,67.6,0.0,0.0,1.6,118,2,64,0,2,531140,108692,308240,721024,5746,99347,84,84,35,0,0,5,7,5,2,0,1,0,0,0,0,5,567292,0,4,1,11,2891,233860,5223,0,1,23095,18127,3147,3294,451,88,475,63,9,102,102,105,884,256,2063686,199,4,130,5,373448,373396,122,15,4,5,13,565455,358436,9,10,217,31,14,0,5,0,99,716141,318,0,74,1,0,0,9,0,0,9,1,0,0,1
15.0438,1662962518184,5.014433422,1,3.3,32.9,0.0,63.5,0.0,0.0,0.3,116,1,64,0,2,530972,108836,308264,720872,5442,98304,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,9,539569,0,3,2,11,1973,224630,5175,0,1,22943,17903,3778,4321,868,346,891,126,9,102,102,103,1592,691,2000152,201,7,130,44,355706,355658,122,16,7,10,16,537659,340168,10,13,219,23,20,0,8,0,100,665794,324,0,72,1,0,0,21,0,0,21,1,0,0,1
20.0583,1662962524899,5.014460257,1,20.2,28.4,0.0,50.2,0.0,0.0,1.3,116,1,64,0,2,531532,108272,308268,721432,5789,101033,294,294,35,0,0,6,13,6,7,4,2,0,0,0,0,4,517790,0,4,1,24,2942,195651,5273,2,1,23341,18339,2487,3002,223,79,257,63,19,112,112,113,730,125,1820487,211,2,131,6,362658,362610,129,18,2,6,7,516153,347084,7,8,224,24,16,0,3,0,108,624439,337,0,83,3,2,5,6,1,5,11,1,3,2,3
25.0735,1662962531648,5.015193280,1,1.3,29.7,0.0,68.3,0.0,0.0,0.7,117,1,64,0,2,531244,108544,308284,721152,5494,99608,84,84,35,0,0,6,9,6,3,6,2,0,0,0,0,5,590264,0,4,1,12,3034,261203,5324,1,1,23412,18259,3844,3981,611,39,629,63,137,103,103,102,1112,336,2225465,201,8,133,5,370641,370588,198,14,8,9,17,588169,354530,11,16,374,30,141,0,10,0,98,747651,490,0,137,3,1,0,9,1,5,14,1,2,2,3
30.0902,1662962538361,5.016707752,1,2.6,28.3,0.0,68.8,0.0,0.0,0.4,117,1,64,0,2,531948,107844,308280,721860,5390,98304,56,56,35,0,0,5,9,5,4,0,2,0,0,0,0,9,515065,0,3,1,14,1977,197205,5213,1,1,22674,17710,3769,4272,866,220,887,63,13,101,101,101,1596,685,1850852,199,7,129,44,357698,357646,127,18,7,8,16,512963,342189,10,13,217,23,20,0,8,0,97,636764,310,0,80,3,3,5,21,1,4,25,1,3,2,3
35.1054,1662962545095,5.015178476,1,19.3,30.2,0.0,49.5,0.0,0.0,1.0,116,1,64,0,2,532248,107536,308288,722168,6294,101111,294,294,35,0,0,6,10,6,4,2,2,0,0,0,0,3,522471,0,4,1,15,2937,201737,5139,2,1,23329,18337,2749,3228,291,20,286,0,12,112,112,116,790,140,1890242,211,3,131,6,361429,361363,127,15,2,6,8,520067,345755,7,8,225,26,17,0,3,0,109,635085,326,0,75,3,5,4,6,1,5,11,1,3,2,3
40.1271,1662962551814,5.021741959,1,2.1,31.2,0.0,66.7,0.0,0.0,0.0,116,1,64,0,2,531736,108020,308316,721672,13302,200269,168,168,35,0,0,0,5,0,5,1,1,0,0,0,0,12,537437,0,15,0,16,3400,208816,5404,0,0,23826,18869,11322,12348,2669,592,2692,189,15,119,119,115,5360,2074,1957352,233,24,130,46,376779,376728,140,13,24,29,42,537052,355193,18,31,255,29,38,5,21,1,105,632979,371,0,83,3,1,4,54,0,0,54,1,1,0,2
45.1416,1662962563624,5.014521842,1,1.9,28.4,0.0,69.4,0.0,0.0,0.3,114,1,64,0,2,531552,108172,308348,721500,6520,100126,294,294,35,0,0,5,7,5,2,6,1,0,0,0,0,8,570033,0,12,1,11,529,239877,5598,0,1,24003,18929,5355,5938,772,165,809,126,9,120,120,122,1845,474,2098872,227,10,131,7,373244,373189,135,15,10,14,21,568371,355021,11,17,245,32,23,0,12,0,112,674538,356,0,85,1,0,0,11,1,4,15,1,0,0,1
50.1634,1662962570350,5.021779241,1,5.3,30.0,0.0,64.7,0.0,0.0,0.0,114,1,64,0,2,531600,108092,308380,721572,5974,100061,56,56,35,0,0,6,11,6,5,4,2,0,0,0,0,8,575714,0,17,2,18,512,250537,5211,2,1,23389,18318,5818,5886,1198,232,1197,126,15,110,110,111,2274,872,2157571,217,10,130,44,366825,366774,131,17,10,10,21,573471,349525,12,17,243,30,23,0,12,0,100,725659,326,0,83,3,3,4,28,1,5,33,1,3,2,3
