time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01599,1660738956871,5.015985350,1,4.2,38.1,0.0,57.7,0.0,0.0,0.0,279,1,63,0,164,104600,115584,727888,249424,5881,98678,84,84,40,0,0,8,10,8,2,0,1,0,0,0,0,13,539626,0,5,1,11,1899,236500,5501,0,1,22507,17595,8397,8551,881,9,908,0,9,102,102,106,1,5,2040288,199,1,129,36,351767,351723,121,15,0,0,3,537582,328791,6,6,215,34,15,0,0,0,100,689969,325,0,66,1,0,0,21,1,5,26,1,0,0,1
10.0332,1660738963900,5.017191692,1,3.6,37.7,0.0,58.8,0.0,0.0,0.0,279,1,63,0,164,104776,115400,727896,249604,6033,102078,84,84,40,0,0,5,7,5,2,8,1,0,0,0,0,22,537160,0,10,0,11,2116,234744,5910,0,1,22743,17763,9839,10602,1284,93,1596,0,9,105,105,106,1039,364,2016312,205,8,128,60,350795,350728,124,16,8,10,15,534983,326788,9,16,222,29,14,0,9,0,99,676960,340,0,71,1,0,0,33,0,0,33,1,0,0,1
15.0494,1660738971046,5.016169878,1,3.3,36.0,0.0,60.4,0.0,0.0,0.3,279,1,63,0,164,104948,115228,727896,249776,6017,97556,294,294,40,0,0,5,7,5,2,0,1,0,0,0,0,22,481687,0,12,1,10,1673,191887,5763,0,1,25107,20121,21936,22095,3089,416,3086,126,8,115,115,114,2341,797,1746801,217,9,128,69,354700,354644,132,14,9,11,20,479633,316118,11,15,243,27,28,0,11,0,105,562054,387,0,80,1,0,0,36,0,0,36,1,0,0,1
20.0659,1660738978015,5.016459302,1,22.0,33.7,0.0,44.0,0.0,0.0,0.3,279,1,63,0,164,104372,115800,727900,249204,5653,98519,84,84,40,0,0,5,7,5,2,0,1,0,0,0,0,6,525842,0,5,0,11,1037,222137,5702,0,1,22704,17746,8410,8566,880,9,907,0,9,104,104,105,1,5,1961366,205,0,130,36,351358,351309,124,15,0,0,4,523143,327841,6,6,218,31,12,0,0,0,100,672913,323,0,66,1,0,0,17,0,0,17,1,0,0,1
25.0832,1660738984988,5.017335126,1,5.3,35.1,0.0,58.6,0.0,0.0,0.9,279,1,63,0,164,104444,115728,727900,249276,5752,97417,84,84,40,0,0,5,7,5,2,0,1,0,0,0,0,11,516691,0,4,0,11,2230,214200,5589,0,1,22449,17544,7743,8251,796,9,823,0,9,104,104,105,1,5,1913724,203,0,129,32,348952,348900,123,15,0,0,3,514523,326738,6,6,219,28,16,0,0,0,101,654906,334,0,66,1,0,0,19,0,0,19,1,1,1,2
30.1009,1660738992001,5.017723090,1,5.9,38.5,0.0,55.0,0.0,0.0,0.6,278,1,63,0,164,104420,115740,727912,249264,5937,99054,189,189,40,0,0,6,11,6,5,8,2,0,0,0,0,23,518641,0,3,1,20,2092,223836,5743,0,1,23073,17939,10867,11057,1713,235,1738,0,81,104,104,105,1882,767,1940482,205,11,130,70,345118,345062,166,18,11,13,21,516633,320036,11,18,317,30,97,0,12,0,99,635179,456,0,120,1,2,5,36,1,5,41,1,1,0,2
35.1187,1660738999016,5.017824912,1,5.7,36.0,0.0,58.3,0.0,0.0,0.0,278,1,63,0,164,104216,115948,727908,249056,7476,97824,84,84,40,0,0,5,7,5,2,0,1,0,0,0,0,44,487620,0,16,0,10,2819,196427,6059,0,1,24564,19333,28387,28238,4889,462,4634,252,8,117,116,112,5633,2179,1805091,227,20,129,42,356091,356021,133,14,20,24,39,485572,315765,17,29,251,32,39,5,25,1,101,586319,386,0,76,1,0,0,56,0,0,56,1,0,0,1
40.135,1660739006056,5.016331279,1,12.1,41.8,0.0,45.8,0.0,0.0,0.3,278,1,63,0,164,104576,115588,727908,249416,5442,99347,56,56,40,0,0,5,7,5,2,0,1,0,0,0,0,9,474816,0,3,1,11,1095,190126,5587,0,1,22579,17661,7702,8190,799,9,821,0,9,101,101,102,1,6,1738884,199,0,129,32,334828,334789,125,15,0,0,4,473248,312604,6,6,213,28,13,0,0,0,98,594445,326,0,69,1,0,0,19,0,0,19,1,0,0,1
45.1517,1660739013032,5.016677056,1,5.5,36.6,0.0,57.6,0.0,0.0,0.3,278,1,63,0,164,104352,115808,727912,249196,5529,96520,84,84,40,0,0,5,7,5,2,0,1,0,0,0,0,7,467384,0,4,0,11,591,182642,5620,0,1,22669,17690,10007,10521,1525,94,1561,126,9,104,104,104,1612,688,1723569,203,7,128,69,333120,333068,123,15,7,8,16,465256,309203,10,13,228,27,27,0,8,0,100,557109,350,0,75,1,0,0,36,0,0,36,1,0,0,1
50.168,1660739020022,5.016272111,1,4.7,38.8,0.0,55.8,0.0,0.0,0.6,277,1,62,0,164,105824,114240,728008,250764,5338,98304,240,240,40,0,0,5,11,5,6,0,5,0,0,0,0,8,521411,0,9,24,19,857,228383,5911,0,1,22718,17718,9911,10672,1591,223,1828,315,13,104,104,102,1792,755,1957958,199,8,129,66,341339,341287,123,18,8,10,23,519236,317692,11,16,220,30,24,9,9,4,97,655000,351,0,90,1,0,0,33,0,0,33,1,1,1,2
