time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01226,1660738988506,5.012257773,1,2.9,30.0,0.0,67.1,0.0,0.0,0.0,116,1,64,0,2,546464,110616,290992,735660,5912,98992,266,266,0,0,0,9,11,9,2,8,1,0,0,0,0,10,615451,0,3,1,10,2956,264845,5353,0,1,24076,18882,5148,5267,755,108,785,63,89,113,113,112,1870,474,2287454,213,10,132,5,393838,393781,178,16,10,12,20,613695,375589,12,18,341,22,113,0,12,0,109,743710,440,0,113,1,0,0,11,1,7,18,1,0,0,1
10.0253,1660738995208,5.012993598,1,2.7,27.5,0.0,69.8,0.0,0.0,0.0,116,1,64,0,2,545792,111280,291000,735000,5442,98304,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,12,550355,0,3,1,8,2915,208158,5134,0,1,23081,18034,3954,4114,894,283,927,126,9,103,103,104,1596,689,1957001,203,7,130,44,382558,382513,123,15,7,8,16,548357,366706,10,13,223,30,23,0,8,0,100,678094,300,0,69,1,0,0,19,0,0,19,1,0,0,1
15.0383,1660739001867,5.013019952,1,3.3,26.6,0.0,69.5,0.0,0.0,0.6,116,1,64,0,2,545236,111828,291008,734452,5477,95477,84,84,0,0,0,6,14,6,8,2,2,0,0,0,0,16,561941,0,4,1,29,2733,226676,4907,2,1,22023,17278,4305,4117,923,221,649,0,20,102,102,103,1687,664,2036446,199,7,125,17,376031,375976,120,16,7,6,19,560140,360466,11,12,220,28,25,0,8,0,99,696757,318,0,92,3,2,7,10,1,5,15,1,3,2,2
20.0513,1660739008715,5.012979849,1,2.0,22.5,0.0,75.2,0.0,0.0,0.3,116,1,64,0,2,546296,110752,291024,735516,5706,99879,266,266,0,0,0,5,7,5,2,0,1,0,0,0,0,15,568862,0,3,1,11,1445,222731,5135,0,1,23563,18571,4468,5014,605,30,624,0,9,110,110,111,1636,373,2084561,209,6,131,5,387479,387432,126,15,6,8,16,567028,370337,11,13,221,22,15,0,8,0,107,699160,326,0,77,1,0,0,11,0,1,12,1,0,0,1
25.0644,1660739015366,5.013077869,1,2.1,29.0,0.0,68.4,0.0,0.0,0.6,116,1,64,0,2,546344,110712,291016,735564,5286,94393,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,7,549468,0,4,2,7,2179,217410,4958,0,1,21880,17102,3948,4153,891,219,910,126,8,98,98,99,1602,691,1989706,191,7,125,44,371076,371029,119,13,7,8,17,547602,355833,10,13,214,30,24,0,8,0,95,669359,305,0,73,1,0,0,25,0,0,25,1,0,0,1
30.0772,1660739022038,5.012810320,1,3.1,24.4,0.0,72.2,0.0,0.0,0.3,116,1,64,0,2,545540,111540,290992,734756,7844,100095,84,84,0,0,0,5,7,5,2,1,1,0,0,0,0,24,547524,0,16,1,10,2897,209132,5508,0,1,24545,19101,13471,13391,3040,601,2749,126,9,123,123,120,6270,2303,1970791,241,24,130,19,386740,386673,146,16,24,29,49,545603,363288,21,34,271,34,45,5,30,1,108,620327,372,0,77,1,0,0,41,0,0,41,1,0,0,1
35.0904,1660739028745,5.013185011,1,3.1,26.2,0.0,70.7,0.0,0.0,0.0,116,1,64,0,2,546084,111004,290984,735296,6010,99957,266,266,0,0,0,5,7,5,2,0,1,0,0,0,0,8,556411,0,3,1,11,1544,213576,5302,0,1,23669,18649,4481,4623,609,157,648,189,9,111,111,113,1627,382,1991297,211,6,131,5,384398,384353,127,16,6,8,16,554535,367230,11,13,223,24,15,0,8,0,107,647475,342,0,74,1,0,0,11,0,0,11,1,0,0,1
40.1031,1660739035414,5.012656944,1,2.7,29.7,0.0,67.7,0.0,0.0,0.0,116,1,64,0,2,546032,111056,290984,735248,5390,97261,84,84,0,0,0,5,11,5,6,0,2,0,0,0,0,8,552755,0,4,1,21,2837,209926,4956,0,1,22644,17689,3950,4452,883,283,914,63,17,101,101,102,1599,679,1955385,197,7,128,44,382777,382734,122,17,7,8,17,551004,367178,10,13,219,30,23,0,8,0,98,656895,331,0,83,1,1,6,18,1,4,22,1,1,0,2
45.1179,1660739042072,5.014781139,1,2.8,27.7,0.0,69.5,0.0,0.0,0.0,116,1,64,0,2,546288,110780,291004,735516,5661,97771,84,84,0,0,0,8,10,8,2,0,1,0,0,0,0,17,555431,0,4,2,11,2874,217269,5110,0,1,23061,18081,5989,5907,1278,237,1298,63,9,105,105,106,2468,946,2036928,204,12,128,45,379895,379843,124,16,11,8,26,553547,362572,14,18,232,28,29,0,14,0,102,698542,332,0,74,1,0,0,21,0,2,23,1,0,0,1
50.1313,1660739048759,5.013413290,1,2.8,28.2,0.0,69.0,0.0,0.0,0.0,116,1,64,0,2,545884,111180,291008,735116,5654,99879,266,266,0,0,0,5,7,5,2,0,1,0,0,0,0,12,614682,0,3,1,10,2563,268518,5389,0,1,23899,18700,4620,5138,616,101,641,63,94,110,110,111,1637,376,2308410,209,6,133,5,388777,388722,181,16,6,8,16,612857,370924,14,16,347,22,128,0,9,0,107,773244,447,0,115,1,0,0,11,0,0,11,1,0,0,1
