time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.34651,1660804191322,5.346514566,1,5.1,41.1,0.0,53.8,0.0,0.0,0.0,301,1,63,0,192,97880,119532,730660,246952,6490,102311,161,161,35,0,0,8,10,8,2,0,1,0,0,0,0,21,537891,0,6,0,10,1511,217624,5904,0,1,23143,18097,9762,9808,1465,281,1329,0,9,107,107,113,1466,626,1961965,211,6,132,69,370463,370411,131,16,6,3,15,536315,346455,9,11,235,29,25,0,7,0,105,673002,361,0,69,1,0,0,36,1,6,42,1,0,0,1
10.3639,1660804198628,5.017373277,1,3.5,30.5,0.0,65.3,0.0,0.0,0.6,301,1,63,0,192,97376,120036,730660,246448,5680,98495,84,84,35,0,0,11,13,11,2,4,1,0,0,0,0,18,523234,0,4,0,10,2306,219839,5876,0,1,22952,17844,9281,9438,1056,23,1084,63,139,104,104,104,244,100,1954879,203,4,131,37,352652,352606,193,15,4,4,7,521279,328362,7,11,343,32,101,0,4,0,100,657797,506,0,128,1,0,0,21,0,3,24,1,0,0,1
15.3803,1660804205590,5.016413650,1,6.6,39.0,0.0,53.8,0.0,0.0,0.6,301,1,63,0,192,97564,119848,730660,246636,5338,97261,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,27,515934,0,3,0,11,2833,217835,5662,0,1,23060,18143,14384,14537,2081,296,2113,63,9,99,99,100,2548,948,1939989,195,12,127,72,350418,350364,119,15,11,13,26,513899,322238,14,18,217,31,24,0,13,0,97,635364,337,0,79,1,0,0,45,0,0,45,1,0,0,1
20.3966,1660804212627,5.016264589,1,3.2,33.5,0.0,62.6,0.0,0.0,0.6,301,1,63,0,192,96980,120432,730660,246052,5569,97485,84,84,35,0,0,5,7,5,2,0,1,0,0,0,0,7,498649,0,6,0,11,2483,213275,5781,0,1,23730,18822,19360,19525,2923,157,2970,126,9,102,102,105,1594,680,1866562,199,7,126,69,346806,346755,125,16,7,8,16,496693,313761,10,13,223,27,24,0,8,0,99,609741,378,0,78,1,0,0,40,0,0,40,1,0,0,1
25.4134,1660804219623,5.016757189,1,6.4,37.5,0.0,56.1,0.0,0.0,0.0,301,1,64,0,191,96900,120512,730660,245972,5528,97615,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,7,542363,0,7,0,10,2797,235210,5511,0,1,22373,17494,7696,8159,798,9,826,0,9,102,102,105,1,5,2025247,201,0,128,32,353765,353716,120,14,0,0,4,540365,331668,6,6,216,28,11,0,0,0,99,690630,333,0,66,1,0,0,19,0,0,19,1,1,1,2
30.4329,1660804227086,5.019546590,1,3.4,31.9,0.0,64.4,0.0,0.0,0.3,301,1,63,0,192,97100,120320,730652,246164,5986,97995,294,294,35,0,0,9,17,6,8,0,2,0,0,0,0,23,509951,0,3,0,27,1208,212891,5879,0,1,24508,19559,14091,14257,1421,158,1442,63,20,110,110,111,1695,407,1861334,208,6,129,33,353270,353219,130,15,6,8,16,507902,321783,11,13,224,31,19,0,8,0,106,615699,390,0,95,1,3,9,28,1,5,33,1,9,8,2
35.4495,1660804234112,5.016618231,1,5.1,37.8,0.0,57.1,0.0,0.0,0.0,301,1,63,0,192,96884,120524,730664,245960,5819,97754,84,84,35,0,0,5,7,5,2,0,1,0,0,0,0,25,489283,0,4,0,10,1784,193284,5800,0,1,23345,18354,14483,14635,2076,362,2108,126,9,106,106,107,2545,964,1808593,207,11,127,74,348736,348677,125,16,11,13,26,487098,320268,14,18,231,31,28,0,13,0,103,588527,349,0,78,1,0,0,42,0,0,42,1,0,0,1
40.4631,1660804241076,5.013607217,1,3.8,30.4,0.0,65.5,0.0,0.0,0.3,301,1,63,0,192,97908,119500,730664,246984,14075,212374,378,378,35,0,0,0,0,0,0,0,0,0,0,0,0,18,511957,0,15,0,4,3373,204463,6037,0,0,25341,20521,21767,21503,3112,396,2915,126,4,126,126,122,4881,1663,1869829,237,16,130,35,372067,372023,134,10,16,25,37,511612,334683,19,24,256,35,35,5,21,1,110,608448,392,0,66,1,0,0,39,0,0,39,1,0,0,1
45.4798,1660804253688,5.016700052,1,2.0,42.1,0.0,55.0,0.0,0.0,0.9,300,1,63,0,192,97112,120296,730664,246188,5471,96718,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,7,533477,0,5,0,11,975,229639,5795,0,1,23002,18096,13719,13808,1990,172,2014,0,9,101,101,102,2553,959,1998506,199,11,126,70,354831,354762,125,16,11,14,26,531190,327470,14,18,223,28,26,0,13,0,98,651229,367,0,81,1,0,0,43,0,0,43,1,1,1,2
50.4966,1660804260675,5.016768541,1,22.5,38.6,0.0,38.3,0.0,0.0,0.6,301,1,63,0,192,97388,120020,730664,246464,5792,99701,84,84,35,0,0,6,8,6,2,6,1,0,0,0,0,5,550538,0,6,0,11,2991,244501,5749,0,1,22900,17792,7031,7184,772,24,797,63,124,103,103,107,240,93,2084717,201,4,132,26,352325,352281,189,16,4,4,7,548375,330704,7,11,353,24,115,0,5,0,100,702248,481,0,126,1,0,0,13,1,5,18,1,0,0,1
55.5136,1660804267640,5.016951872,1,3.7,40.6,0.0,54.9,0.0,0.0,0.8,302,1,63,0,192,97852,119556,730664,246928,5654,97787,266,266,35,0,0,5,7,5,2,0,1,0,0,0,0,20,500565,0,3,0,9,2880,205370,5657,0,1,24403,19469,14044,14192,1425,93,1454,0,8,108,108,109,1712,421,1857996,205,7,129,33,354170,354111,122,13,6,8,17,498390,322662,11,13,220,29,18,0,8,0,106,612168,372,0,73,1,0,0,26,0,0,26,1,0,0,1
60.5306,1660804274702,5.016991924,1,6.0,37.9,0.0,55.8,0.0,0.0,0.3,302,1,63,0,192,97680,119728,730664,246756,5467,97374,84,84,35,0,0,5,7,5,2,0,1,0,0,0,0,13,489275,0,5,0,11,582,198478,5588,0,1,23330,18350,13526,13677,1966,236,1998,126,9,103,103,104,2548,965,1825141,201,11,128,69,343716,343655,126,16,11,13,25,486998,316495,14,18,226,27,26,0,13,0,98,587423,362,0,81,1,0,0,39,0,0,39,1,0,0,1
65.5476,1660804281702,5.017047965,1,4.9,33.3,0.0,60.5,0.0,0.0,1.3,302,1,63,0,192,97460,119948,730664,246536,5234,93089,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,15,525040,0,3,0,11,2039,225764,5520,0,1,21432,16726,8833,8990,1408,346,1436,63,9,97,97,99,1595,682,1947766,191,7,122,64,346403,346347,117,16,7,8,17,522735,324715,10,13,207,23,20,0,8,0,95,663830,325,0,70,1,0,0,33,0,0,33,1,0,0,1
70.5856,1660804288773,5.037997043,1,4.1,34.5,0.0,60.8,0.0,0.0,0.7,302,1,63,0,192,97444,119972,730656,246512,5804,99445,294,294,35,0,0,5,7,5,2,0,1,0,0,0,0,14,501843,0,6,0,9,1805,205125,5545,0,1,23819,18883,10740,10733,1000,16,1021,0,9,111,111,111,765,131,1819128,209,2,129,32,349123,349091,129,16,2,3,7,500196,321211,7,8,224,28,18,0,3,0,106,627510,345,0,70,1,0,0,21,0,0,21,1,1,1,2
75.6048,1660804295810,5.019237423,1,5.0,38.7,0.0,55.7,0.0,0.0,0.7,302,1,63,0,192,97752,119664,730656,246820,7936,99051,56,56,35,0,0,6,8,6,2,0,1,0,0,0,0,35,481667,0,15,0,9,2768,195272,6085,0,1,24355,19014,26029,26166,4540,682,4574,378,9,115,115,113,7398,2724,1795256,227,28,126,78,348898,348833,138,15,28,35,56,479648,311008,23,39,252,42,43,5,35,1,101,572301,396,0,75,1,0,0,76,1,5,81,1,0,0,1
80.6211,1660804302842,5.016303544,1,5.1,35.7,0.0,58.9,0.0,0.0,0.3,302,1,63,0,192,97696,119720,730656,246764,5649,97600,84,84,35,0,0,5,7,5,2,0,1,0,0,0,0,10,513302,0,4,0,10,1056,219229,5676,0,1,23523,18560,16602,17213,2516,283,2513,63,8,102,102,103,1589,682,1927874,199,7,127,68,348488,348401,119,14,7,8,16,511499,318572,9,12,218,26,21,0,8,0,99,645977,345,0,73,1,0,0,38,0,0,38,1,0,0,1
85.6411,1660804309853,5.019989239,1,12.6,37.1,0.0,50.0,0.0,0.0,0.3,303,3,64,0,191,97336,120080,730656,246404,6294,99825,266,266,35,0,0,5,7,5,2,0,1,0,0,0,0,15,531920,0,7,0,11,981,230319,5959,0,1,23818,18876,9793,10267,877,17,902,0,9,113,113,116,763,128,1972447,215,2,130,30,353746,353695,133,16,2,3,8,530345,326609,7,8,233,25,20,0,3,0,110,651183,377,0,72,1,0,0,20,0,0,20,1,0,0,1
90.6576,1660804317206,5.016489688,1,3.9,36.0,0.0,59.8,0.0,0.0,0.3,302,1,63,0,192,97840,119572,730660,246912,5473,97374,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,4,474515,0,3,0,11,589,185069,5529,0,1,23367,18401,12130,12628,1345,87,1359,0,9,103,103,104,950,277,1763980,203,4,130,37,341215,341161,123,15,4,6,12,472455,314484,10,11,219,32,16,0,6,0,100,573883,339,0,71,1,0,0,28,0,0,28,1,0,0,1
95.6754,1660804324241,5.017780613,1,4.8,39.3,0.0,55.6,0.0,0.0,0.3,302,1,63,0,192,97636,119768,730668,246716,5430,97183,84,84,35,0,0,6,10,6,4,8,2,0,0,0,0,16,483561,0,6,0,16,861,199880,5913,2,1,23721,18554,13410,14042,2057,311,2079,252,144,101,101,104,2789,1062,1809326,197,15,131,66,336931,336869,199,17,15,17,30,481593,309890,15,23,347,25,106,0,17,0,98,568104,540,0,147,1,1,0,38,0,0,38,1,2,2,2
100.758,1660804331297,5.082938919,1,5.1,35.7,0.0,59.2,0.0,0.0,0.0,302,1,63,0,192,97304,120100,730668,246384,6093,102183,161,161,35,0,0,5,7,5,2,0,1,0,0,0,0,15,493022,0,3,0,11,2909,204184,5888,0,1,24800,19794,19534,19490,2688,151,2439,0,9,105,105,107,1449,522,1850975,203,5,130,41,353043,352967,123,16,5,5,12,490360,317661,8,9,224,29,26,0,6,0,102,594771,373,0,70,1,0,0,21,1,4,25,1,0,0,1
105.774,1660804338634,5.016433281,1,5.7,31.1,0.0,62.2,0.0,0.0,1.0,302,1,63,0,192,96988,120416,730668,246068,5571,98417,84,84,35,0,0,5,7,5,2,0,1,0,0,0,0,13,498950,0,5,0,10,1058,199611,5439,0,1,23072,18173,12123,12269,1350,86,1368,0,9,103,103,104,951,296,1808973,201,4,128,37,349634,349594,122,16,4,5,12,497053,323041,10,11,217,32,16,0,5,0,99,617191,341,0,72,1,0,0,27,0,0,27,1,0,0,1
110.791,1660804345655,5.016746455,1,8.1,41.8,0.0,49.6,0.0,0.0,0.6,302,1,63,0,192,98044,119360,730668,247124,7629,98962,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,26,486282,0,15,0,10,2828,202322,6054,0,1,24551,19164,25387,25546,4473,994,4511,945,8,118,118,113,7371,2717,1849077,233,28,126,74,348366,348285,139,13,28,35,56,484220,311074,24,40,257,37,42,5,35,1,103,573688,402,0,77,1,0,0,79,0,1,80,1,0,0,1
115.81,1660804352682,5.018520293,1,4.2,31.3,0.0,64.2,0.0,0.0,0.3,301,1,62,0,192,97256,120148,730668,246336,5771,97917,84,84,35,0,0,5,7,5,2,0,1,0,0,0,0,14,469712,0,8,0,11,2911,180267,5441,0,1,22872,17844,10065,10232,1535,95,1561,126,9,106,106,109,1596,679,1669562,207,7,128,69,339121,339067,125,16,7,8,16,468153,315073,10,13,233,27,25,0,8,0,102,565741,352,0,76,1,0,0,36,0,0,36,1,0,0,1
120.826,1660804359655,5.016165992,1,6.3,38.1,0.0,55.6,0.0,0.0,0.0,302,1,64,0,191,97020,120384,730668,246100,5442,98304,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,5,521708,0,3,0,13,2465,222847,5840,0,1,23973,19040,16809,16967,2134,9,2160,0,9,102,102,102,1,5,1941581,201,0,130,32,355202,355145,126,16,0,0,4,519503,324038,6,6,212,28,10,0,0,0,98,664586,338,0,74,1,0,0,23,0,0,23,1,1,1,2
125.843,1660804367160,5.016990566,1,4.4,38.2,0.0,56.1,0.0,0.0,1.3,302,1,63,0,192,97452,119960,730660,246524,5992,97098,266,266,35,0,0,6,8,6,2,0,1,0,0,0,0,13,529169,0,7,0,11,1699,228429,5946,0,1,24181,19297,14126,14562,1431,94,1465,0,9,107,107,113,1697,419,1985477,201,6,128,33,357513,357462,123,15,6,8,16,527245,326062,11,13,223,31,20,0,8,0,105,664431,371,0,76,1,0,0,28,1,5,33,1,0,0,1
130.862,1660804374205,5.018568833,1,5.0,35.1,0.0,59.6,0.0,0.0,0.3,302,1,63,0,192,97408,120004,730660,246480,5762,98769,84,84,35,0,0,5,7,5,2,0,1,0,0,0,0,6,495342,0,5,0,11,2050,202740,5456,0,1,22856,17846,10487,10652,1612,95,1636,63,9,107,107,108,1592,679,1839746,209,7,129,73,341824,341771,130,15,7,8,17,493204,317408,10,13,233,30,26,0,8,0,102,602079,349,0,77,1,0,0,35,0,0,35,1,0,0,1
135.885,1660804381250,5.023225353,1,4.2,36.1,0.0,59.3,0.0,0.0,0.3,302,1,63,0,192,96768,120636,730668,245848,5806,105605,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,5,532216,0,3,0,11,519,235631,5641,0,1,22374,17475,7482,7392,1008,143,805,0,9,98,98,100,743,361,2013318,193,3,129,36,342491,342432,118,15,3,2,9,529877,320878,7,7,213,23,22,0,3,0,96,675284,327,0,66,1,0,0,14,0,0,14,1,0,0,1
140.902,1660804388711,5.016701714,1,3.3,42.6,0.0,54.1,0.0,0.0,0.0,302,2,63,0,192,96752,120648,730672,245836,5797,95779,294,294,35,0,0,5,7,5,2,6,1,0,0,0,0,23,520661,0,6,0,11,1232,222197,6016,0,1,25598,20706,23725,24111,2940,102,2957,0,9,109,109,110,1958,509,1937374,205,11,127,33,363631,363580,128,16,10,12,20,518609,322760,11,17,228,29,25,0,12,0,105,625186,385,0,81,1,0,0,34,0,0,34,1,0,0,1
145.919,1660804395782,5.016855046,1,5.2,32.0,0.0,62.8,0.0,0.0,0.0,302,2,62,0,192,97508,119892,730672,246592,7326,96576,56,56,35,0,0,5,7,5,2,0,1,0,0,0,0,38,488350,0,14,0,11,2018,196901,6057,0,1,24269,18931,25981,26144,4549,1056,4565,756,9,113,113,109,7390,2701,1818143,221,28,125,78,352825,352746,132,16,28,35,56,486424,314967,24,40,247,40,43,5,35,1,100,576429,393,0,77,1,0,0,82,0,0,81,1,1,1,2
