time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.04097,1660590550407,5.040969184,1,33.6,29.6,0.0,36.1,0.0,0.0,0.6,120,2,65,0,2,164420,117916,665736,716888,12820,185144,312,312,53,0,0,9,15,2330,13,18,11,0,0,0,0,7,512899,0,13,0,45,3349,196654,5472,2335,1,23629,18065,9140,9484,1225,244,1367,315,31,109,109,111,2815,844,1810039,205,11,130,5,365971,365907,125,18,11,8,25,511130,341419,14,23,218,27,12,4,17,0,100,615419,354,0,120,4,3,0,39,2,290,329,1,3,3,2
10.0805,1660590561924,5.039577624,1,33.2,27.1,0.0,39.6,0.0,0.0,0.0,120,2,65,0,2,164836,117544,665692,717276,6336,101330,294,294,52,0,0,11,13,2499,2,17,1,0,0,0,0,3,516299,0,11,0,11,534,197042,5336,2493,1,23160,18183,4808,5010,220,17,243,63,9,111,111,114,664,131,1793190,213,2,131,5,366162,366118,132,15,2,3,6,513741,343738,7,8,234,23,17,0,3,0,104,633401,324,0,73,3,0,0,20,1,310,330,1,0,0,1
15.0965,1660590568992,5.016032756,1,33.1,24.9,0.0,41.6,0.0,0.0,0.3,120,2,65,0,2,164116,118280,665676,716548,5590,99755,56,56,50,0,0,11,26,2472,20,22,11,0,0,0,0,8,438521,0,11,0,68,750,135927,5342,2480,1,22879,17858,6310,6485,875,221,896,63,44,106,106,104,1598,686,1323813,209,7,130,44,351332,351272,126,16,7,8,17,436493,328516,10,13,231,23,20,0,8,0,97,430943,350,0,146,6,8,11,32,3,312,344,1,20,19,2
20.1212,1660590576055,5.024708701,1,33.0,27.8,0.0,38.3,0.0,0.0,0.9,119,2,65,0,2,164360,118036,665676,716796,5762,98769,84,84,50,0,0,7,9,2535,2,10,1,0,0,0,0,8,426606,0,5,0,11,667,132701,5361,2532,1,23439,18192,6831,6989,907,227,939,63,110,108,108,109,1601,689,1429987,211,7,132,46,343768,343712,189,16,7,8,16,424672,319627,12,15,374,37,140,0,9,0,103,484532,459,0,123,3,0,0,30,0,314,344,1,0,0,1
25.1385,1660590583043,5.017326583,1,42.5,28.8,0.0,28.3,0.0,0.0,0.3,118,2,65,0,2,164344,118036,665692,716784,5546,100390,56,56,48,0,0,8,10,2550,2,26,1,0,0,0,0,0,432220,0,3,0,11,577,133961,5094,2554,1,22773,17812,3617,3782,66,10,94,0,9,103,103,103,10,5,1452807,203,0,130,5,344747,344701,122,16,0,1,4,430469,323912,6,6,215,28,13,0,0,0,100,498789,310,0,75,3,0,0,17,2,316,333,0,0,0,0
30.1569,1660590590696,5.018364377,1,32.6,31.4,0.0,34.5,0.0,0.0,1.5,118,2,65,0,2,164336,118060,665676,716772,5701,101511,56,56,46,0,0,8,10,2550,2,28,1,0,0,0,0,2,446710,0,3,0,10,1704,137052,5319,2552,1,22723,17765,3435,3591,50,9,79,0,8,104,104,104,4,12,1426157,205,0,130,5,354307,354258,126,14,0,1,4,444714,333668,6,6,214,21,11,0,0,0,101,541629,310,0,69,3,0,0,17,2,315,332,1,0,0,1
35.2213,1660590597722,5.064445349,1,32.1,25.5,0.0,42.3,0.0,0.0,0.0,118,2,65,0,2,164068,118324,665680,716508,6041,100957,294,294,45,0,0,7,9,2515,2,10,1,0,0,0,0,4,466359,0,4,0,11,547,169668,5526,2514,1,23623,18542,7981,8089,1055,292,1061,126,9,110,110,114,2380,802,1622435,207,9,131,45,348135,348075,125,15,9,11,20,464377,322401,11,15,228,28,27,0,11,0,107,546548,365,0,82,4,0,0,33,0,312,345,1,0,0,1
40.272,1660590604809,5.050712880,1,32.2,26.3,0.0,41.5,0.0,0.0,0.0,117,2,64,0,2,165464,116928,665680,717904,15140,232316,324,324,43,0,0,12,23,2542,14,15,6,0,0,0,0,12,438653,0,4,0,47,1139,135334,5518,2544,1,23435,17853,6409,5848,771,162,572,63,33,103,103,104,1279,570,1263356,203,3,130,16,351745,351681,125,16,3,3,12,436462,328575,9,10,225,30,23,0,11,0,100,437578,324,0,111,3,5,10,19,1,323,342,1,6,5,2
45.2869,1660590618600,5.014921833,1,37.4,30.9,0.0,31.8,0.0,0.0,0.0,120,2,67,0,2,164928,117432,665712,717384,5789,99210,294,294,42,0,0,7,10,2587,4,17,3,0,0,0,0,10,458606,0,3,0,16,891,155515,5369,2591,1,23210,18206,7897,8061,1037,291,1063,0,13,108,108,109,2347,798,1567565,205,9,128,44,353907,353844,126,18,9,11,21,456637,328339,11,15,223,23,24,0,11,0,106,521006,333,0,90,3,1,0,34,1,321,355,1,3,3,2
50.3205,1660590625696,5.033552310,1,57.3,24.6,0.0,18.1,0.0,0.0,0.0,118,3,64,0,2,163712,118600,665760,716192,10270,99408,5095,5095,41,0,0,9,13,2355,7,15,5,0,0,0,0,18,462512,0,11,0,27,622,151843,5466,2356,1,23036,18012,7104,7428,1111,351,1081,126,19,123,123,121,2065,881,1418866,219,8,130,46,359901,359831,133,17,8,11,20,460700,336421,13,16,245,35,34,4,9,0,114,462385,348,0,97,4,1,0,35,1,291,326,1,2,2,2
