time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01264,1660635203372,5.012635712,1,2.8,19.6,0.0,77.5,0.0,0.0,0.0,115,1,64,0,2,453276,108392,386404,740812,5598,100061,84,84,23,0,0,8,10,8,2,0,1,0,0,0,0,4,573161,0,4,1,11,526,236735,5001,0,1,23117,18046,3773,3954,858,220,906,63,9,104,104,103,1595,692,2105852,203,7,131,44,377083,377035,123,15,7,9,17,571357,361458,10,13,222,23,20,0,8,0,99,713123,331,0,78,1,0,0,18,1,7,25,1,0,0,1
10.0246,1660635209994,5.011968379,1,8.5,20.5,0.0,70.5,0.0,0.0,0.6,116,3,65,0,1,453472,108204,386396,741000,11607,104820,9007,9007,23,0,0,5,7,5,2,16,1,0,0,0,0,7,551603,0,11,1,11,866,216984,5215,0,1,23696,18607,4084,4510,678,155,694,0,9,156,157,155,1260,431,1980740,253,5,132,9,376487,376444,149,15,5,6,15,550008,360362,11,12,279,40,46,11,6,2,142,682999,356,0,77,1,0,0,10,0,0,10,1,0,0,1
15.0374,1660635216846,5.012767750,1,1.8,28.7,0.0,69.5,0.0,0.0,0.0,115,1,64,0,2,452944,108728,386400,740476,5494,100390,84,84,23,0,0,5,7,5,2,0,1,0,0,0,0,2,568119,0,4,2,12,699,215205,4935,0,1,22962,17960,866,1408,52,9,77,0,9,104,104,105,4,5,1992086,203,0,132,5,390913,390874,127,16,0,0,3,566508,377860,6,6,215,21,10,0,0,0,102,718498,316,0,74,1,0,0,3,0,0,3,1,0,0,1
20.0493,1660635223536,5.011874012,1,2.5,22.2,0.0,75.0,0.0,0.0,0.3,115,1,64,0,2,453172,108476,386424,740724,5441,95253,84,84,23,0,0,5,7,5,2,0,1,0,0,0,0,7,560784,0,4,1,11,2128,211200,5195,0,1,22317,17425,3772,4306,869,220,900,126,9,102,102,103,1608,679,1993021,199,7,127,44,389131,389084,121,16,7,8,17,558982,373947,10,13,218,23,21,0,8,0,99,682482,304,0,78,1,0,0,24,0,0,24,1,0,0,1
25.0616,1660635230191,5.012345731,1,13.9,23.3,0.0,61.9,0.0,0.0,0.9,116,3,65,0,1,452840,108804,386428,740396,5768,100805,56,56,23,0,0,5,7,5,2,0,1,0,0,0,0,9,590650,0,3,1,11,2050,238101,5149,0,1,23377,18353,3326,3840,470,23,492,0,9,107,107,109,872,259,2140392,211,4,131,7,392781,392740,127,15,4,5,13,588929,377507,10,11,230,36,20,0,5,0,106,746415,308,0,77,1,0,0,10,0,0,10,1,1,1,2
30.0738,1660635236906,5.012158652,1,3.0,27.9,0.0,69.1,0.0,0.0,0.0,115,1,64,0,2,453044,108596,386432,740604,7607,101830,84,84,23,0,0,6,9,6,3,2,2,0,0,0,0,22,565040,0,15,1,14,3572,214203,5252,2,1,24310,18855,10040,10513,2129,707,2146,567,10,119,119,115,4581,1626,2016964,233,17,131,7,396224,396161,138,15,17,22,33,563129,375817,16,28,248,27,27,5,22,1,105,687531,338,0,76,1,1,0,34,0,1,35,1,1,1,2
35.0858,1660635243561,5.011975846,1,3.2,26.1,0.0,70.4,0.0,0.0,0.3,115,1,64,0,2,452208,109424,386440,739776,5597,99425,84,84,23,0,0,5,7,5,2,0,1,0,0,0,0,5,557032,0,4,1,11,524,213771,4885,0,1,23146,18077,3771,4248,867,221,889,126,9,105,105,105,1609,680,1980794,205,7,131,44,383646,383594,128,15,7,8,17,555235,368070,10,13,224,23,21,0,8,0,101,680131,316,0,77,1,0,0,21,1,4,25,1,0,0,1
40.0974,1660635250189,5.011564135,1,14.3,25.5,0.0,59.6,0.0,0.0,0.6,115,3,65,0,1,452412,109220,386440,739980,5814,99812,56,56,23,0,0,5,7,5,2,0,1,0,0,0,0,9,588797,0,4,2,11,525,235727,5046,0,1,23490,18445,3332,3479,473,86,492,63,9,109,109,110,881,250,2145430,215,4,132,7,393390,393345,133,15,4,5,13,587050,378088,10,11,235,36,20,0,5,0,105,752504,325,0,82,1,0,0,8,0,1,9,1,0,0,1
45.1097,1660635256878,5.012342569,1,3.3,34.1,0.0,62.7,0.0,0.0,0.0,113,1,64,0,2,453448,108180,386444,741016,5488,99347,84,84,23,0,0,5,7,5,2,2,1,0,0,0,0,3,622991,0,5,1,11,2586,266863,5135,0,1,23376,18125,1567,1736,203,24,231,0,142,104,104,105,247,100,2330329,203,4,135,5,395447,395406,196,15,4,5,7,621256,380975,7,11,380,22,143,0,4,0,100,788584,481,0,131,1,0,0,3,0,0,3,1,0,0,1
50.1227,1660635263507,5.013000430,1,2.0,23.7,0.0,74.4,0.0,0.0,0.0,113,1,64,0,2,452964,108652,386456,740548,5182,94132,84,84,23,0,0,5,7,5,2,0,1,0,0,0,0,3,553646,0,4,1,11,2796,213580,4810,0,1,22009,17186,3753,3917,863,220,886,126,9,99,99,100,1600,689,1996167,193,7,125,44,378908,378856,118,15,7,8,17,551801,363910,10,13,212,23,20,0,8,0,96,675124,298,0,73,1,0,0,21,0,0,21,1,1,1,2
