time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01297,1660653396187,5.012974601,1,2.8,26.5,0.0,70.7,0.0,0.0,0.0,118,1,64,0,2,437648,110364,400060,732520,11334,104225,9035,9035,19,0,0,8,10,8,2,0,1,0,0,0,0,8,588028,0,10,0,10,2914,245712,5575,0,1,23678,18574,6796,7317,1472,303,1494,63,9,150,151,147,2845,1100,2156896,239,12,130,46,385778,385720,145,16,12,14,28,586251,367382,15,19,269,35,53,11,14,2,137,720666,371,0,75,1,0,0,26,1,6,32,1,0,0,1
10.0262,1660653402842,5.013262775,1,6.0,32.3,0.0,61.6,0.0,0.0,0.0,118,1,64,0,2,436680,111332,400060,731552,5581,96520,56,56,19,0,0,12,14,12,2,8,1,0,0,0,0,1,604221,0,3,0,12,2926,264706,5213,0,1,23219,18078,2878,2786,625,223,420,63,123,104,104,106,993,444,2250712,205,7,133,17,379418,379371,182,16,7,6,13,602256,364159,8,12,351,28,124,0,7,0,102,778151,468,0,119,1,0,0,4,0,4,8,1,0,0,1
15.0399,1660653409548,5.013746469,1,3.2,30.5,0.0,66.0,0.0,0.0,0.3,118,1,64,0,2,437464,110504,400104,732356,5939,100302,294,294,19,0,0,5,7,5,2,0,1,0,0,0,0,3,609006,0,5,0,10,2862,265213,4995,0,1,23466,18454,2663,3208,244,144,270,126,9,113,113,114,772,129,2272713,213,2,131,6,384363,384319,128,16,2,3,8,607176,368615,7,8,230,31,19,0,3,0,108,782569,330,0,77,1,0,0,8,0,0,8,1,0,0,1
20.0535,1660653416246,5.013630272,1,2.8,34.9,0.0,61.7,0.0,0.0,0.6,118,1,64,0,2,437556,110412,400104,732448,6354,100007,1114,1114,19,0,0,5,7,5,2,0,1,0,0,0,0,7,595745,0,16,0,10,1090,257283,5411,0,1,23508,18413,6109,6268,1273,487,1301,252,8,126,126,130,2468,927,2227394,211,11,131,44,380634,380581,125,14,11,13,27,593868,363021,15,19,236,35,29,22,13,4,111,749665,360,0,72,1,0,0,28,0,0,28,1,0,0,1
25.0672,1660653422941,5.013734282,1,2.7,36.6,0.0,60.4,0.0,0.0,0.3,118,1,64,0,2,437048,110912,400112,731944,5737,100692,56,56,19,0,0,5,7,5,2,0,1,0,0,0,0,8,493496,0,3,0,14,1787,163178,4913,0,1,22981,17975,2212,2436,505,18,262,0,9,106,106,107,782,369,1629102,209,3,131,17,369358,369315,130,16,3,1,9,491935,354900,7,7,230,27,24,0,3,0,104,587036,315,0,79,1,0,0,4,0,0,4,1,1,1,2
30.0804,1660653429604,5.013194184,1,1.2,30.4,0.0,68.3,0.0,0.0,0.0,118,1,64,0,2,437452,110504,400116,732356,7954,101693,294,294,19,0,0,6,9,6,3,3,2,0,0,0,0,15,551175,0,15,1,14,3699,213382,5479,2,1,24969,19475,11851,12400,2321,651,2350,315,11,127,127,124,5336,1751,1966236,241,19,132,8,385918,385848,144,18,19,25,38,549248,362763,17,30,260,37,36,5,25,1,114,646552,373,0,73,1,1,0,40,0,1,41,1,1,1,2
35.0931,1660653436281,5.012698097,1,2.9,34.0,0.0,62.9,0.0,0.0,0.3,117,1,64,0,2,437412,110536,400124,732324,5540,99397,84,84,19,0,0,5,7,5,2,0,1,0,0,0,0,7,547969,0,5,1,12,1932,209573,5141,0,1,23428,18358,6058,6234,1266,487,1295,315,9,105,105,105,2463,918,1974642,205,11,130,44,380755,380693,124,16,11,14,26,546088,363239,14,18,227,31,24,0,13,0,100,661859,334,0,82,1,0,0,27,1,4,31,1,0,0,1
40.1498,1660653442961,5.056730266,1,3.0,27.0,0.0,70.0,0.0,0.0,0.0,117,1,64,0,2,437200,110756,400116,732104,5575,99493,56,56,19,0,0,5,7,5,2,0,1,0,0,0,0,6,550771,0,3,0,11,2921,211356,4907,0,1,23031,18003,2210,2127,515,82,271,63,9,105,105,105,798,400,1954130,207,3,131,17,379151,379105,124,15,3,2,9,549031,364671,7,7,227,27,24,0,3,0,101,681910,308,0,71,1,0,0,4,0,0,4,1,0,0,1
45.1624,1660653449693,5.012577474,1,2.5,25.2,0.0,72.3,0.0,0.0,0.0,116,1,64,0,2,437828,110128,400116,732732,6093,99991,294,294,19,0,0,5,7,5,2,0,1,0,0,0,0,7,565539,0,4,0,11,2916,220435,5073,0,1,23488,18481,2657,2833,241,79,269,63,9,112,112,114,769,130,2023293,211,3,134,6,386502,386461,131,15,2,4,8,563699,370732,7,8,227,33,19,0,3,0,108,700419,331,0,75,1,0,0,6,0,0,6,1,0,0,1
50.1752,1660653456327,5.012824920,1,1.6,31.4,0.0,66.3,0.0,0.0,0.6,116,2,64,0,2,436852,111072,400148,731780,5574,98512,84,84,19,0,0,5,7,5,2,0,1,0,0,0,0,5,588554,0,4,1,10,2895,248102,5095,0,1,23461,18392,6062,6662,1259,46,1284,63,9,106,106,107,2472,928,2178248,207,11,130,44,383952,383898,129,14,11,14,26,586776,366355,14,18,230,31,25,0,13,0,102,737649,342,0,78,1,0,0,28,0,1,29,1,1,1,2
55.2515,1660653462986,5.076333123,1,3.1,31.8,0.0,64.5,0.0,0.0,0.6,116,1,64,0,2,437252,110680,400140,732172,5731,101629,56,56,19,0,0,5,7,5,2,0,1,0,0,0,0,6,562757,0,4,0,9,787,222276,5145,0,1,23390,18200,2360,2271,539,25,275,0,135,102,102,104,808,412,2021110,201,3,135,17,380771,380730,189,14,3,2,9,560945,365748,8,8,346,28,114,0,3,0,99,707730,466,0,116,1,0,0,5,0,0,5,1,0,0,1
