time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01325,1660366221936,5.013245259,1,2.2,28.3,0.0,69.5,0.0,0.0,0.0,119,2,66,0,2,432604,110860,404608,768528,7360,100462,56,56,0,0,0,27,34,8,6,3,2,0,0,0,0,10,558728,0,4,8,17,2929,221800,5274,1,1,23258,18209,5297,5463,1283,296,1318,63,12,115,115,125,2625,1005,2040225,225,10,129,44,378230,378173,144,22,9,12,23,556726,361485,13,17,248,30,35,0,12,0,121,676377,366,0,108,1,0,0,29,2,7,36,1,0,0,1
10.028,1660366228719,5.014737081,1,20.4,27.7,0.0,51.9,0.0,0.0,0.0,119,1,66,0,2,432772,110376,404924,768988,11254,104095,9035,9035,0,0,0,4,12,4,8,19,2,0,0,0,0,13,540049,0,10,2,29,986,205296,5328,2,1,23271,18243,3731,4177,660,93,683,189,21,146,147,149,1252,462,1887787,231,5,131,7,374997,374949,140,18,5,6,15,537907,359321,11,12,249,26,36,11,6,2,139,683279,365,0,97,3,2,7,7,1,4,11,1,4,3,2
15.0412,1660366235415,5.013169946,1,2.1,29.6,0.0,68.4,0.0,0.0,0.0,118,1,66,0,2,432344,110748,404980,768588,5954,99088,266,266,0,0,0,4,6,4,2,0,1,0,0,0,0,5,545801,0,3,1,10,2910,209925,5254,0,1,23718,18708,4696,4866,630,95,647,63,9,112,112,115,1620,377,1942276,213,6,134,5,378359,378308,128,15,6,9,16,543849,360761,11,13,225,29,17,0,8,0,112,672096,330,0,81,1,0,0,11,0,1,12,1,0,0,1
20.0546,1660366242127,5.013447238,1,4.2,22.7,0.0,73.2,0.0,0.0,0.0,118,1,66,0,2,431776,111284,405012,768032,11299,104909,84,84,0,0,0,4,6,4,2,1,1,0,0,0,0,38,529125,0,16,2,10,2522,197131,5678,0,1,24897,19356,13461,13638,2975,924,2999,756,8,151,151,158,6162,2320,1908248,296,24,131,48,381209,381144,168,13,24,30,46,527598,357318,20,35,327,43,74,5,30,1,146,629431,414,0,136,1,0,0,50,0,0,50,1,0,0,1
25.0675,1660366248795,5.012924686,1,15.8,27.4,0.0,56.1,0.0,0.0,0.6,118,1,66,0,2,432076,110992,405004,768332,7038,100296,84,84,0,0,0,4,6,4,2,8,1,0,0,0,0,12,553813,0,4,1,11,2804,210085,5184,0,1,23768,18772,6855,6981,1152,237,1160,63,9,116,116,124,2397,767,1948057,227,12,130,5,386383,386322,138,15,12,14,25,552041,367928,13,20,246,26,25,0,14,0,118,680371,344,0,101,1,0,0,16,0,0,16,1,0,0,1
30.0811,1660366255466,5.013568748,1,2.9,24.0,0.0,72.8,0.0,0.0,0.3,118,1,66,0,2,432092,110960,405020,768364,6982,101013,266,266,0,0,0,4,6,4,2,6,1,0,0,0,0,12,579657,0,5,2,11,2955,234791,5240,0,1,24032,18978,5217,5708,772,229,791,126,9,119,119,128,1869,479,2120759,227,10,132,5,387897,387840,139,16,10,12,20,577698,369625,11,17,241,29,24,0,12,0,123,714106,355,0,100,1,0,0,9,0,0,9,1,0,0,1
35.0944,1660366262154,5.013261156,1,1.3,26.7,0.0,71.3,0.0,0.0,0.7,118,1,66,0,2,432020,110968,405084,768332,7464,104015,84,84,0,0,0,4,7,4,3,58,2,0,0,0,0,17,541836,0,16,1,14,2621,212969,5672,0,1,24283,19005,9968,10109,2545,547,2568,63,11,134,134,132,5099,1861,1995214,261,36,130,46,375335,375253,154,18,36,40,54,539975,353981,16,45,293,41,38,0,40,0,122,620365,413,0,169,1,3,5,29,1,4,33,1,1,0,2
40.1079,1660366268825,5.013475822,1,13.6,30.0,0.0,55.5,0.0,0.0,0.9,118,1,66,0,2,432660,110324,405088,768964,8495,102161,84,84,0,0,0,5,7,5,2,60,1,0,0,0,0,28,584250,0,22,2,11,2366,239935,5400,0,1,24203,19043,6964,7277,1615,91,1624,0,9,129,129,142,2850,1011,2143125,253,36,131,5,388161,388081,148,16,36,37,45,582363,369055,10,43,274,22,25,0,37,0,128,717835,360,0,144,1,0,0,10,0,1,11,1,0,0,1
45.1217,1660366275518,5.013807049,1,1.3,31.9,0.0,66.1,0.0,0.0,0.6,118,1,66,0,2,432132,110884,405056,768428,6952,100482,266,266,0,0,0,4,6,4,2,0,1,0,0,0,0,12,604445,0,3,1,11,708,256176,5409,0,1,24305,19299,8032,8135,1178,298,1197,189,9,120,120,128,2905,783,2236193,229,10,131,5,393434,393373,136,16,10,13,24,602407,372832,14,18,241,31,23,0,13,0,125,754969,368,0,102,1,0,0,23,0,0,23,1,0,0,1
50.1355,1660366282217,5.013847002,1,2.5,26.8,0.0,70.3,0.0,0.0,0.3,118,1,66,0,2,432224,110776,405072,768536,7762,96447,84,84,0,0,0,4,6,4,2,2,1,0,0,0,0,11,600034,0,4,1,11,2840,262217,5307,0,1,22277,17468,5417,5579,1287,106,1327,126,9,116,116,131,2666,1015,2252876,227,9,125,46,378527,378475,139,16,9,12,23,598085,362065,13,17,253,39,42,0,12,0,124,750077,364,0,114,1,0,0,28,0,0,28,1,0,0,1
