time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01339,1664005607143,5.013393019,1,15.8,30.8,0.0,53.4,0.0,0.0,0.0,130,1,70,0,2,532180,113636,302256,716524,6375,119349,84,84,0,0,0,12,16,51,4,65,3,0,0,0,0,12,535618,0,16,7,17,2928,198275,5235,39,1,24064,19005,6714,7248,1055,178,1102,0,13,118,128,120,2040,681,1917359,231,14,132,5,380426,380365,149,17,14,15,28,533719,362477,17,22,268,34,11,11,15,3,110,644789,350,0,90,1,2,0,40,0,6,46,1,0,0,1
10.0272,1664005613916,5.013826040,1,2.9,29.4,0.0,67.1,0.3,0.0,0.3,130,1,70,0,2,531224,114264,302584,715980,9359,142091,56,56,0,0,0,8,13,81,5,107,4,0,0,0,0,53,566729,0,31,12,20,2593,222669,5917,74,1,26361,20956,23709,23850,4361,1111,4385,882,14,156,172,145,9296,3160,2084275,309,40,129,7,399607,399517,196,20,40,48,82,564691,367953,39,55,364,43,31,22,48,5,125,678010,433,0,117,1,3,0,121,2,11,132,1,2,2,2
15.0397,1664005620605,5.012540831,1,3.9,29.2,0.0,66.7,0.0,0.0,0.3,130,1,70,0,2,531288,114164,302620,716072,8428,123647,84,84,0,0,0,0,2,39,2,57,2,0,0,0,0,10,550398,0,16,6,11,619,213222,5491,39,0,25305,20145,14712,15264,2676,537,2692,189,9,134,144,139,5566,1917,2035183,263,25,132,45,387466,387397,163,16,25,29,55,548721,362320,28,35,311,37,35,12,29,3,128,639106,397,0,111,1,2,0,72,0,6,78,1,0,0,1
20.0526,1664005627343,5.012922915,1,17.5,28.7,0.0,53.5,0.0,0.0,0.3,128,1,68,0,2,531492,113904,302676,716304,8099,123420,56,56,0,0,0,8,12,43,4,57,3,0,0,0,0,16,572599,0,15,7,18,1319,225252,5657,39,1,24829,19759,9739,9882,1522,188,1534,0,12,140,150,141,3114,1005,2062230,276,14,133,5,393580,393524,176,18,14,16,32,570824,372685,20,23,311,37,23,12,16,3,132,692658,391,0,127,1,2,0,52,0,9,61,1,3,3,2
25.0653,1664005634006,5.012748644,1,1.8,27.7,0.0,70.2,0.3,0.0,0.0,128,1,68,0,2,533644,111760,302668,718460,6434,121389,56,56,0,0,0,8,13,47,5,60,4,0,0,0,0,14,592498,0,14,7,21,2798,243998,5393,39,1,23901,18878,6337,6790,928,107,942,0,13,124,134,118,1804,593,2173809,245,11,131,6,390701,390650,162,20,10,12,25,590549,373236,17,18,285,37,16,11,11,3,108,743222,367,0,104,1,2,0,40,0,7,47,1,0,0,1
30.0779,1664005640660,5.012593019,1,2.7,26.7,0.0,70.6,0.0,0.0,0.0,128,1,68,0,2,534076,111312,302684,718908,6715,116815,84,84,0,0,0,8,12,48,4,59,3,0,0,0,0,19,531298,0,24,8,15,1667,203696,5472,41,1,23488,18586,11294,11424,2120,460,2145,189,13,131,141,125,4302,1529,1926401,256,21,126,45,373127,373065,162,17,21,24,47,529698,351906,25,30,308,37,27,17,24,4,109,633903,387,0,101,1,2,0,64,0,8,72,1,0,0,1
35.092,1664005647334,5.014064529,1,18.8,22.4,0.0,58.1,0.3,0.0,0.3,128,1,68,0,2,535068,110312,302692,719908,6975,139861,56,56,0,0,0,8,13,81,5,110,4,0,0,0,0,18,562029,0,21,12,20,1946,212645,5778,74,1,24780,19740,10993,11142,1710,266,1729,126,15,130,150,131,3435,1155,2010235,256,19,131,5,394599,394531,176,21,19,21,43,560252,373402,26,28,317,41,12,18,21,4,116,693800,383,0,97,2,3,0,74,2,11,85,1,2,2,2
40.1048,1664005653977,5.012760831,1,2.4,32.0,0.0,65.6,0.0,0.0,0.0,128,1,68,0,2,533776,111580,302716,718628,6241,118129,56,56,0,0,0,8,13,47,5,62,4,0,0,0,0,16,582958,0,15,7,18,2871,235758,5098,43,1,23794,18788,6430,6590,985,175,1017,126,15,117,127,119,1946,647,2163778,231,11,130,5,388883,388824,151,19,11,12,27,581018,371464,19,20,270,35,14,13,12,4,109,730369,348,0,95,1,3,0,42,0,6,48,1,0,0,1
45.1179,1664005660695,5.013120623,1,2.3,24.0,0.0,73.4,0.0,0.0,0.3,128,1,68,0,2,533288,112016,302768,718168,6658,119548,84,84,0,0,0,8,12,43,4,62,3,0,0,0,0,26,563825,0,19,7,15,2930,226897,5478,39,1,24554,19419,11667,12146,2249,594,2284,378,12,123,132,125,4520,1611,2066834,241,25,130,45,384182,384113,157,17,25,28,51,562084,361983,25,34,290,35,26,12,28,3,112,676694,378,0,93,1,2,0,60,1,10,70,1,1,1,2
50.142,1664005667362,5.024091300,1,18.3,28.8,0.0,52.9,0.0,0.0,0.0,128,1,68,0,2,534084,111240,302748,718960,9396,124439,56,56,0,0,0,7,23,55,16,125,4,0,0,0,0,32,547720,0,36,9,52,3793,210895,6076,53,1,26444,20791,20927,20224,4280,1137,4184,693,109,141,149,140,8780,3062,2050389,279,56,134,7,392262,392182,213,19,56,58,89,547195,363231,31,68,425,39,115,17,63,4,117,623475,535,0,186,3,5,14,85,2,10,95,1,6,4,4
