time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01223,1662971242600,5.012225502,1,1.6,23.5,0.0,74.8,0.0,0.0,0.0,117,1,68,0,3,94376,114880,738816,670312,7635,102756,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,4,642308,0,5,0,5,2938,278113,5273,0,0,23543,18495,3079,3527,465,89,488,0,5,124,124,128,884,261,2399711,243,5,132,5,404757,404718,142,12,4,5,12,640523,389319,10,11,138,29,32,0,5,0,122,822314,359,0,95,1,0,0,8,0,0,8,1,1,1,2
10.0247,1662971249243,5.012457329,1,3.2,27.5,0.0,69.0,0.0,0.0,0.3,117,1,68,0,3,93916,115272,738884,669888,5705,97868,294,294,0,0,0,4,7,4,3,0,2,0,0,0,0,14,562398,0,3,1,11,2848,215947,5196,0,1,23198,18209,5234,5753,1054,290,1067,63,11,109,109,110,2362,818,1994309,207,9,129,44,388821,388772,131,17,9,11,21,560497,370966,11,15,126,23,29,0,11,0,107,664000,341,0,76,1,1,1,23,0,1,24,1,2,1,2
15.0367,1662971255876,5.011970205,1,2.1,26.6,0.0,71.3,0.0,0.0,0.0,118,1,69,0,3,93368,115804,738900,669352,6018,101492,56,56,0,0,0,4,6,4,2,0,1,0,0,0,0,12,564556,0,8,2,9,2974,213984,5338,0,1,23622,18504,6395,6815,1350,426,1315,63,8,111,111,111,2628,1008,1994020,219,12,132,44,393402,393339,129,13,12,13,26,562509,375595,14,18,130,24,22,2,14,0,105,680365,346,0,71,1,0,0,25,1,3,28,1,0,0,1
20.0494,1662971262526,5.012673173,1,2.4,24.3,0.0,72.9,0.0,0.0,0.3,118,1,69,0,3,93656,115512,738904,669644,5748,99549,84,84,0,0,0,4,6,4,2,0,1,0,0,0,0,3,636815,0,7,1,10,2884,282933,5175,0,1,23338,18317,3058,3568,459,86,490,0,9,107,107,108,880,260,2420039,209,4,132,5,393971,393927,126,15,4,5,12,634991,378877,10,11,126,29,14,0,5,0,100,820043,307,0,69,1,0,0,8,0,0,8,1,0,0,1
25.0616,1662971269144,5.012206725,1,1.9,29.1,0.0,69.0,0.0,0.0,0.0,118,1,69,0,3,93372,115788,738912,669368,6418,100770,1324,1324,0,0,0,4,6,4,2,0,1,0,0,0,0,27,568095,0,16,2,10,2712,220278,5212,0,1,23746,18636,5298,5781,1047,291,1063,126,9,136,136,137,2370,815,2051662,223,9,131,44,391192,391141,132,16,9,11,22,566324,372920,12,16,136,25,34,22,11,4,121,681844,371,0,73,1,0,0,20,0,1,21,1,2,2,2
30.0739,1662971275775,5.012325689,1,2.9,27.2,0.0,69.3,0.0,0.0,0.6,118,1,69,0,3,93224,115992,738856,669188,8074,104260,56,56,0,0,0,5,6,0,1,1,1,0,0,0,0,12,568834,0,14,0,6,1540,219146,5601,0,1,24887,19351,14970,14968,3397,867,3423,504,6,120,120,117,7099,2588,2093021,237,28,131,46,399131,399058,142,12,28,31,56,567136,374563,24,40,137,26,37,5,35,1,106,682082,356,0,71,1,0,0,59,0,0,59,1,0,0,1
35.0861,1662971282447,5.012157727,1,2.1,24.8,0.0,72.5,0.0,0.0,0.6,118,1,69,0,3,93356,115840,738876,669340,5540,100440,84,84,0,0,0,4,6,4,2,0,1,0,0,0,0,2,570497,0,5,1,10,516,215194,4875,0,1,23393,18364,3054,3562,458,23,484,0,9,106,106,106,887,260,2062271,205,4,132,5,395419,395371,128,16,4,5,12,568684,380291,10,11,120,29,14,0,5,0,100,697520,314,0,73,1,0,0,10,0,1,11,1,0,0,1
40.0982,1662971289056,5.012062005,1,2.4,25.7,0.0,71.9,0.0,0.0,0.0,118,1,69,0,3,92812,116368,738892,668808,5669,95868,294,294,0,0,0,9,11,10,2,6,1,0,0,0,0,19,493979,0,4,3,9,2304,170477,4946,2,1,22859,17945,5269,5410,1061,228,1076,126,8,110,110,111,2359,812,1553271,207,9,127,44,365987,365938,123,14,9,11,21,492241,348232,11,15,126,23,94,0,11,0,106,519169,322,0,77,1,0,0,22,1,5,27,1,0,0,1
45.116,1662971295676,5.017815604,1,2.2,25.2,0.0,72.3,0.0,0.0,0.3,118,1,69,0,3,92808,116372,738892,668796,6005,99856,56,56,0,0,0,4,6,4,2,6,1,0,0,0,0,10,635865,0,4,1,11,2907,277906,5395,1,1,23619,18397,5228,5464,1181,242,893,63,18,107,107,111,2145,845,2384779,211,12,131,16,400468,400379,128,16,12,13,25,634074,382809,14,19,198,30,116,0,13,0,104,797237,344,0,76,1,0,0,11,2,3,14,1,0,0,1
50.1282,1662971302383,5.012169464,1,3.3,27.2,0.0,69.6,0.0,0.0,0.0,118,2,69,0,3,92788,116396,738888,668788,7472,101165,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,4,645499,0,5,2,11,2925,281795,5238,0,1,23493,18457,3097,3245,465,90,488,0,9,120,120,133,888,259,2426964,235,4,136,5,403969,403926,139,15,4,5,12,643590,388614,10,11,135,29,27,0,5,0,127,832226,344,0,98,1,0,0,10,0,2,12,1,0,0,1
