time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01729,1660565233286,5.017289271,1,3.5,37.9,0.0,57.9,0.0,0.0,0.6,214,1,69,0,95,137752,133352,676968,231156,6836,103123,56,56,0,0,0,9,11,9,2,0,1,0,0,0,0,17,512676,0,8,2,10,922,218008,5991,1,1,23328,18092,13150,13281,2033,242,2084,189,135,128,129,122,2567,986,1918936,253,10,131,72,347364,347308,215,16,10,10,24,510759,319387,15,19,424,35,148,0,13,0,113,608813,572,0,179,1,0,0,41,0,1,42,1,0,0,1
10.0336,1660565240174,5.016299072,1,3.0,35.9,0.0,60.2,0.0,0.0,0.9,214,1,69,0,95,136780,134324,676968,230184,5859,103632,84,84,0,0,0,6,8,6,2,0,1,0,0,0,0,16,497334,0,9,1,11,1006,202839,5772,0,1,23077,18137,13118,13015,1807,159,1560,63,9,103,103,107,1738,660,1809135,201,7,128,48,346478,346424,122,15,7,7,18,495242,318900,11,12,230,34,26,0,8,0,98,601498,354,0,72,1,0,0,29,0,0,29,1,0,0,1
15.0495,1660565247419,5.015896836,1,3.7,29.3,0.0,66.7,0.0,0.0,0.3,214,1,69,0,95,138200,132880,676992,231624,9040,101158,266,266,0,0,0,9,22,5,13,0,2,0,0,0,0,23,520054,0,19,1,34,3839,218310,6190,0,1,24904,19516,20332,20498,3252,647,3278,567,31,131,131,137,5577,1898,1948863,251,19,130,32,361334,361268,153,17,19,25,38,518038,326617,17,30,273,33,39,5,25,1,121,628823,439,0,113,1,2,12,51,0,0,51,1,2,0,2
20.0669,1660565254356,5.017363228,1,3.8,37.0,0.0,59.2,0.0,0.0,0.0,214,1,69,0,95,136868,134220,676984,230284,6396,118740,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,17,496041,0,9,0,11,2624,196826,5767,0,1,23170,18377,19715,19891,2763,283,2773,63,9,99,99,105,1595,682,1823260,193,7,124,64,357837,357789,118,16,7,8,16,493979,323978,10,13,217,23,20,0,8,0,95,610487,353,0,74,1,0,0,36,1,4,40,1,0,0,1
25.0849,1660565261258,5.018033951,1,4.3,39.7,0.0,56.0,0.0,0.0,0.0,214,1,69,0,95,136616,134464,676992,230040,5651,95288,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,20,518045,0,8,0,9,2350,213005,5736,0,1,22981,18041,15024,15491,2160,45,2197,63,9,101,101,106,2546,969,1907026,197,11,130,76,358394,358335,120,16,11,13,26,516022,329267,14,18,225,34,26,0,13,0,98,636378,357,0,75,1,0,0,45,0,0,45,1,1,1,2
30.1017,1660565268116,5.016767503,1,28.1,33.9,0.0,37.2,0.0,0.0,0.8,213,1,69,0,95,137024,134060,676988,230440,12612,117019,5305,5305,0,0,0,6,8,6,2,0,1,0,0,0,0,18,539679,0,15,1,12,1750,236065,6438,0,1,24207,19254,15370,15450,1859,173,1769,126,9,186,188,156,2814,803,2029784,337,9,129,33,361123,361015,196,16,9,13,22,537862,329136,14,17,365,28,36,4,12,0,144,635112,526,0,359,1,0,0,26,0,1,27,1,0,0,1
35.1201,1660565275032,5.018445977,1,3.1,33.1,0.0,63.4,0.0,0.0,0.3,211,1,67,0,95,138624,132456,676992,232048,5914,99383,84,84,0,0,0,5,7,6,2,6,1,0,0,0,0,7,471951,0,5,1,10,2890,183955,5456,4,1,22879,17831,9747,10424,1278,155,2091,441,8,104,104,106,1158,448,1689218,205,7,128,57,338010,337959,122,12,7,11,19,470178,313814,14,28,221,25,13,4,8,1,101,560106,345,0,75,1,0,0,42,1,1,43,1,0,0,1
40.1361,1660565281929,5.016010114,1,3.0,33.8,0.0,62.2,0.0,0.0,0.9,211,1,67,0,95,139688,131380,677004,233124,5932,97452,56,56,0,0,0,6,10,6,4,0,2,0,0,0,0,12,492098,0,3,2,18,1925,190286,5761,0,2,23356,18334,15045,15211,2174,298,2197,126,13,103,103,105,2534,964,1778255,203,12,128,76,356631,356578,121,14,11,13,25,490247,327255,14,18,227,36,28,0,13,0,100,570923,362,0,86,1,0,0,46,1,1,47,1,0,0,1
45.1517,1660565288795,5.015609024,1,13.0,32.2,0.0,54.5,0.0,0.0,0.3,212,3,67,0,94,139232,131836,677004,232672,5839,98144,294,294,0,0,0,5,10,5,5,0,2,0,0,0,0,12,547280,0,5,0,18,2595,236237,5737,0,1,23247,18350,9711,10193,877,17,903,0,15,112,112,113,769,134,2045859,211,2,128,30,361707,361661,133,18,2,3,8,545447,335530,7,8,230,25,21,0,3,0,108,670923,372,0,87,1,1,5,15,1,4,19,1,1,0,2
50.168,1660565295994,5.016273287,1,4.9,30.2,0.0,64.9,0.0,0.0,0.0,210,1,66,0,95,139168,131896,677008,232612,5338,97374,84,84,0,0,0,5,7,5,2,0,1,0,0,0,0,6,522778,0,4,1,11,678,209921,5395,0,1,22449,17429,6777,7234,626,15,651,0,139,100,100,100,0,5,1876205,195,0,130,26,356961,356915,193,16,0,0,3,520644,335610,7,7,330,21,95,0,0,0,95,658134,484,0,121,1,0,0,14,0,1,15,1,1,1,2
