time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01247,1663687827012,5.012473338,1,4.2,29.4,0.0,66.1,0.0,0.0,0.3,120,1,67,0,2,402152,124764,421156,657488,18403,231050,168,168,0,0,0,9,17,8,8,2,2,0,0,0,0,19,602985,0,18,1,28,2257,251150,6066,2,1,24783,19078,12202,13832,2530,349,2589,189,21,131,131,144,5695,1836,2246121,259,23,132,7,398105,397995,153,18,23,33,49,600920,376121,23,39,155,37,38,10,30,2,129,726853,418,0,126,3,2,6,45,1,6,49,1,3,2,2
10.0246,1663687839938,5.012169279,1,1.9,24.9,0.0,73.2,0.0,0.0,0.0,120,1,67,0,2,403404,123436,421232,658784,6092,101621,294,294,0,0,0,5,9,5,4,0,2,0,0,0,0,12,566892,0,7,3,18,1153,212774,5067,0,2,23926,18812,6575,7090,1264,366,1281,189,13,119,119,118,2778,919,2013128,227,12,131,46,397818,397762,137,13,12,14,26,565181,378685,13,18,139,40,33,5,14,1,113,678388,356,0,93,1,0,0,23,1,2,25,1,0,0,1
15.0371,1663687846582,5.012529276,1,1.8,26.1,0.0,71.8,0.0,0.0,0.3,120,1,67,0,2,403452,123348,421272,658868,5962,100831,84,84,0,0,0,4,6,4,2,0,1,0,0,0,0,4,629406,0,8,2,11,471,268731,5258,0,1,23463,18422,4257,4799,692,101,734,63,9,112,112,112,1466,429,2346360,219,8,131,5,401176,401124,135,13,8,9,20,627534,385328,13,15,126,35,14,8,9,2,102,782979,339,0,78,1,0,0,9,0,1,10,1,0,0,1
20.0533,1663687853379,5.016195645,1,4.0,22.6,0.0,73.1,0.0,0.0,0.3,120,1,67,0,2,402412,124384,421276,657832,5770,101847,56,56,0,0,0,4,6,4,2,0,1,0,0,0,0,10,558332,0,11,1,11,2877,212007,5205,0,1,23423,18360,6226,6618,1118,243,1397,126,9,111,111,109,2430,729,2027422,219,13,131,33,389494,389453,131,15,13,16,25,556890,372497,15,21,122,25,11,7,13,1,103,678914,348,0,81,1,0,0,29,0,0,29,1,0,0,1
25.0659,1663687860068,5.012584015,1,3.1,22.0,0.0,74.8,0.0,0.0,0.0,120,1,67,0,2,402900,123896,421276,658320,6196,101882,266,266,0,0,0,4,6,4,2,0,1,0,0,0,0,15,554590,0,7,2,13,2484,201871,5446,0,1,24034,18893,6579,7067,1260,301,1278,126,9,120,120,118,2788,933,1935927,229,12,131,46,396455,396406,136,15,12,14,26,552948,377172,13,18,141,40,34,5,14,1,113,663967,367,0,81,1,0,0,24,0,0,24,1,0,0,1
30.0781,1663687866710,5.012221468,1,4.0,23.0,0.0,72.7,0.0,0.0,0.3,119,2,68,0,1,403152,123624,421296,658588,6548,101777,1062,1062,0,0,0,4,9,4,5,4,2,0,0,0,0,4,626786,0,19,1,20,1019,271742,5643,0,1,23910,18667,4970,5600,840,179,885,126,116,136,136,136,1707,502,2366015,233,12,135,5,397077,397004,191,15,12,14,24,624789,379980,16,22,256,36,120,30,14,6,116,760028,521,0,131,1,1,5,14,1,3,17,1,1,0,2
35.091,1663687873686,5.012869951,1,2.2,31.0,0.0,66.5,0.0,0.0,0.3,119,2,66,0,2,403104,123652,421316,658560,5764,101897,56,56,0,0,0,5,9,5,4,0,2,0,0,0,0,5,609853,0,8,3,17,1917,257795,5267,0,2,23237,18230,3835,3976,617,159,647,126,13,109,109,107,1325,394,2262713,215,7,131,5,392418,392375,135,17,7,8,18,607900,377024,12,14,122,25,11,5,8,1,101,762228,339,0,86,1,1,1,10,0,1,11,1,1,0,2
40.1035,1663687880319,5.012464122,1,3.6,29.8,0.0,66.6,0.0,0.0,0.0,120,1,67,0,2,403356,123400,421316,658808,6460,100680,294,294,0,0,0,4,6,4,2,0,1,0,0,0,0,12,551483,0,12,1,10,1251,211662,5459,0,1,23914,18796,6579,7069,1253,239,1275,63,8,121,121,122,2783,925,1975464,229,13,131,46,383954,383903,134,13,12,15,26,549678,364887,13,18,141,42,30,5,15,1,110,649406,370,0,77,1,0,0,27,0,1,28,1,0,0,1
45.1167,1663687886970,5.013177397,1,10.4,22.9,0.0,66.1,0.0,0.0,0.6,121,3,68,0,1,403168,123560,421344,658640,7823,103435,84,84,0,0,0,4,6,4,2,0,1,0,0,0,0,13,598596,0,19,1,11,3842,248503,5654,0,1,24722,19248,13398,13895,2759,541,2778,441,9,126,126,120,6019,2050,2229622,247,25,132,7,398841,398774,145,15,25,31,49,597094,375787,22,36,139,35,29,13,31,3,105,727960,386,0,84,1,0,0,44,0,0,44,1,0,0,1
50.1285,1663687893666,5.011832307,1,3.8,27.2,0.0,69.0,0.0,0.0,0.0,120,1,67,0,2,402632,124092,421348,658108,5873,101925,56,56,0,0,0,4,6,4,2,0,1,0,0,0,0,4,567498,0,11,1,13,2947,214200,5377,0,1,23327,18297,4564,5089,754,103,783,126,9,113,113,110,1644,480,1993813,223,9,131,5,394114,394066,133,16,7,10,17,565670,378407,12,14,123,27,12,7,8,1,103,696459,332,0,76,1,0,0,12,0,0,12,1,0,0,1
