time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01545,1659465401028,5.015453331,1,2.2,34.5,0.0,63.4,0.0,0.0,0.0,118,2,67,0,2,370184,119400,458488,665712,5835,99588,56,56,0,0,0,7,9,7,2,0,1,0,0,0,0,2,499168,0,6,0,11,587,193737,5278,0,1,22840,17876,1137,1606,71,9,98,0,9,105,105,108,26,5,1737277,207,0,131,6,343782,343737,128,15,0,0,4,497266,330445,6,6,223,32,16,0,0,0,101,613869,312,0,73,1,0,0,5,1,7,12,1,0,0,1
10.0311,1659465407773,5.015681142,1,5.3,31.5,0.0,62.3,0.0,0.0,1.0,114,1,64,0,2,371176,118396,458500,666716,6250,108307,84,84,0,0,0,4,6,4,2,4,1,0,0,0,0,4,520161,0,9,1,11,1125,207524,5143,0,1,22826,17866,1531,1689,208,18,233,0,9,107,107,108,247,101,1837693,209,4,130,5,351353,351305,126,15,4,4,8,518208,337648,6,10,226,29,15,0,4,0,101,658182,307,0,78,1,0,0,4,0,0,4,1,0,0,1
15.06,1659465415049,5.028892635,1,3.8,21.5,0.0,73.7,0.0,0.0,1.0,112,1,63,0,2,372800,116768,458504,668332,5849,98001,266,266,0,0,0,5,7,5,2,0,1,0,0,0,0,22,507597,0,4,2,9,2902,195697,5467,0,1,23639,18603,7264,7416,1421,556,1450,252,8,111,111,112,3175,1049,1843623,211,13,129,44,357307,357252,125,13,13,16,30,505597,337785,15,20,230,25,26,0,16,0,108,605591,328,0,76,1,0,0,29,0,1,30,1,0,0,1
20.0749,1659465421784,5.014911932,1,1.7,20.4,0.0,77.6,0.0,0.0,0.3,115,1,65,0,2,370776,118772,458524,666332,25557,346752,462,462,0,0,0,0,0,0,0,188,0,0,0,0,0,15,570197,0,13,0,6,3013,242945,5541,0,0,23856,18465,9412,10093,2215,460,2250,252,68,120,120,126,4595,1649,2128157,236,22,132,45,372406,372360,171,11,19,31,42,568686,352616,20,31,347,29,101,1,23,0,117,689683,449,0,116,1,0,0,45,0,0,45,1,1,1,2
25.0868,1659465440791,5.011855189,1,3.4,18.7,0.0,77.6,0.0,0.0,0.3,115,1,65,0,2,371564,117968,458540,667136,13460,235227,196,196,0,0,0,0,1,0,1,0,1,0,0,0,0,1,522324,0,5,0,8,2890,206869,5000,1,0,22983,17986,1219,1704,91,10,100,0,7,106,106,108,27,13,1856107,207,0,131,6,358824,358811,127,14,0,0,4,521987,345590,6,6,223,32,15,0,0,0,103,649378,311,0,67,1,1,0,4,0,0,4,1,1,1,2
30.104,1659465454636,5.017193630,1,16.4,18.2,0.0,64.8,0.0,0.0,0.6,115,1,65,0,2,371588,117936,458548,667168,16624,244982,406,406,0,0,0,4,6,4,2,0,1,0,0,0,0,22,558085,0,5,2,9,2951,224322,5414,0,1,24696,19564,10707,11135,1948,258,1939,63,8,128,128,142,4306,1398,2068625,243,17,132,44,382905,382870,141,14,17,21,38,557733,360010,18,25,264,27,39,0,21,0,136,685677,372,0,110,1,0,0,35,0,1,36,1,0,0,1
35.1163,1659465468501,5.012322114,1,2.1,22.7,0.0,75.2,0.0,0.0,0.0,115,1,65,0,2,371304,118208,458560,666896,14168,236558,378,378,0,0,0,4,6,4,2,0,1,0,0,0,0,1,538038,0,7,2,11,553,206760,4924,0,1,22966,17965,1155,1588,86,10,94,0,9,107,107,109,28,5,1881469,209,0,131,5,370439,370428,126,15,0,0,4,537668,357318,6,6,226,29,15,0,0,0,102,679198,291,0,67,1,0,0,3,0,0,3,1,1,1,2
40.1278,1659465482041,5.011478841,1,2.8,21.1,0.0,74.7,0.0,0.0,1.4,115,1,65,0,2,371068,118428,458576,666676,17453,249684,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,3,562914,0,8,0,5,2879,222777,5064,0,0,23025,18022,1240,1696,90,10,97,0,5,107,107,111,32,5,2064242,209,0,131,6,379139,379123,126,12,0,0,3,562529,365962,6,6,229,32,16,0,0,0,103,721037,314,0,60,1,0,0,5,0,0,5,1,0,0,1
45.1404,1659465495974,5.012598570,1,4.1,16.9,0.0,78.7,0.0,0.0,0.3,114,1,63,0,2,370708,118780,458584,666324,14225,237591,378,378,0,0,0,4,6,4,2,6,1,0,0,0,0,13,527681,0,6,2,10,2944,206363,5349,0,1,23924,18825,7879,8341,1587,313,1587,378,9,109,109,114,3444,1117,1916446,205,17,130,44,367840,367800,124,15,17,20,33,527291,347835,15,24,234,27,31,0,20,0,106,628373,358,0,83,1,0,0,24,0,1,25,1,0,0,1
50.1521,1659465509908,5.011707226,1,2.0,24.2,0.0,73.5,0.0,0.0,0.3,114,1,63,0,2,372708,116772,458592,668336,13606,228689,378,378,0,0,0,5,7,5,2,0,1,0,0,0,0,5,554838,0,6,2,11,2855,218061,5069,0,1,22993,17988,1267,1723,89,10,99,0,9,109,109,111,21,5,1988010,213,0,132,6,375917,375901,128,16,0,0,3,554483,362624,6,6,233,33,19,0,0,0,105,713710,303,0,76,1,0,0,5,0,1,6,1,1,1,2
