time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01063,1659448289235,5.010629402,1,4.2,21.1,0.0,74.4,0.0,0.0,0.3,116,1,67,0,2,383824,119424,444824,665852,16067,229304,350,350,0,0,0,0,0,0,0,0,0,0,0,0,0,8,619861,0,4,0,5,1820,270434,5336,0,0,24194,19178,7788,8218,1162,108,1164,0,5,114,114,115,2828,769,2316575,217,10,130,5,395069,395045,130,11,10,13,25,619518,375095,14,18,230,24,16,0,13,0,110,784132,349,0,68,1,0,0,23,0,0,23,1,0,0,1
10.0224,1659448302376,5.011754811,1,1.8,33.0,0.0,65.2,0.0,0.0,0.0,117,1,68,0,2,383568,119532,444972,665680,13546,234467,378,378,0,0,0,4,6,4,2,0,1,0,0,0,0,5,585522,0,5,2,11,532,244057,5272,0,1,23404,18336,6037,6453,1304,360,1302,189,9,102,102,103,2459,933,2161490,199,11,130,44,384257,384228,121,16,11,13,25,585131,366856,14,18,224,31,26,0,13,0,98,726081,345,0,80,1,0,0,27,0,1,28,1,0,0,1
15.0367,1659448315949,5.014285206,1,3.2,27.2,0.0,69.6,0.0,0.0,0.0,117,1,68,0,2,383260,119824,444988,665376,6741,101582,56,56,0,0,0,5,8,5,3,3,2,0,0,0,0,18,523485,0,8,2,14,2894,202359,5157,2,1,23190,18124,5410,5639,1246,485,1268,252,11,116,116,117,2531,992,1909038,229,10,130,45,364164,364104,142,18,10,12,24,521424,347288,13,17,253,30,27,0,12,0,109,628640,336,0,108,1,1,0,28,0,1,29,1,2,2,2
20.0525,1659448322706,5.015796704,1,2.1,33.1,0.0,64.7,0.0,0.0,0.0,117,1,68,0,2,382652,120384,445036,664804,6232,95042,84,84,0,0,0,4,6,4,2,0,1,0,0,0,0,7,543168,0,4,2,11,2149,217102,5174,0,1,22298,17498,5949,6105,1271,235,1294,63,9,106,106,113,2436,930,1974365,205,11,125,44,367086,367029,128,16,11,13,25,541184,349991,14,18,228,31,31,0,13,0,109,668755,333,0,92,1,0,0,26,0,1,27,1,0,0,1
25.0684,1659448329435,5.015908057,1,3.1,28.2,0.0,68.3,0.0,0.0,0.3,117,1,68,0,2,382592,120428,445052,664756,7439,101699,266,266,0,0,0,4,6,4,2,0,1,0,0,0,0,6,522559,0,5,2,11,2956,209049,5283,0,1,23169,18190,2912,3084,441,90,481,126,9,118,118,124,889,267,1781998,233,4,131,5,358368,358322,138,15,4,7,13,520622,343247,10,11,248,22,26,0,5,0,117,594003,346,0,104,1,0,0,9,1,4,13,1,0,0,1
30.0901,1659448336548,5.021701914,1,2.2,32.3,0.0,65.2,0.0,0.0,0.3,115,1,66,0,2,385288,117684,445100,667476,6006,99405,84,84,0,0,0,5,8,7,3,20,1,0,0,0,0,12,552290,0,11,4,13,2531,228511,5280,5,1,23296,18089,2440,3446,338,82,866,378,10,112,112,113,537,195,2025912,219,4,131,8,363123,363080,137,17,4,7,13,550623,348117,12,23,293,38,96,6,4,2,105,707695,322,0,86,1,0,0,5,1,1,6,1,0,0,1
35.1052,1659448343327,5.015130409,1,4.8,34.4,0.0,60.5,0.0,0.0,0.3,117,1,68,0,2,383384,119604,445084,665572,14028,103837,9007,9007,0,0,0,5,7,5,2,156,1,0,0,0,0,28,506860,0,17,2,11,2341,203821,6152,1,1,24148,18761,17028,19074,4149,1263,3708,693,9,170,171,163,8972,3270,1837947,281,35,130,74,354711,354628,167,15,34,41,69,504911,329163,32,46,405,46,223,13,43,2,150,572418,436,0,98,1,0,0,52,0,0,52,1,0,0,1
40.123,1659448350111,5.017789033,1,16.1,35.0,0.0,48.6,0.0,0.0,0.3,118,4,68,0,1,382312,120668,445092,664508,7686,101749,84,84,0,0,0,4,8,4,4,9,2,0,0,0,0,7,566119,0,4,2,18,2922,244733,5353,2,1,23260,18325,4265,4383,561,89,570,0,13,120,120,133,1128,362,2099641,235,4,131,5,362291,362252,140,18,4,5,11,564216,346069,9,11,246,23,25,0,5,0,129,724500,343,0,113,1,1,0,17,0,0,17,1,2,2,2
45.1392,1659448356996,5.016217901,1,5.6,30.6,0.0,63.5,0.0,0.0,0.3,118,1,68,0,2,382336,120644,445092,664532,7602,102463,84,84,0,0,0,5,7,5,2,14,1,0,0,0,0,10,555009,0,7,2,11,1864,237164,5727,0,1,23907,18720,5104,5214,717,106,729,63,160,120,120,131,1356,447,2060555,235,8,135,7,360409,360353,234,16,8,9,15,552976,342914,11,17,421,30,143,0,11,0,123,686961,558,0,171,1,0,0,17,0,2,19,1,0,0,1
50.1537,1659448363838,5.014469792,1,16.1,20.6,0.0,63.3,0.0,0.0,0.0,116,1,65,0,2,385284,117692,445096,667492,13402,232068,378,378,0,0,0,5,10,6,5,68,2,0,0,0,0,18,511003,0,9,2,18,3427,209032,5541,4,1,24596,18552,12256,13776,2832,796,3381,945,15,107,107,107,6030,2084,1898046,211,28,130,45,351068,350990,133,18,28,38,57,509111,327834,26,49,293,36,107,5,36,1,101,597602,376,0,132,1,3,7,77,6,5,82,1,1,0,2
