time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01248,1660804289967,5.012478315,1,1.4,28.0,0.0,70.3,0.0,0.0,0.3,115,1,64,0,2,567336,109932,270804,754096,5694,99878,294,294,0,0,0,8,12,8,4,2,2,0,0,0,0,9,562863,0,6,1,15,2807,216015,5284,2,1,23840,18714,5514,5985,1047,354,1075,0,12,111,111,113,2349,799,2037736,209,9,132,44,389869,389816,130,15,9,11,20,561020,371692,11,15,228,30,24,0,11,0,106,682869,342,0,83,3,2,1,25,1,8,33,1,3,2,3
10.0263,1660804296670,5.013814782,1,1.8,27.6,0.0,70.3,0.0,0.0,0.3,115,1,64,0,2,566956,109988,271128,754124,5864,94547,56,56,0,0,0,5,13,5,8,4,3,0,0,0,0,7,576120,0,3,2,24,709,224269,5156,2,1,22271,17418,4162,4665,892,158,918,126,21,103,103,107,1598,684,2040085,203,7,125,46,391195,391146,129,18,7,8,16,574328,375745,10,13,228,39,29,0,8,0,102,705367,320,0,88,3,4,8,24,1,5,29,1,3,2,2
15.0385,1660804303280,5.012194769,1,2.7,25.7,0.0,71.0,0.0,0.0,0.6,115,1,64,0,2,567068,109808,271196,754272,5701,99686,56,56,0,0,0,4,6,4,2,0,1,0,0,0,0,10,575816,0,3,1,11,534,218189,4939,0,1,23198,18193,2943,3413,435,23,453,63,9,105,105,106,871,245,2018134,207,4,131,4,395805,395729,124,16,4,5,13,573999,381026,10,11,214,18,10,0,5,0,100,722935,298,0,75,1,0,0,7,0,0,7,1,0,0,1
20.0509,1660804309883,5.012357707,1,3.8,22.8,0.0,73.1,0.0,0.0,0.3,115,1,64,0,2,566460,110420,271192,753664,5895,99956,294,294,0,0,0,4,6,4,2,0,1,0,0,0,0,11,564655,0,7,1,11,2915,215751,5227,0,1,23794,18682,5476,5996,1041,102,1076,126,8,112,112,115,2350,794,2040258,211,9,131,44,392139,392086,125,14,9,11,20,562939,373927,11,15,233,30,25,0,11,0,108,684044,330,0,75,1,0,0,23,0,0,23,1,0,0,1
25.0655,1660804316505,5.014629217,1,3.2,26.8,0.0,69.3,0.0,0.0,0.6,115,1,64,0,2,565980,110832,271260,753224,5664,96633,84,84,0,0,0,4,6,0,2,0,1,0,0,0,0,11,558468,0,3,1,8,1847,216398,5153,0,1,22594,17679,2483,2777,562,208,284,0,7,105,105,106,824,434,2010604,207,4,128,18,380265,380224,123,11,3,2,9,556622,365634,7,7,232,37,29,0,3,0,102,704117,297,0,67,1,0,0,6,0,0,6,1,0,0,1
30.078,1660804323150,5.012468013,1,1.9,22.6,0.0,75.5,0.0,0.0,0.0,115,1,64,0,2,565792,111016,271264,753040,5816,100598,56,56,0,0,0,4,6,4,2,0,1,0,0,0,0,2,632998,0,6,1,11,2843,277022,5176,0,1,23278,18263,2949,3094,432,149,449,0,9,105,105,109,877,241,2362588,207,4,132,5,395806,395761,129,14,4,5,13,631248,380993,10,11,222,22,12,0,5,0,103,815816,323,0,77,1,0,0,7,0,0,7,1,0,0,1
35.0902,1660804329773,5.012155017,1,3.4,23.2,0.0,73.4,0.0,0.0,0.0,114,1,63,0,2,566384,110436,271252,753624,5758,101964,294,294,0,0,0,4,7,0,3,0,2,0,0,0,0,14,557729,0,4,0,11,1908,213419,5033,0,1,23757,18653,5463,5963,1039,355,1059,63,10,111,111,112,2348,797,2025333,209,9,131,44,387605,387558,130,13,9,11,21,556092,369444,11,15,228,30,24,0,11,0,108,677963,334,0,77,1,3,5,21,0,0,21,1,1,0,2
40.106,1660804336453,5.015821685,1,2.9,27.7,0.0,66.5,2.9,0.0,0.0,115,1,64,0,2,566280,110560,271232,753516,13760,199648,168,168,0,0,0,0,4,0,4,6,1,0,0,0,0,17,557085,0,14,0,16,2994,213945,5493,2,0,24387,19423,10580,10944,2212,656,2358,504,13,119,119,115,4454,1589,1980163,235,21,132,35,390115,390086,136,13,20,30,38,556478,369200,19,29,257,28,35,5,21,1,106,673571,352,0,75,3,2,6,39,0,0,39,1,3,2,3
45.1184,1660804348298,5.012352629,1,1.8,25.8,0.0,72.4,0.0,0.0,0.0,115,1,64,0,2,566760,110072,271240,754000,5730,98155,294,294,0,0,0,4,7,4,3,0,2,0,0,0,0,18,562833,0,6,1,13,2878,214374,4831,1,1,23683,18593,5399,5593,1049,164,1074,63,11,111,111,109,2353,795,2000587,209,9,130,44,391925,391873,130,16,9,11,20,560952,373785,11,15,232,28,27,0,11,0,104,687405,327,0,80,3,2,1,18,1,4,22,1,3,2,3
50.1308,1660804354918,5.012354265,1,3.0,27.9,0.0,68.5,0.0,0.0,0.6,116,3,65,0,1,566672,110160,271240,753916,5669,100503,56,56,0,0,0,5,9,5,4,3,2,0,0,0,0,2,570801,0,5,1,15,2156,215206,5039,2,1,23268,18254,3039,3583,439,87,468,0,12,104,104,107,868,258,2066576,205,4,132,6,395485,395439,128,15,4,5,13,569012,380543,10,11,223,25,16,0,5,0,103,692107,319,0,78,3,4,4,9,1,5,14,1,3,2,3
