time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01294,1664050129550,5.012943956,1,2.4,20.9,0.0,76.1,0.0,0.0,0.6,130,1,69,0,2,638480,71972,237620,759476,11319,104270,84,84,0,0,0,8,10,8,2,77,1,0,0,0,0,28,577860,0,20,1,11,2564,228325,6109,0,1,25146,19545,16259,16353,3532,1266,3528,1197,8,147,147,164,7447,2662,2141506,288,31,132,46,400447,400368,164,14,31,39,61,575972,374598,26,43,313,33,61,10,38,2,150,655309,429,0,128,1,0,0,57,1,7,64,1,0,0,1
10.0248,1664050136257,5.011859009,1,14.0,28.1,0.0,57.9,0.0,0.0,0.0,130,1,69,0,2,637832,72348,237892,759084,6511,101620,294,294,0,0,0,4,6,4,2,2,1,0,0,0,0,3,584270,0,9,1,11,575,232705,5370,0,1,23866,18798,3836,3991,435,28,458,0,9,121,121,122,1191,254,2081418,229,5,132,7,393251,393206,140,15,5,6,12,582530,376497,9,11,246,41,23,5,6,1,113,716632,370,0,78,1,0,0,10,0,0,10,1,0,0,1
15.0373,1664050142901,5.012453071,1,2.5,30.8,0.0,66.7,0.0,0.0,0.0,128,1,67,0,2,639940,70236,237896,761196,7032,104943,56,56,0,0,0,5,7,5,2,0,1,0,0,0,0,8,561816,0,12,1,11,2986,211600,5419,1,1,23579,18523,6304,6801,1136,179,1142,126,9,126,126,126,2634,778,1992501,249,12,132,5,393797,393740,150,16,12,14,27,559883,376440,16,20,261,32,19,7,14,1,119,674361,366,0,115,1,0,0,18,1,0,18,1,1,1,2
20.0493,1664050149531,5.011991717,1,2.4,24.5,0.0,73.1,0.0,0.0,0.0,128,1,67,0,2,639116,71040,237916,760392,5865,100881,84,84,0,0,0,12,16,12,4,0,2,0,0,0,0,10,592159,0,10,3,14,2907,244293,5337,0,2,23562,18461,7164,7330,1504,437,1526,378,12,112,112,111,3063,1082,2205152,219,15,131,44,390875,390810,127,12,15,17,33,590345,372739,17,22,240,29,22,8,17,2,101,703214,365,0,85,1,0,0,28,1,8,36,1,0,0,1
25.0615,1664050156183,5.012232862,1,17.4,26.4,0.0,56.2,0.0,0.0,0.0,128,1,67,0,2,639636,70504,237932,760924,6258,99612,294,294,0,0,0,4,6,4,2,0,1,0,0,0,0,7,641482,0,9,2,11,2849,278853,5003,0,1,23684,18642,3813,3967,434,90,457,0,9,120,120,120,1189,258,2397715,227,6,131,7,403771,403726,135,16,5,6,12,639600,387066,9,11,246,39,24,5,6,1,113,828005,341,0,81,1,0,0,9,0,0,9,1,0,0,1
30.0745,1664050162825,5.012972707,1,3.4,23.9,0.0,72.7,0.0,0.0,0.0,128,1,67,0,2,640256,69888,237928,761536,6166,102183,56,56,0,0,0,5,8,5,3,4,2,0,0,0,0,5,633798,0,13,1,15,2857,272380,5074,2,1,23321,18305,4742,5201,759,104,770,0,11,115,115,114,1642,470,2373713,227,9,131,5,401957,401897,137,17,9,10,20,631740,385897,13,16,240,28,13,7,10,1,106,812124,337,0,86,1,1,0,10,0,1,11,1,2,2,2
35.0867,1664050169463,5.012175467,1,2.7,19.9,0.0,77.4,0.0,0.0,0.0,128,1,67,0,2,639272,70848,237952,760576,5773,100936,84,84,0,0,0,4,6,4,2,0,1,0,0,0,0,5,612064,0,9,1,10,946,264596,5359,0,1,23524,18421,7127,7294,1511,247,1528,0,8,109,109,108,3075,1099,2306608,213,15,130,44,390555,390502,126,13,15,17,33,610209,372337,17,22,233,29,21,8,17,2,99,765337,352,0,75,1,0,0,28,1,3,31,1,0,0,1
40.1222,1664050176163,5.035540467,1,15.5,28.2,0.0,56.0,0.0,0.0,0.3,128,1,67,0,2,640500,69608,237964,761812,8524,104421,294,294,0,0,0,4,6,4,2,29,1,0,0,0,0,32,588422,0,27,1,11,3902,235188,5850,0,1,25671,20069,15033,14727,3096,512,3094,378,9,138,138,134,6714,2233,2149422,263,38,132,9,404279,404193,157,15,38,44,58,586936,378234,19,49,295,45,46,10,44,2,118,700490,410,0,98,1,0,0,35,0,0,35,1,2,2,2
45.1337,1664050182828,5.011480935,1,2.4,26.3,0.0,71.0,0.0,0.0,0.3,128,1,67,0,2,639136,70968,237968,760444,6644,102945,56,56,0,0,0,4,6,4,2,80,1,0,0,0,0,9,600324,0,28,1,11,2957,252418,5602,0,1,24328,19129,8822,8973,2052,241,2075,63,9,119,119,118,3755,1272,2253585,237,47,132,5,394365,394275,144,15,47,48,57,598594,373870,12,54,257,25,12,5,48,1,103,714189,373,0,118,1,0,0,8,0,1,9,1,0,0,1
50.1472,1664050189469,5.013496300,1,3.4,25.2,0.0,71.4,0.0,0.0,0.0,128,1,67,0,2,639288,70788,237996,760620,5710,100049,84,84,0,0,0,4,6,4,2,0,1,0,0,0,0,9,610069,0,8,1,10,2872,260131,5367,0,1,23370,18309,7140,7307,1512,312,1540,63,8,111,111,108,3069,1086,2279575,217,15,130,44,392949,392899,127,13,15,18,33,608352,374863,17,22,235,28,21,8,17,2,101,755669,370,0,76,1,0,0,29,0,0,29,1,0,0,1
