time,timestamp,seconds,connectivity,cpuUser,cpuSystem,cpuNice,cpuIdle,cpuIowait,cpuHardIrq,cpuSoftIrq,tasks,tasksRunning,tasksSleeping,tasksStopped,tasksZombie,ramFree,ramUsed,ramCache,memAvail,iface0RX,iface0TX,iface1RX,iface1TX,numEncrypted,alarmtimer:alarmtimer_fired,alarmtimer:alarmtimer_start,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,cachefiles:cachefiles_create,cachefiles:cachefiles_lookup,cachefiles:cachefiles_mark_active,clk:clk_set_rate,cpu-migrations,cs,dma_fence:dma_fence_init,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,udp:udp_fail_queue_rcv_skb,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
5.01298,1661169882910,5.012975931,1,3.5,33.4,0.0,62.5,0.0,0.0,0.5,212,1,67,0,97,130812,89948,727312,274328,8778,101715,266,266,0,0,0,9,11,9,2,0,1,0,0,0,0,10,540161,0,3,0,11,575,196946,5539,0,1,24981,19828,16983,17120,2460,245,2487,252,9,132,132,152,3313,1081,1948323,253,13,132,81,400631,400582,152,16,13,16,30,538590,367500,15,20,279,38,53,0,16,0,148,628707,403,0,117,1,0,0,45,1,7,52,1,0,0,1
10.0273,1661169889634,5.014367530,1,32.9,30.1,0.0,36.8,0.0,0.0,0.3,214,3,67,0,97,121140,96232,730700,267788,6002,104412,84,84,0,0,0,93,140,5,44,312,27,0,0,0,0,22,578658,0,4,214,91,1031,242129,5541,3,1,23965,18732,10118,8959,2912,1170,1291,0,50,107,107,107,3386,2123,2160070,209,9,131,38,383677,383628,208,98,9,5,15,576734,361034,9,10,228,23,21,0,9,0,102,729785,380,0,246,2,0,0,20,2,1,21,1,0,0,1
15.0414,1661169896862,5.014099721,1,32.9,34.5,0.0,32.3,0.0,0.0,0.3,214,2,68,0,97,120060,95364,732648,268816,9949,100842,56,56,1,0,0,7,19,2585,12,10,11,0,0,0,0,20,437250,0,15,320,35,1762,136917,6061,2584,1,24330,18992,23282,22459,3761,781,3473,567,19,132,132,145,5850,2357,1441425,261,21,129,28,364135,364056,176,36,21,27,43,435356,325900,20,33,277,28,44,5,27,1,135,490803,402,0,158,6,0,0,61,0,321,382,1,0,0,1
20.0593,1661169903818,5.017912647,1,34.8,32.6,0.0,31.7,0.3,0.0,0.6,214,2,68,0,97,118116,95652,734304,268620,7271,99200,294,294,1,0,0,8,19,2462,11,10,10,0,0,0,0,14,468469,0,4,288,28,1379,170744,6013,2460,1,24463,19390,19647,18569,2639,559,2375,63,18,121,121,131,3333,1349,1536239,229,13,129,76,364834,364767,153,34,13,16,29,466662,326014,15,20,251,33,40,0,16,0,127,481467,387,0,136,6,0,0,57,0,306,363,1,0,0,1
25.0829,1661169910856,5.023615762,1,32.3,32.3,0.0,35.4,0.0,0.0,0.0,214,2,68,0,97,115344,96620,736108,267552,5234,95175,84,84,3,0,0,8,22,2354,14,22,13,0,0,0,0,12,468432,0,3,261,33,2114,171574,5391,2355,1,21697,16933,11792,10779,1685,535,1432,63,20,97,97,98,1610,942,1609361,191,7,124,64,349654,349588,139,38,7,8,17,466248,321995,10,13,209,23,20,0,8,0,94,548206,325,0,124,6,0,0,41,1,290,331,1,2,2,2
30.1013,1661169917928,5.018435090,1,36.5,33.0,0.0,30.2,0.0,0.0,0.3,215,3,69,0,96,113704,96372,737996,267740,7023,101691,84,84,4,0,0,13,37,2334,24,10,11,0,0,0,0,8,453084,0,3,288,69,586,162030,5559,2332,1,23681,18714,13669,13016,1589,339,1360,0,44,112,112,117,1461,755,1536211,221,4,130,25,346414,346352,155,36,4,8,15,450249,316525,11,14,231,23,17,0,5,0,114,531083,381,0,175,5,1,12,38,0,289,327,1,1,0,2
35.1201,1661169925488,5.018770659,1,31.7,35.3,0.0,33.1,0.0,0.0,0.0,215,2,68,0,97,111504,96808,739760,267236,6212,98528,294,294,4,0,0,8,21,2317,16,10,14,0,0,0,0,22,474399,0,4,288,43,1046,179804,5912,2316,1,25015,20105,24554,23666,3020,536,2722,0,28,110,110,112,1732,700,1650006,207,6,128,32,364695,364633,145,35,6,8,16,472942,321876,11,13,222,28,21,0,9,0,108,557121,372,0,139,5,2,0,40,0,288,328,1,5,5,2
40.1361,1661169932594,5.015961889,1,36.7,31.5,0.0,30.9,0.3,0.0,0.6,215,2,68,0,97,111020,95648,741404,268356,6399,98570,56,56,6,0,0,7,22,2203,18,20,17,0,0,0,0,32,453733,0,3,289,46,2095,168173,5861,2204,1,23160,18187,16429,15477,2405,676,2126,378,28,106,106,112,2565,1257,1582926,207,11,127,72,345252,345189,153,39,11,13,26,451575,312513,14,18,229,31,30,0,13,0,108,526859,377,0,152,6,1,0,53,1,272,325,1,2,2,2
45.3547,1661169939634,5.218596376,1,35.9,34.7,0.0,29.4,0.0,0.0,0.0,216,2,68,0,97,107860,97024,743188,266912,6046,101218,84,84,6,0,0,6,18,2308,13,17,12,0,0,0,0,22,481994,0,7,288,32,726,184011,5901,2311,1,23295,18059,12725,11490,1767,664,1187,0,151,109,109,110,1064,794,1698309,213,7,134,46,356901,356842,225,33,7,6,13,479897,326258,10,14,410,31,167,0,9,0,103,570966,501,0,182,6,1,0,33,0,285,318,1,1,1,2
50.3707,1661169946995,5.016045898,1,35.8,30.8,0.0,33.1,0.0,0.0,0.3,214,2,66,0,97,109776,93628,744668,270332,9649,102102,189,189,8,0,0,7,21,2163,17,21,16,0,0,0,0,42,452898,0,16,257,40,2631,172350,6177,2167,1,24742,19420,24315,23396,3878,1165,3617,630,28,135,135,144,6534,2419,1624026,261,24,128,28,348312,348228,179,38,23,30,46,449939,308111,21,35,276,28,44,5,30,1,133,515898,413,0,158,4,1,0,69,1,266,335,0,0,0,0
