device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi3-1gb,0,85.38681948424069,447,0,150,153,fed_avg,pi3-1gb
pi4-2gb-bc,0,86.25592417061611,455,0,150,145,fed_avg,pi3-1gb
pi4-2gb-wc,0,86.47114474929045,457,0,150,143,fed_avg,pi3-1gb
pi4-4gb,0,87.00564971751412,462,0,150,138,fed_avg,pi3-1gb
All,0,86.28287135749822,1821,0,600,579,fed_avg,pi3-1gb
pi3-1gb,1,85.27724665391969,446,0,150,154,fed_avg,pi3-1gb
pi4-2gb-bc,1,87.53514526710403,467,0,150,133,fed_avg,pi3-1gb
pi4-2gb-wc,1,87.85046728971963,470,0,150,130,fed_avg,pi3-1gb
pi4-4gb,1,88.16402609506058,473,0,150,127,fed_avg,pi3-1gb
All,1,87.21804511278195,1856,0,600,544,fed_avg,pi3-1gb
pi3-1gb,2,92.81277728482698,523,4,146,77,fed_avg,pi3-1gb
pi4-2gb-bc,2,85.71428571428571,450,0,150,150,fed_avg,pi3-1gb
pi4-2gb-wc,2,85.82302568981922,451,0,150,149,fed_avg,pi3-1gb
pi4-4gb,2,85.82302568981922,451,0,150,149,fed_avg,pi3-1gb
All,2,87.6372984342136,1875,4,596,525,fed_avg,pi3-1gb
pi3-1gb,3,82.3529411764706,525,150,0,75,fed_avg,pi3-1gb
pi4-2gb-bc,3,80.35892323030906,403,0,150,197,fed_avg,pi3-1gb
pi4-2gb-wc,3,81.30563798219585,411,0,150,189,fed_avg,pi3-1gb
pi4-4gb,3,81.30563798219585,411,0,150,189,fed_avg,pi3-1gb
All,3,81.39534883720931,1750,150,450,650,fed_avg,pi3-1gb
pi3-1gb,4,82.41758241758241,525,149,1,75,fed_avg,pi3-1gb
pi4-2gb-bc,4,66.51835372636263,299,0,150,301,fed_avg,pi3-1gb
pi4-2gb-wc,4,65.31986531986533,291,0,150,309,fed_avg,pi3-1gb
pi4-4gb,4,66.36971046770601,298,0,150,302,fed_avg,pi3-1gb
All,4,71.32761231701161,1413,149,451,987,fed_avg,pi3-1gb
pi3-1gb,0,85.82302568981922,451,0,150,149,trimmed_mean,pi3-1gb
pi4-2gb-bc,0,85.27724665391969,446,0,150,154,trimmed_mean,pi3-1gb
pi4-2gb-wc,0,85.16746411483254,445,0,150,155,trimmed_mean,pi3-1gb
pi4-4gb,0,85.82302568981922,451,0,150,149,trimmed_mean,pi3-1gb
