device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi3-1gb,0,85.38681948424069,447,0,150,153,fed_avg
pi4-2gb-bc,0,86.25592417061611,455,0,150,145,fed_avg
pi4-2gb-wc,0,86.47114474929045,457,0,150,143,fed_avg
pi4-4gb,0,87.00564971751412,462,0,150,138,fed_avg
All,0,86.28287135749822,1821,0,600,579,fed_avg
pi3-1gb,1,88.8888888888889,600,150,0,0,fed_avg
pi4-2gb-bc,1,88.8888888888889,600,150,0,0,fed_avg
pi4-2gb-wc,1,88.8888888888889,600,150,0,0,fed_avg
pi4-4gb,1,88.8888888888889,600,150,0,0,fed_avg
All,1,88.8888888888889,2400,600,0,0,fed_avg
pi3-1gb,2,3.278688524590164,10,0,150,590,fed_avg
pi4-2gb-bc,2,13.063763608087092,42,1,149,558,fed_avg
pi4-2gb-wc,2,18.181818181818183,60,0,150,540,fed_avg
pi4-4gb,2,12.792511700468017,41,0,150,559,fed_avg
All,2,11.981205951448707,153,1,599,2247,fed_avg
pi3-1gb,3,0.6644518272425249,2,0,150,598,fed_avg
pi4-2gb-bc,3,1.3245033112582782,4,0,150,596,fed_avg
pi4-2gb-wc,3,0.6644518272425249,2,0,150,598,fed_avg
pi4-4gb,3,0.33277870216306155,1,0,150,599,fed_avg
All,3,0.7471980074719801,9,0,600,2391,fed_avg
pi3-1gb,4,1.9801980198019802,6,0,150,594,fed_avg
pi4-2gb-bc,4,3.9215686274509802,12,0,150,588,fed_avg
pi4-2gb-wc,4,6.451612903225806,20,0,150,580,fed_avg
pi4-4gb,4,4.5602605863192185,14,0,150,586,fed_avg
All,4,4.241435562805872,52,0,600,2348,fed_avg
pi3-1gb,5,0.6644518272425249,2,0,150,598,fed_avg
pi4-2gb-bc,5,1.6528925619834711,5,0,150,595,fed_avg
pi4-2gb-wc,5,0.6644518272425249,2,0,150,598,fed_avg
pi4-4gb,5,0.33277870216306155,1,0,150,599,fed_avg
All,5,0.8298755186721992,10,0,600,2390,fed_avg
pi3-1gb,6,0.9950248756218907,3,0,150,597,fed_avg
pi4-2gb-bc,6,1.6528925619834711,5,0,150,595,fed_avg
pi4-2gb-wc,6,1.6528925619834711,5,0,150,595,fed_avg
pi4-4gb,6,0.33277870216306155,1,0,150,599,fed_avg
All,6,1.15990057995029,14,0,600,2386,fed_avg
pi3-1gb,0,85.82302568981922,451,0,150,149,trimmed_mean
pi4-2gb-bc,0,85.27724665391969,446,0,150,154,trimmed_mean
pi4-2gb-wc,0,85.16746411483254,445,0,150,155,trimmed_mean
pi4-4gb,0,85.82302568981922,451,0,150,149,trimmed_mean
All,0,85.52349153350822,1793,0,600,607,trimmed_mean
pi3-1gb,1,85.38681948424069,447,0,150,153,trimmed_mean
pi4-2gb-bc,1,85.71428571428571,450,0,150,150,trimmed_mean
pi4-2gb-wc,1,85.82302568981922,451,0,150,149,trimmed_mean
pi4-4gb,1,86.25592417061611,455,0,150,145,trimmed_mean
All,1,85.79586009992862,1803,0,600,597,trimmed_mean
pi3-1gb,2,0.9950248756218907,3,0,150,597,trimmed_mean
pi4-2gb-bc,2,1.6528925619834711,5,0,150,595,trimmed_mean
pi4-2gb-wc,2,1.3245033112582782,4,0,150,596,trimmed_mean
pi4-4gb,2,0.6644518272425249,2,0,150,598,trimmed_mean
All,2,1.15990057995029,14,0,600,2386,trimmed_mean
pi3-1gb,3,0.33277870216306155,1,0,150,599,trimmed_mean
pi4-2gb-bc,3,0.9950248756218907,3,0,150,597,trimmed_mean
pi4-2gb-wc,3,0.33277870216306155,1,0,150,599,trimmed_mean
pi4-4gb,3,0.33277870216306155,1,0,150,599,trimmed_mean
All,3,0.4987531172069826,6,0,600,2394,trimmed_mean
pi3-1gb,4,0.0,0,0,150,600,trimmed_mean
pi4-2gb-bc,4,0.6644518272425249,2,0,150,598,trimmed_mean
pi4-2gb-wc,4,0.33277870216306155,1,0,150,599,trimmed_mean
pi4-4gb,4,0.0,0,0,150,600,trimmed_mean
All,4,0.24968789013732834,3,0,600,2397,trimmed_mean
pi3-1gb,5,0.0,0,0,150,600,trimmed_mean
pi4-2gb-bc,5,0.0,0,0,150,600,trimmed_mean
pi4-2gb-wc,5,0.33277870216306155,1,0,150,599,trimmed_mean
pi4-4gb,5,0.0,0,0,150,600,trimmed_mean
All,5,0.08329862557267806,1,0,600,2399,trimmed_mean
pi3-1gb,6,0.0,0,0,150,600,trimmed_mean
pi4-2gb-bc,6,0.0,0,0,150,600,trimmed_mean
pi4-2gb-wc,6,0.33277870216306155,1,0,150,599,trimmed_mean
pi4-4gb,6,0.0,0,0,150,600,trimmed_mean
All,6,0.08329862557267806,1,0,600,2399,trimmed_mean
pi3-1gb,0,67.54966887417218,306,0,150,294,trimmed_mean_2
