device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi3-1gb,0,85.38681948424069,447,0,150,153,fed_avg
pi4-2gb-bc,0,86.25592417061611,455,0,150,145,fed_avg
pi4-2gb-wc,0,86.47114474929045,457,0,150,143,fed_avg
pi4-4gb,0,87.00564971751412,462,0,150,138,fed_avg
All,0,86.28287135749822,1821,0,600,579,fed_avg
pi3-1gb,1,82.53719655442443,527,150,0,73,fed_avg
pi4-2gb-bc,1,88.8888888888889,600,150,0,0,fed_avg
pi4-2gb-wc,1,88.8888888888889,600,150,0,0,fed_avg
pi4-4gb,1,88.8888888888889,600,150,0,0,fed_avg
All,1,87.36624741880983,2327,600,0,73,fed_avg
pi3-1gb,2,87.78280542986425,582,144,6,18,fed_avg
pi4-2gb-bc,2,83.4162520729685,503,103,47,97,fed_avg
pi4-2gb-wc,2,84.2105263157895,512,104,46,88,fed_avg
pi4-4gb,2,83.15352697095436,501,104,46,99,fed_avg
All,2,84.71633353523119,2098,455,145,302,fed_avg
pi3-1gb,3,8.917197452229301,28,0,150,572,fed_avg
pi4-2gb-bc,3,9.508716323296355,30,1,149,570,fed_avg
pi4-2gb-wc,3,12.792511700468017,41,0,150,559,fed_avg
pi4-4gb,3,12.480499219968797,40,1,149,560,fed_avg
All,3,10.940574576938213,139,2,598,2261,fed_avg
pi3-1gb,4,63.48122866894198,279,0,150,321,fed_avg
pi4-2gb-bc,4,55.28846153846154,230,2,148,370,fed_avg
pi4-2gb-wc,4,52.876376988984084,216,1,149,384,fed_avg
pi4-4gb,4,56.39187574671446,236,1,149,364,fed_avg
All,4,57.117384843982165,961,4,596,1439,fed_avg
pi3-1gb,5,80.84388185654008,479,106,44,121,fed_avg
pi4-2gb-bc,5,67.03417861080484,304,3,147,296,fed_avg
pi4-2gb-wc,5,71.27659574468085,335,5,145,265,fed_avg
pi4-4gb,5,67.907995618839,310,3,147,290,fed_avg
All,5,72.39543726235742,1428,117,483,972,fed_avg
pi3-1gb,6,88.39285714285715,594,150,0,6,fed_avg
pi4-2gb-bc,6,88.55869242199108,596,150,0,4,fed_avg
pi4-2gb-wc,6,88.8065233506301,599,150,0,1,fed_avg
pi4-4gb,6,88.72403560830861,598,150,0,2,fed_avg
All,6,88.62075366623353,2387,600,0,13,fed_avg
pi3-1gb,0,85.82302568981922,451,0,150,149,trimmed_mean
pi4-2gb-bc,0,85.27724665391969,446,0,150,154,trimmed_mean
pi4-2gb-wc,0,85.16746411483254,445,0,150,155,trimmed_mean
pi4-4gb,0,85.82302568981922,451,0,150,149,trimmed_mean
All,0,85.52349153350822,1793,0,600,607,trimmed_mean
pi3-1gb,1,85.16746411483254,445,0,150,155,trimmed_mean
pi4-2gb-bc,1,85.38681948424069,447,0,150,153,trimmed_mean
pi4-2gb-wc,1,85.49618320610688,448,0,150,152,trimmed_mean
pi4-4gb,1,86.47114474929045,457,0,150,143,trimmed_mean
All,1,85.6325947105075,1797,0,600,603,trimmed_mean
pi3-1gb,2,49.05660377358491,195,0,150,405,trimmed_mean
pi4-2gb-bc,2,63.01369863013699,276,0,150,324,trimmed_mean
pi4-2gb-wc,2,64.09966024915063,283,0,150,317,trimmed_mean
pi4-4gb,2,63.7911464245176,281,0,150,319,trimmed_mean
All,2,60.26200873362446,1035,0,600,1365,trimmed_mean
pi3-1gb,3,87.02928870292887,520,75,75,80,trimmed_mean
pi4-2gb-bc,3,88.47583643122677,595,150,0,5,trimmed_mean
pi4-2gb-wc,3,88.8065233506301,599,150,0,1,trimmed_mean
pi4-4gb,3,89.07063197026022,599,146,4,1,trimmed_mean
All,3,88.38364539549102,2313,521,79,87,trimmed_mean
pi3-1gb,4,54.01459854014598,222,0,150,378,trimmed_mean
pi4-2gb-bc,4,12.792511700468017,41,0,150,559,trimmed_mean
pi4-2gb-wc,4,13.374805598755831,43,0,150,557,trimmed_mean
pi4-4gb,4,13.374805598755831,43,0,150,557,trimmed_mean
All,4,25.39105129137868,349,0,600,2051,trimmed_mean
pi3-1gb,5,45.559845559845556,177,0,150,423,trimmed_mean
pi4-2gb-bc,5,86.98010849909583,481,25,125,119,trimmed_mean
pi4-2gb-wc,5,85.24590163934427,468,30,120,132,trimmed_mean
pi4-4gb,5,88.0994671403197,496,30,120,104,trimmed_mean
All,5,78.98709520331141,1622,85,515,778,trimmed_mean
pi3-1gb,6,69.06318082788671,317,1,149,283,trimmed_mean
pi4-2gb-bc,6,6.76328502415459,21,0,150,579,trimmed_mean
pi4-2gb-wc,6,4.878048780487806,15,0,150,585,trimmed_mean
pi4-4gb,6,3.278688524590164,10,0,150,590,trimmed_mean
All,6,26.266280752532563,363,1,599,2037,trimmed_mean
pi3-1gb,0,67.54966887417218,306,0,150,294,trimmed_mean_2
pi4-2gb-bc,0,67.40331491712706,305,0,150,295,trimmed_mean_2
